Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15086,1,140,183.92702536568245,86.26425010152161,2412.0226250961423,10284.372862256396,3.4915930476529735,0.00023144591327409344,140,150,160,180,260,450,850,1100,2000,2400,2400
GET,/cart,44754,1,180,210.798601587077,60.28637499548495,2206.068499945104,14279.30652008759,10.358130402668777,0.00023144591327409344,180,200,210,220,270,460,860,1100,1600,1900,2200
POST,/cart,44859,4,250,269.0262768712654,63.62425000406802,2521.7854999937117,18227.888405894024,10.382432223562557,0.0009257836530963738,250,270,280,290,330,400,580,1100,1700,2400,2500
POST,/cart/checkout,14941,0,160,188.42495159962175,94.20395805500448,2015.0197080802172,6562.352519911652,3.45803339022823,0.0,160,180,190,200,230,270,370,1000,1600,2000,2000
GET,/product/0PUK6V6EV0,21353,0,120,166.87721970030705,81.29262505099177,2101.36800003238,7740.469208073807,4.942064586141717,0.0,120,130,140,150,200,450,890,1100,1400,1800,2100
GET,/product/1YMWWN1N4O,21813,1,120,163.0128773911484,79.58862511441112,2082.7661668881774,7761.143354880117,5.0485297062478,0.00023144591327409344,120,130,140,150,190,390,830,1000,1400,1700,2100
GET,/product/2ZYFJ3GM2N,21447,0,120,166.55983809783746,82.83979096449912,1751.7351671122015,7757.928661351238,4.963820501989482,0.0,120,130,140,150,200,450,860,1100,1500,1700,1800
GET,/product/66VCHSJNUP,21552,0,120,165.30267868488352,80.12258284725249,2083.8863749522716,7724.442650334076,4.988122322883261,0.0,120,130,140,150,190,420,870,1100,1500,1800,2100
GET,/product/6E92ZMYYFZ,21756,1,120,166.96329956646645,80.06887487135828,1890.7671661581844,7713.686936936937,5.035337289191177,0.00023144591327409344,120,130,140,150,200,440,890,1100,1500,1700,1900
GET,/product/9SIQT8TOJO,21702,0,120,164.25532168803497,80.18962503410876,2160.711750155315,7765.783476177311,5.022839209874376,0.0,120,130,140,150,190,400,860,1100,1500,1900,2200
GET,/product/L9ECAV7KIM,21591,0,120,164.44992957561487,80.486083868891,2097.6092079654336,7732.768885183641,4.997148713500951,0.0,120,130,140,150,200,410,850,1100,1500,1800,2100
GET,/product/LS4PSXUNUM,21664,0,120,166.34595600371915,80.6048340164125,2195.68791706115,7731.219673190547,5.01404426516996,0.0,120,130,140,150,200,420,870,1100,1500,2000,2200
GET,/product/OLJCESPC7Z,21389,1,120,166.132989327687,63.921666936948895,2018.5530420858413,7763.217027444013,4.950396639019584,0.00023144591327409344,120,130,140,150,200,420,860,1100,1400,1800,2000
POST,/setCurrency,14878,0,200,235.2932677826322,143.01425009034574,2386.87108294107,10287.1787202581,3.443452297691962,0.0,200,210,220,230,280,450,840,1000,1400,2000,2400
,Aggregated,328785,9,140,190.85981272071706,60.28637499548495,2521.7854999937117,10241.574545675745,76.0959445958228,0.002083013219466841,140,180,200,220,280,410,840,1100,1500,2000,2500
