Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20489,6,140,206.06619477051532,63.94225009717047,2692.803790792823,10276.646298013568,4.742030258322694,0.0013886564278362127,140,160,190,220,340,570,940,1100,2000,2500,2700
GET,/cart,56109,5,180,226.64998402786105,59.62166702374816,3371.9729168806225,14044.283216596268,12.986020584910342,0.0011572136898635105,180,200,220,230,310,600,970,1200,2100,2900,3400
POST,/cart,56735,4,250,285.95308972090646,59.887709096074104,3930.0695839338005,18132.339138098178,13.130903738881255,0.0009257709518908085,250,280,290,300,360,460,720,1200,2000,3100,3900
POST,/cart/checkout,18950,2,170,200.08437934443404,95.30541719868779,3445.636209100485,6561.625277044855,4.385839884582705,0.00046288547594540425,170,180,200,210,250,310,510,1200,2300,2900,3400
GET,/product/0PUK6V6EV0,27312,1,130,181.17207991330187,81.19629207067192,2979.200666071847,7737.706758933802,6.321164059510441,0.00023144273797270212,130,140,150,160,240,550,940,1200,2100,2700,3000
GET,/product/1YMWWN1N4O,27388,0,130,182.77850536177735,81.51662512682378,3473.8637080881745,7759.642179056521,6.338753707596365,0.0,130,140,150,160,240,560,970,1200,2100,3200,3500
GET,/product/2ZYFJ3GM2N,27470,1,130,181.74289240876283,70.01516711898148,3100.1222080085427,7756.2858026938475,6.3577320121101275,0.00023144273797270212,130,140,150,160,240,570,950,1200,1900,2900,3100
GET,/product/66VCHSJNUP,27381,2,130,182.31648090374574,62.307832995429635,2864.6766669116914,7722.966253971732,6.337133608430556,0.00046288547594540425,130,140,150,160,240,560,960,1200,2000,2700,2900
GET,/product/6E92ZMYYFZ,27338,1,130,181.19039947969281,77.43433280847967,3022.047334117815,7711.781659228912,6.32718157069773,0.00023144273797270212,130,140,150,160,230,560,960,1200,2000,2800,3000
GET,/product/9SIQT8TOJO,27289,1,130,183.2450367200094,57.92866600677371,3460.33895900473,7764.24848840192,6.315840876537068,0.00023144273797270212,130,140,150,160,250,590,970,1100,1900,3000,3500
GET,/product/L9ECAV7KIM,27473,6,130,181.64965055177785,59.49595803394914,3574.873791076243,7729.022422014341,6.358426340324045,0.0013886564278362127,130,140,150,160,230,550,950,1200,2100,3500,3600
GET,/product/LS4PSXUNUM,27559,2,130,181.0381979867637,60.935833025723696,3250.3413748927414,7728.670416197975,6.378330415789698,0.00046288547594540425,130,140,150,160,240,560,950,1100,1900,2600,3300
GET,/product/OLJCESPC7Z,27326,3,130,182.25005199727119,83.06441712193191,3175.2802920527756,7761.444228939472,6.324404257842058,0.0006943282139181063,130,140,150,160,230,550,970,1200,2100,3000,3200
POST,/setCurrency,18873,2,200,250.2636970460264,129.1853750590235,3149.4613750837743,10284.821173104436,4.368018793758807,0.00046288547594540425,200,210,230,240,320,560,960,1100,2200,3100,3100
,Aggregated,417692,36,150,207.16216085795463,57.92866600677371,3930.0695839338005,10185.166989073288,96.67178010929389,0.008331938567017276,150,180,210,230,310,530,940,1200,2000,2900,3900
