Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-25 03:55:41,deployment,adservice,49,90,1,,,
2026-08-25 03:55:41,deployment,cartservice,11,44,1,,,
2026-08-25 03:55:41,deployment,checkoutservice,13,11,1,,,
2026-08-25 03:55:41,deployment,currencyservice,67,42,1,,,
2026-08-25 03:55:41,deployment,emailservice,17,41,1,,,
2026-08-25 03:55:41,deployment,frontend,59,12,1,,,
2026-08-25 03:55:41,http_p95_latency,frontend,,,,,,218.8
2026-08-25 03:55:41,deployment,paymentservice,7,29,1,,,
2026-08-25 03:55:41,deployment,productcatalogservice,26,9,1,,,
2026-08-25 03:55:41,deployment,recommendationservice,74,44,1,,,
2026-08-25 03:55:41,deployment,redis-cart,4,7,1,,,
2026-08-25 03:55:41,deployment,shippingservice,18,8,1,,,
2026-08-25 03:55:41,node,ze-master-node,2371,3676,,59.3,46.3,
2026-08-25 03:55:41,node,ze-worker-node,1333,2582,,33.3,32.5,
2026-08-25 03:55:47,deployment,adservice,49,90,1,,,
2026-08-25 03:55:47,deployment,cartservice,11,44,1,,,
2026-08-25 03:55:47,deployment,checkoutservice,13,11,1,,,
2026-08-25 03:55:47,deployment,currencyservice,67,42,1,,,
2026-08-25 03:55:47,deployment,emailservice,17,41,1,,,
2026-08-25 03:55:47,deployment,frontend,59,12,1,,,
2026-08-25 03:55:47,http_p95_latency,frontend,,,,,,218.8
2026-08-25 03:55:47,deployment,paymentservice,7,29,1,,,
2026-08-25 03:55:47,deployment,productcatalogservice,26,9,1,,,
2026-08-25 03:55:47,deployment,recommendationservice,74,44,1,,,
2026-08-25 03:55:47,deployment,redis-cart,4,7,1,,,
2026-08-25 03:55:47,deployment,shippingservice,18,8,1,,,
2026-08-25 03:55:47,node,ze-master-node,2371,3676,,59.3,46.3,
2026-08-25 03:55:47,node,ze-worker-node,1333,2582,,33.3,32.5,
2026-08-25 03:55:53,deployment,adservice,8,90,1,,,
2026-08-25 03:55:53,deployment,cartservice,10,44,1,,,
2026-08-25 03:55:53,deployment,checkoutservice,13,11,1,,,
2026-08-25 03:55:53,deployment,currencyservice,8,42,1,,,
2026-08-25 03:55:53,deployment,emailservice,16,40,1,,,
2026-08-25 03:55:53,deployment,frontend,0,12,1,,,
2026-08-25 03:55:53,http_p95_latency,frontend,,,,,,218.8
2026-08-25 03:55:53,deployment,paymentservice,9,29,1,,,
2026-08-25 03:55:53,deployment,productcatalogservice,8,9,1,,,
2026-08-25 03:55:53,deployment,recommendationservice,24,44,1,,,
2026-08-25 03:55:53,deployment,redis-cart,4,7,1,,,
2026-08-25 03:55:53,deployment,shippingservice,12,8,1,,,
2026-08-25 03:55:53,node,ze-master-node,891,3469,,22.3,43.7,
2026-08-25 03:55:53,node,ze-worker-node,534,2567,,13.4,32.3,
2026-08-25 03:56:00,deployment,adservice,8,90,1,,,
2026-08-25 03:56:00,deployment,cartservice,10,44,1,,,
2026-08-25 03:56:00,deployment,checkoutservice,13,11,1,,,
2026-08-25 03:56:00,deployment,currencyservice,8,42,1,,,
2026-08-25 03:56:00,deployment,emailservice,16,40,1,,,
2026-08-25 03:56:00,deployment,frontend,0,12,1,,,
2026-08-25 03:56:00,http_p95_latency,frontend,,,,,,362.2
2026-08-25 03:56:00,deployment,paymentservice,9,29,1,,,
2026-08-25 03:56:00,deployment,productcatalogservice,8,9,1,,,
2026-08-25 03:56:00,deployment,recommendationservice,24,44,1,,,
2026-08-25 03:56:00,deployment,redis-cart,4,7,1,,,
2026-08-25 03:56:00,deployment,shippingservice,12,8,1,,,
2026-08-25 03:56:00,node,ze-master-node,891,3469,,22.3,43.7,
2026-08-25 03:56:00,node,ze-worker-node,534,2567,,13.4,32.3,
2026-08-25 03:56:07,deployment,adservice,13,90,1,,,
2026-08-25 03:56:07,deployment,cartservice,16,43,1,,,
2026-08-25 03:56:07,deployment,checkoutservice,8,11,1,,,
