Autoscaler,Timestamp,Elapsed_minutes,HTTP_LAT_ms,LatencyDelta_ms
queue,2026-08-25 00:19:00,1.0,188.6,-24.5
queue,2026-08-25 00:20:00,2.0,566.1,377.5
queue,2026-08-25 00:21:00,3.0,567.0,0.8999999999999773
queue,2026-08-25 00:22:00,4.0,406.2,-160.8
queue,2026-08-25 00:23:00,5.0,327.1,-79.09999999999997
queue,2026-08-25 00:24:00,6.0,233.6,-93.50000000000003
queue,2026-08-25 00:25:00,7.0,480.8,247.20000000000002
queue,2026-08-25 00:26:00,8.0,480.8,0.0
queue,2026-08-25 00:27:00,9.0,210.9,-269.9
queue,2026-08-25 00:28:00,10.0,210.9,0.0
queue,2026-08-25 00:29:00,11.0,226.4,15.5
queue,2026-08-25 00:30:00,12.0,244.0,17.599999999999994
queue,2026-08-25 00:31:00,13.0,177.8,-66.19999999999999
queue,2026-08-25 00:32:00,14.0,182.9,5.099999999999994
queue,2026-08-25 00:33:00,15.0,182.8,-0.09999999999999432
queue,2026-08-25 00:34:00,16.0,240.2,57.39999999999998
queue,2026-08-25 00:35:00,17.0,241.6,1.4000000000000057
queue,2026-08-25 00:36:00,18.0,236.0,-5.599999999999994
queue,2026-08-25 00:37:00,19.0,232.1,-3.9000000000000057
queue,2026-08-25 00:38:00,20.0,226.7,-5.400000000000006
queue,2026-08-25 00:39:00,21.0,225.3,-1.3999999999999773
queue,2026-08-25 00:40:00,22.0,242.4,17.099999999999994
queue,2026-08-25 00:41:00,23.0,217.5,-24.900000000000006
queue,2026-08-25 00:42:00,24.0,803.1,585.6
queue,2026-08-25 00:43:00,25.0,248.0,-555.1
queue,2026-08-25 00:44:00,26.0,235.4,-12.599999999999994
queue,2026-08-25 00:45:00,27.0,234.6,-0.8000000000000114
queue,2026-08-25 00:46:00,28.0,344.1,109.50000000000003
queue,2026-08-25 00:47:00,29.0,212.3,-131.8
queue,2026-08-25 00:48:00,30.0,211.9,-0.4000000000000057
queue,2026-08-25 00:49:00,31.0,590.3,378.4
queue,2026-08-25 00:50:00,32.0,489.6,-100.69999999999993
queue,2026-08-25 00:51:00,33.0,221.8,-267.8
queue,2026-08-25 00:52:00,34.0,247.6,25.799999999999983
queue,2026-08-25 00:53:00,35.0,247.6,0.0
queue,2026-08-25 00:54:00,36.0,175.5,-72.1
queue,2026-08-25 00:55:00,37.0,219.1,43.599999999999994
queue,2026-08-25 00:56:00,38.0,227.4,8.300000000000011
queue,2026-08-25 00:57:00,39.0,196.8,-30.599999999999994
queue,2026-08-25 00:58:00,40.0,370.5,173.7
queue,2026-08-25 00:59:00,41.0,454.6,84.10000000000002
queue,2026-08-25 01:00:00,42.0,351.7,-102.90000000000003
queue,2026-08-25 01:01:00,43.0,226.9,-124.79999999999998
queue,2026-08-25 01:02:00,44.0,231.2,4.299999999999983
queue,2026-08-25 01:03:00,45.0,247.0,15.800000000000011
queue,2026-08-25 01:04:00,46.0,247.0,0.0
queue,2026-08-25 01:05:00,47.0,326.8,79.80000000000001
queue,2026-08-25 01:06:00,48.0,656.8,329.99999999999994
queue,2026-08-25 01:07:00,49.0,664.8,8.0
queue,2026-08-25 01:08:00,50.0,347.3,-317.49999999999994
queue,2026-08-25 01:09:00,51.0,441.4,94.09999999999997
queue,2026-08-25 01:10:00,52.0,242.3,-199.09999999999997
queue,2026-08-25 01:11:00,53.0,248.9,6.599999999999994
queue,2026-08-25 01:12:00,54.0,177.4,-71.5
queue,2026-08-25 01:13:00,55.0,177.4,0.0
queue,2026-08-25 01:14:00,56.0,776.6,599.2
queue,2026-08-25 01:15:00,57.0,721.0,-55.60000000000002
queue,2026-08-25 01:16:00,58.0,441.8,-279.2
queue,2026-08-25 01:17:00,59.0,390.5,-51.30000000000001
queue,2026-08-25 01:18:00,60.0,221.0,-169.5
queue,2026-08-25 01:19:00,61.0,234.3,13.300000000000011
queue,2026-08-25 01:20:00,62.0,217.6,-16.700000000000017
queue,2026-08-25 01:21:00,63.0,207.5,-10.099999999999994
queue,2026-08-25 01:22:00,64.0,241.2,33.69999999999999
queue,2026-08-25 01:23:00,65.0,244.1,2.9000000000000057
queue,2026-08-25 01:24:00,66.0,418.5,174.4
queue,2026-08-25 01:25:00,67.0,211.5,-207.0
queue,2026-08-25 01:26:00,68.0,259.9,48.39999999999998
queue,2026-08-25 01:27:00,69.0,230.9,-28.99999999999997
queue,2026-08-25 01:28:00,70.0,234.5,3.5999999999999943
queue,2026-08-25 01:29:00,71.0,224.2,-10.300000000000011
queue,2026-08-25 01:30:00,72.0,225.6,1.4000000000000057
hpa80,2026-08-25 05:08:12,0.13333333333333333,385.4,-98.80000000000001
hpa80,2026-08-25 05:08:20,0.26666666666666666,385.4,0.0
hpa80,2026-08-25 05:08:26,0.36666666666666664,668.5,283.1
hpa80,2026-08-25 05:08:32,0.4666666666666667,668.5,0.0
hpa80,2026-08-25 05:08:38,0.5666666666666667,668.5,0.0
hpa80,2026-08-25 05:08:44,0.6666666666666666,353.1,-315.4
hpa80,2026-08-25 05:08:51,0.7833333333333333,353.1,0.0
hpa80,2026-08-25 05:08:58,0.9,153.1,-200.00000000000003
hpa80,2026-08-25 05:09:04,1.0,153.1,0.0
hpa80,2026-08-25 05:09:12,1.1333333333333333,181.0,27.900000000000006
hpa80,2026-08-25 05:09:20,1.2666666666666666,181.0,0.0
hpa80,2026-08-25 05:09:27,1.3833333333333333,177.9,-3.0999999999999943
hpa80,2026-08-25 05:09:35,1.5166666666666666,177.9,0.0
hpa80,2026-08-25 05:09:43,1.65,174.6,-3.3000000000000114
hpa80,2026-08-25 05:09:51,1.7833333333333334,174.6,0.0
hpa80,2026-08-25 05:09:57,1.8833333333333333,181.8,7.200000000000017
hpa80,2026-08-25 05:10:04,2.0,181.8,0.0
hpa80,2026-08-25 05:10:11,2.1166666666666667,183.8,2.0
hpa80,2026-08-25 05:10:19,2.25,183.8,0.0
hpa80,2026-08-25 05:10:25,2.35,476.0,292.2
hpa80,2026-08-25 05:10:31,2.45,476.0,0.0
hpa80,2026-08-25 05:10:37,2.55,476.0,0.0
hpa80,2026-08-25 05:10:44,2.6666666666666665,394.2,-81.80000000000001
hpa80,2026-08-25 05:10:51,2.783333333333333,394.2,0.0
hpa80,2026-08-25 05:10:59,2.9166666666666665,330.8,-63.39999999999998
hpa80,2026-08-25 05:11:06,3.033333333333333,330.8,0.0
hpa80,2026-08-25 05:11:14,3.1666666666666665,220.4,-110.4
hpa80,2026-08-25 05:11:21,3.283333333333333,220.4,0.0
hpa80,2026-08-25 05:11:29,3.4166666666666665,437.2,216.79999999999998
hpa80,2026-08-25 05:11:36,3.533333333333333,437.2,0.0
hpa80,2026-08-25 05:11:43,3.65,386.9,-50.30000000000001
