Autoscaler,Minute,AverageReplicas,ReplicaDelta
queue,1,12.0,0.7142857142857135
queue,2,12.0,0.0
queue,3,12.375,0.375
queue,4,14.0,1.625
queue,5,16.5,2.5
queue,6,18.142857142857142,1.6428571428571423
queue,7,19.625,1.4821428571428577
queue,8,20.0,0.375
queue,9,22.0,2.0
queue,10,22.0,0.0
queue,11,22.0,0.0
queue,12,22.25,0.25
queue,13,23.875,1.625
queue,14,22.125,-1.75
queue,15,22.0,-0.125
queue,16,22.75,0.75
queue,17,26.142857142857142,3.3928571428571423
queue,18,28.25,2.1071428571428577
queue,19,28.0,-0.25
queue,20,27.142857142857142,-0.8571428571428577
queue,21,25.25,-1.8928571428571423
queue,22,24.25,-1.0
queue,23,21.142857142857142,-3.1071428571428577
queue,24,22.75,1.6071428571428577
queue,25,25.285714285714285,2.5357142857142847
queue,26,29.0,3.7142857142857153
queue,27,29.0,0.0
queue,28,28.25,-0.75
queue,29,27.125,-1.125
queue,30,25.285714285714285,-1.8392857142857153
queue,31,22.75,-2.5357142857142847
queue,32,23.285714285714285,0.5357142857142847
queue,33,23.5,0.2142857142857153
queue,34,26.5,3.0
queue,35,28.42857142857143,1.9285714285714306
queue,36,28.0,-0.4285714285714306
queue,37,27.75,-0.25
queue,38,25.142857142857142,-2.6071428571428577
queue,39,24.25,-0.8928571428571423
queue,40,21.142857142857142,-3.1071428571428577
queue,41,21.0,-0.14285714285714235
queue,42,21.875,0.875
queue,43,26.75,4.875
queue,44,27.0,0.25
queue,45,27.0,0.0
queue,46,24.875,-2.125
queue,47,22.5,-2.375
queue,48,20.142857142857142,-2.3571428571428577
queue,49,21.25,1.1071428571428577
queue,50,23.125,1.875
queue,51,24.142857142857142,1.0178571428571423
queue,52,26.875,2.7321428571428577
queue,53,26.428571428571427,-0.44642857142857295
queue,54,24.5,-1.928571428571427
queue,55,22.142857142857142,-2.3571428571428577
queue,56,20.0,-2.1428571428571423
queue,57,19.57142857142857,-0.4285714285714306
queue,58,20.714285714285715,1.142857142857146
queue,59,22.42857142857143,1.7142857142857153
queue,60,24.25,1.8214285714285694
queue,61,25.857142857142858,1.6071428571428577
queue,62,24.75,-1.1071428571428577
queue,63,23.625,-1.125
queue,64,20.0,-3.625
queue,65,20.0,0.0
queue,66,19.0,-1.0
queue,67,20.25,1.25
queue,68,23.285714285714285,3.0357142857142847
queue,69,26.0,2.7142857142857153
queue,70,28.0,2.0
queue,71,27.75,-0.25
queue,72,26.0,-1.75
hpa80,1,11.0,0.0
hpa80,2,11.222222222222221,0.22222222222222143
hpa80,3,13.88888888888889,2.666666666666668
hpa80,4,16.625,2.7361111111111107
hpa80,5,18.88888888888889,2.2638888888888893
hpa80,6,20.88888888888889,2.0
hpa80,7,21.0,0.11111111111111072
hpa80,8,23.4,2.3999999999999986
hpa80,9,25.555555555555557,2.1555555555555586
hpa80,10,26.0,0.44444444444444287
hpa80,11,26.0,0.0
hpa80,12,26.875,0.875
hpa80,13,28.0,1.125
hpa80,14,28.0,0.0
hpa80,15,28.0,0.0
hpa80,16,28.0,0.0
hpa80,17,31.0,3.0
hpa80,18,32.0,1.0
hpa80,19,32.0,0.0
hpa80,20,32.0,0.0
hpa80,21,32.0,0.0
hpa80,22,32.0,0.0
hpa80,23,32.0,0.0
hpa80,24,32.0,0.0
hpa80,25,32.0,0.0
hpa80,26,32.0,0.0
hpa80,27,32.25,0.25
hpa80,28,33.0,0.75
hpa80,29,33.0,0.0
hpa80,30,33.0,0.0
hpa80,31,33.0,0.0
hpa80,32,33.0,0.0
hpa80,33,32.25,-0.75
hpa80,34,32.0,-0.25
hpa80,35,34.0,2.0
hpa80,36,34.0,0.0
hpa80,37,34.0,0.0
hpa80,38,34.0,0.0
hpa80,39,34.0,0.0
hpa80,40,34.0,0.0
hpa80,41,33.333333333333336,-0.6666666666666643
hpa80,42,32.333333333333336,-1.0
hpa80,43,32.5,0.1666666666666643
hpa80,44,34.0,1.5
hpa80,45,34.0,0.0
hpa80,46,34.0,0.0
hpa80,47,34.0,0.0
hpa80,48,34.0,0.0
hpa80,49,34.0,0.0
hpa80,50,32.375,-1.625
hpa80,51,32.0,-0.375
hpa80,52,32.0,0.0
hpa80,53,32.0,0.0
hpa80,54,32.0,0.0
hpa80,55,32.0,0.0
hpa80,56,32.0,0.0
hpa80,57,31.666666666666668,-0.33333333333333215
hpa80,58,31.0,-0.6666666666666679
hpa80,59,29.0,-2.0
hpa80,60,28.125,-0.875
hpa80,61,29.0,0.875
hpa80,62,29.0,0.0
hpa80,63,29.0,0.0
hpa80,64,29.0,0.0
hpa80,65,29.0,0.0
hpa80,66,29.0,0.0
hpa80,67,29.0,0.0
hpa80,68,29.22222222222222,0.22222222222222143
hpa80,69,31.0,1.7777777777777786
hpa80,70,31.0,0.0
hpa80,71,31.0,0.0
hpa80,72,31.0,0.0
das,1,11.0,0.0
das,2,11.5,0.5
das,3,12.666666666666666,1.166666666666666
das,4,14.875,2.208333333333334
das,5,18.5,3.625
das,6,20.285714285714285,1.7857142857142847
das,7,22.5,2.2142857142857153
das,8,25.25,2.75
das,9,28.0,2.75
das,10,28.0,0.0
das,11,28.285714285714285,0.2857142857142847
das,12,29.857142857142858,1.571428571428573
das,13,30.0,0.14285714285714235
das,14,30.0,0.0
das,15,30.0,0.0
das,16,30.57142857142857,0.5714285714285694
das,17,33.33333333333333,2.761904761904759
das,18,36.714285714285715,3.3809523809523867
das,19,41.714285714285715,5.0
das,20,41.0,-0.7142857142857153
das,21,38.42857142857143,-2.5714285714285694
das,22,37.42857142857143,-1.0
das,23,34.714285714285715,-2.7142857142857153
das,24,33.0,-1.7142857142857153
das,25,34.14285714285714,1.1428571428571388
das,26,35.714285714285715,1.5714285714285765
das,27,36.0,0.2857142857142847
das,28,36.0,0.0
das,29,36.0,0.0
das,30,34.285714285714285,-1.7142857142857153
das,31,31.42857142857143,-2.857142857142854
das,32,31.0,-0.4285714285714306
das,33,31.75,0.75
das,34,34.85714285714286,3.107142857142861
das,35,37.5,2.642857142857139
das,36,38.25,0.75
das,37,39.0,0.75
das,38,37.0,-2.0
das,39,35.125,-1.875
das,40,32.85714285714286,-2.267857142857139
das,41,32.0,-0.8571428571428612
das,42,32.0,0.0
das,43,32.57142857142857,0.5714285714285694
das,44,34.714285714285715,2.142857142857146
das,45,35.0,0.2857142857142847
das,46,34.75,-0.25
das,47,34.0,-0.75
das,48,32.5,-1.5
das,49,30.42857142857143,-2.0714285714285694
das,50,30.0,-0.4285714285714306
das,51,31.142857142857142,1.1428571428571423
das,52,34.14285714285714,2.9999999999999964
das,53,36.0,1.8571428571428612
das,54,35.714285714285715,-0.2857142857142847
das,55,33.25,-2.4642857142857153
das,56,31.25,-2.0
das,57,30.0,-1.25
das,58,30.0,0.0
das,59,30.0,0.0
das,60,30.0,0.0
das,61,30.0,0.0
das,62,30.0,0.0
das,63,30.0,0.0
das,64,30.0,0.0
das,65,30.0,0.0
das,66,30.0,0.0
das,67,30.0,0.0
das,68,30.42857142857143,0.4285714285714306
das,69,31.0,0.5714285714285694
das,70,31.0,0.0
das,71,31.0,0.0
das,72,31.0,0.0
