Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,13824,2,97,147.03910156654106,49.83158293180168,4230.051500024274,10276.896484375,5.117395190712508,0.0007403638875452124,97,120,130,150,210,300,770,1200,3100,3900,4200
GET,/cart,38283,3,100,151.49695549902688,18.540458055213094,5071.921375114471,14055.036648120577,14.171675353446682,0.0011105458313178185,100,120,130,150,190,300,860,1400,3300,4300,5100
POST,/cart,38229,3,140,184.75864269581172,17.945292172953486,4568.8209580257535,18135.16293912998,14.151685528482963,0.0011105458313178185,140,160,180,200,250,360,760,1100,2500,3900,4600
POST,/cart/checkout,12780,0,130,167.30678398431758,64.22829208895564,4138.27612507157,6561.405086071987,4.730925241413908,0.0,130,160,170,190,230,300,560,920,2300,3600,4100
GET,/product/0PUK6V6EV0,18173,2,83,127.48740948658259,21.540750050917268,4759.190209209919,7737.254168271612,6.727316464179572,0.0007403638875452124,83,97,110,120,150,240,770,1200,3200,4200,4800
GET,/product/1YMWWN1N4O,18287,0,82,131.84568770512976,43.537624878808856,4798.764958046377,7759.091431071252,6.76951720576965,0.0,82,96,110,120,150,250,870,1300,3300,4300,4800
GET,/product/2ZYFJ3GM2N,18510,5,82,132.99570891907794,20.39508312009275,4687.801957828924,7754.511993517018,6.852067779230941,0.001850909718863031,82,96,110,120,150,260,870,1400,3400,4600,4700
GET,/product/66VCHSJNUP,18421,2,82,128.9865576136981,44.85787497833371,4119.035792071372,7721.564953042723,6.819121586235179,0.0007403638875452124,82,96,110,120,150,240,770,1300,3300,4000,4100
GET,/product/6E92ZMYYFZ,18306,1,83,130.96571923683814,27.93462504632771,4609.614500077441,7711.532557631378,6.776550662701329,0.0003701819437726062,83,96,110,120,160,260,820,1300,3100,4600,4600
GET,/product/9SIQT8TOJO,18158,0,83,129.64712552398936,43.84920792654157,4679.447709117085,7762.889194845247,6.721763735022983,0.0,83,96,110,120,160,250,770,1300,3200,4400,4700
GET,/product/L9ECAV7KIM,18259,2,83,129.60842113900185,22.045250050723553,4615.137541899458,7729.020209211895,6.759152111344017,0.0007403638875452124,83,97,110,120,150,250,800,1300,3200,4500,4600
GET,/product/LS4PSXUNUM,18433,4,83,134.3174570492123,20.187290851026773,4626.743125030771,7727.354472956112,6.82356376956045,0.0014807277750904248,83,97,110,120,160,290,860,1400,3300,4600,4600
GET,/product/OLJCESPC7Z,18308,3,83,132.74325878354392,21.932499948889017,4592.17912517488,7760.330074284466,6.777291026588874,0.0011105458313178185,83,96,110,120,160,260,900,1400,3200,4400,4600
POST,/setCurrency,12687,1,110,156.21205039123882,65.9754159860313,4683.826541062444,10283.636241822338,4.696498320643054,0.0003701819437726062,110,130,140,150,200,290,740,1200,2500,3900,4700
,Aggregated,280658,28,96,144.67985500510017,17.945292172953486,5071.921375114471,10203.83617783922,103.8945239753321,0.010365094425632973,96,120,130,150,190,300,800,1300,3200,4300,5100
