Method,Name,Error,Occurrences
GET,/product/0PUK6V6EV0,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",2
POST,/cart,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",3
GET,/product/1YMWWN1N4O,HTTPError('500 Server Error: Internal Server Error for url: /product/1YMWWN1N4O'),1
GET,/product/66VCHSJNUP,HTTPError('500 Server Error: Internal Server Error for url: /product/66VCHSJNUP'),2
GET,/product/6E92ZMYYFZ,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",1
GET,/cart,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",5
GET,/,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",1
GET,/product/1YMWWN1N4O,HTTPError('503 Server Error: Service Unavailable for url: /product/1YMWWN1N4O'),3
GET,/product/66VCHSJNUP,HTTPError('503 Server Error: Service Unavailable for url: /product/66VCHSJNUP'),1
GET,/product/2ZYFJ3GM2N,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",6
POST,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),2
GET,/product/LS4PSXUNUM,HTTPError('503 Server Error: Service Unavailable for url: /product/LS4PSXUNUM'),2
POST,/setCurrency,HTTPError('503 Server Error: Service Unavailable for url: /setCurrency'),2
GET,/product/9SIQT8TOJO,HTTPError('500 Server Error: Internal Server Error for url: /product/9SIQT8TOJO'),2
GET,/product/LS4PSXUNUM,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",3
GET,/product/9SIQT8TOJO,HTTPError('503 Server Error: Service Unavailable for url: /product/9SIQT8TOJO'),2
GET,/product/LS4PSXUNUM,HTTPError('500 Server Error: Internal Server Error for url: /product/LS4PSXUNUM'),1
GET,/product/0PUK6V6EV0,HTTPError('503 Server Error: Service Unavailable for url: /product/0PUK6V6EV0'),1
GET,/product/OLJCESPC7Z,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",3
GET,/,HTTPError('503 Server Error: Service Unavailable for url: /'),3
GET,/product/OLJCESPC7Z,HTTPError('500 Server Error: Internal Server Error for url: /product/OLJCESPC7Z'),1
GET,/cart,HTTPError('503 Server Error: Service Unavailable for url: /cart'),2
GET,/product/L9ECAV7KIM,HTTPError('500 Server Error: Internal Server Error for url: /product/L9ECAV7KIM'),1
GET,/product/66VCHSJNUP,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",4
GET,/product/L9ECAV7KIM,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",3
GET,/product/9SIQT8TOJO,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",2
POST,/setCurrency,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='13.40.113.100', port=30402): Read timed out. (read timeout=None)""))",1
