Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778004365,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778004366,20,,Aggregated,0.000000,0.000000,160,240,240,430,450,450,450,450,450,450,450,45,0,160,210.4994657345944,77.7280000038445,449.31599986739457,9563.777777777777
1778004367,24,,Aggregated,0.000000,0.000000,160,220,240,240,450,450,450,450,450,450,450,53,0,160,200.70402985350844,69.71341604366899,449.31599986739457,9431.396226415094
1778004368,24,,Aggregated,0.000000,0.000000,150,220,240,240,450,450,450,660,660,660,660,59,0,150,197.044824873555,57.517334120348096,662.5453750602901,9254.762711864407
1778004369,24,,Aggregated,26.500000,0.000000,140,220,240,240,450,450,660,880,880,880,880,67,0,140,200.54948136363345,57.517334120348096,877.8425001073629,9052.164179104477
1778004370,24,,Aggregated,19.666667,0.000000,120,180,220,240,450,450,660,880,880,880,880,82,0,110,179.43636128656203,57.517334120348096,877.8425001073629,9387.121951219513
1778004371,24,,Aggregated,16.000000,0.000000,110,160,220,240,440,450,660,880,880,880,880,92,0,110,170.59740082502526,57.517334120348096,877.8425001073629,9338.358695652174
1778004372,24,,Aggregated,16.200000,0.000000,110,150,210,220,440,450,660,880,880,880,880,100,0,110,162.2689329367131,57.517334120348096,877.8425001073629,9211.75
1778004373,24,,Aggregated,16.200000,0.000000,100,140,190,220,440,450,530,660,880,880,880,105,0,100,157.88638771156826,57.517334120348096,877.8425001073629,9220.409523809523
1778004374,24,,Aggregated,15.166667,0.000000,96,120,170,210,250,450,530,660,880,880,880,121,0,96,147.63127688187643,57.517334120348096,877.8425001073629,9264.123966942148
1778004375,24,,Aggregated,14.142857,0.000000,89,110,150,190,240,450,530,660,880,880,880,132,0,87,141.7093008375642,57.517334120348096,877.8425001073629,9257.537878787878
1778004376,24,,Aggregated,13.125000,0.000000,86,110,140,180,240,450,530,660,880,880,880,140,0,83,137.67488512343593,57.517334120348096,877.8425001073629,9214.507142857143
1778004377,24,,Aggregated,13.444444,0.000000,81,110,120,170,240,450,450,660,880,880,880,153,0,81,132.48536383179228,57.517334120348096,877.8425001073629,9216.830065359478
