Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20636,1,130.0,223.7354346040931,32.281999941915274,4922.713208943605,10278.30461329715,4.911663818792274,0.00023801433508394425,130,180,230,280,460,750,1000,1200,1900,3900,4900
GET,/cart,56243,0,150.0,245.0868413673278,52.64441715553403,5210.9657088294625,14104.871450669416,13.386640248126277,0.0,150,190,230,280,540,840,1100,1400,2600,4300,5200
POST,/cart,56214,3,210.0,299.33607272664483,46.38433316722512,5060.748416930437,18173.661899171024,13.379737832408841,0.0007140430052518327,210,260,300,340,520,800,1300,1600,2800,4200,5100
POST,/cart/checkout,18561,1,160.0,213.82356000355492,72.7819581516087,4754.0433327667415,6561.236786811055,4.417784073493089,0.00023801433508394425,160,190,210,230,300,450,1100,1400,2500,3500,4800
GET,/product/0PUK6V6EV0,27230,3,110.0,206.08057789933764,35.20941687747836,4258.339165709913,7736.876606683804,6.481130344335802,0.0007140430052518327,110,140,180,210,460,790,1100,1300,2200,4000,4300
GET,/product/1YMWWN1N4O,27121,0,110.0,204.84097161209098,55.203916039317846,4888.332250062376,7759.760960141588,6.455186781811652,0.0,110,140,170,210,470,780,1100,1300,2200,3800,4900
GET,/product/2ZYFJ3GM2N,27022,2,110.0,205.3169163760133,36.08295787125826,3916.279250290245,7755.237658204426,6.431623362638342,0.0004760286701678885,110,140,170,210,470,800,1100,1300,2000,3000,3900
GET,/product/66VCHSJNUP,27031,0,110.0,207.40251213759774,54.57345815375447,4742.768375203013,7722.606747808072,6.433765491654097,0.0,110,140,180,220,480,810,1100,1300,2100,3500,4700
GET,/product/6E92ZMYYFZ,26837,1,110.0,205.84375255169587,28.818625025451183,4994.376291055232,7712.373737750121,6.387590710647812,0.00023801433508394425,110,140,180,210,460,790,1100,1300,2100,4400,5000
GET,/product/9SIQT8TOJO,26921,3,110.0,207.7338938312242,34.39699998125434,5535.94558313489,7763.363768062108,6.407583914794863,0.0007140430052518327,110,140,180,220,480,800,1100,1300,2200,3900,5500
GET,/product/L9ECAV7KIM,27256,3,110.0,206.98889258885134,50.12345826253295,4959.28908418864,7729.492882301145,6.487318717047985,0.0007140430052518327,110,140,180,220,480,800,1100,1300,2100,3700,5000
GET,/product/LS4PSXUNUM,27319,2,110.0,203.24533442011796,52.59933369234204,4380.165082868189,7728.873311614627,6.502313620158273,0.0004760286701678885,110,140,170,210,450,780,1100,1300,2200,3500,4400
GET,/product/OLJCESPC7Z,26907,1,110.0,203.97263671219827,39.05825037509203,4956.9944576360285,7761.564908759802,6.404251714103688,0.00023801433508394425,110,140,170,210,460,780,1100,1300,2200,4200,5000
POST,/setCurrency,19017,1,170.0,265.58099808197835,85.20770911127329,6947.124375030398,10284.208602829047,4.5263186102913675,0.00023801433508394425,170,210,260,310,530,830,1100,1400,2800,6600,6900
,Aggregated,414315,21,140.0,227.76907655096622,28.818625025451183,6947.124375030398,10210.709308135114,98.61290924030436,0.004998301036762829,140,180,220,260,480,790,1100,1400,2400,4000,6900
