Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20775,1,130.0,183.99569206609962,56.86766700819135,5128.047291655093,10277.938050541516,4.945354325055883,0.00023804352948524104,130,160,190,210,310,450,840,1100,2300,3100,5100
GET,/cart,57654,13,140.0,194.74957473287887,34.736208617687225,6014.832625165582,14203.375307871092,13.724161648942086,0.0030945658833081333,140,170,190,210,300,490,920,1300,2600,3200,6000
POST,/cart,57103,21,200.0,263.3049735965985,28.71029172092676,3782.6948328875005,18189.16771448085,13.59299966419572,0.004998914119190062,200,230,260,290,410,630,1100,1300,2900,3600,3800
POST,/cart/checkout,18804,4,150.0,199.1776425329377,68.23016563430429,3952.5268748402596,6560.66071048713,4.4761705284404725,0.0009521741179409641,150,180,200,220,290,410,850,1100,2700,3800,4000
GET,/product/0PUK6V6EV0,27448,6,100.0,152.50698664617602,31.725166831165552,3669.9751247651875,7736.982767414748,6.533818797310896,0.0014282611769114463,100,120,140,160,230,370,770,1000,2300,3000,3700
GET,/product/1YMWWN1N4O,27306,8,100.0,153.39845501524988,30.88820818811655,3315.2275420725346,7757.857577089285,6.500016616123991,0.0019043482358819283,100,130,140,160,230,380,780,1000,2300,3000,3300
GET,/product/2ZYFJ3GM2N,27490,7,100.0,153.81638859230964,30.973250046372414,3353.1670421361923,7753.880756638778,6.543816625549276,0.0016663047063966872,100,130,140,160,230,370,800,1100,2300,3100,3400
GET,/product/66VCHSJNUP,27385,6,110.0,154.2237852216794,28.300916776061058,3389.9042499251664,7722.2597772503195,6.518822054953326,0.0014282611769114463,110,130,140,160,230,380,800,1100,2200,3300,3400
GET,/product/6E92ZMYYFZ,27477,3,100.0,153.6400338019356,33.378999680280685,3328.487583436072,7711.663136441387,6.540722059665968,0.0007141305884557232,100,120,140,160,230,380,790,1000,2200,3100,3300
GET,/product/9SIQT8TOJO,27630,6,100.0,154.14870044762904,32.40754175931215,3544.2507080733776,7762.450597176981,6.57714271967721,0.0014282611769114463,100,120,140,160,230,380,800,1100,2200,3100,3500
GET,/product/L9ECAV7KIM,27543,5,110.0,153.34261799917178,25.36720782518387,3388.4016247466207,7729.540028319355,6.556432932611994,0.0011902176474262052,110,130,140,160,230,370,770,1000,2200,3000,3400
GET,/product/LS4PSXUNUM,27636,5,100.0,153.32139779854433,50.852667074650526,3305.1006249152124,7727.964394268346,6.5785709808541215,0.0011902176474262052,100,120,140,160,230,380,790,1100,2100,3100,3300
GET,/product/OLJCESPC7Z,27566,5,100.0,153.31674503029524,29.136165976524353,3558.7478750385344,7760.709388376986,6.561907933790154,0.0011902176474262052,100,120,140,160,230,370,780,1000,2200,3200,3600
POST,/setCurrency,18931,6,160.0,221.14249312339376,25.36433283239603,5465.026292018592,10282.731657070413,4.506402056685098,0.0014282611769114463,160,190,220,240,350,530,890,1200,2400,3400,5500
,Aggregated,420748,96,130.0,180.65959494682212,25.36433283239603,6014.832625165582,10231.031472520368,100.1563389438562,0.02285217883058314,130,160,180,200,290,460,860,1100,2400,3300,6000
