Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,21101,0,110.0,153.43340238965234,61.600583139806986,8155.361499637365,10277.93777546088,5.0232245543468155,0.0,110,120,140,160,230,320,670,980,2400,5700,8200
GET,/cart,57432,1,120.0,170.17566571077975,43.87683281674981,9292.990500107408,14065.534928262989,13.672045524157447,0.00023805623213813635,120,140,150,170,210,350,820,1200,3900,8700,9300
POST,/cart,57717,7,170.0,215.64308852172897,27.809583116322756,9387.338291853666,18149.63068073531,13.739891550316816,0.0016663936249669544,170,190,210,220,280,430,840,1100,3000,7600,9400
POST,/cart/checkout,19342,0,130.0,177.75889514767195,77.97233434394002,3159.545332659036,6561.42611932582,4.6044836420158335,0.0,130,160,170,180,240,370,780,1000,2100,3000,3200
GET,/product/0PUK6V6EV0,27980,0,92,138.4222468758685,55.90575002133846,9006.37966627255,7736.157147962831,6.660813375225056,0.0,92,100,110,120,160,280,730,1000,4000,8700,9000
GET,/product/1YMWWN1N4O,28037,1,91,135.44592210356893,41.73108283430338,9355.857125017792,7758.12836608767,6.674382580456929,0.00023805623213813635,91,100,110,120,160,270,700,1000,3100,8600,9400
GET,/product/2ZYFJ3GM2N,27748,3,91,137.293378524444,34.56958429887891,9410.508750006557,7753.463312671183,6.605584329369008,0.000714168696414409,91,100,110,120,160,280,720,1100,3600,8900,9400
GET,/product/66VCHSJNUP,27890,1,91,134.00532839169966,53.429124876856804,8187.19487497583,7721.165184653998,6.639388314332623,0.00023805623213813635,91,100,110,120,160,290,710,1000,2500,7700,8200
GET,/product/6E92ZMYYFZ,28004,0,91,137.3123958523744,56.027666199952364,8898.356082849205,7710.497857448936,6.666526724796371,0.0,91,100,110,120,160,280,740,1100,3000,7900,8900
GET,/product/9SIQT8TOJO,27558,2,92,137.47580853538304,31.122665852308273,8703.78587488085,7761.718012918209,6.5603536452627615,0.0004761124642762727,92,100,110,120,160,280,690,1000,3900,8400,8700
GET,/product/L9ECAV7KIM,27819,2,92,137.54365529489806,55.69970840588212,8829.893874935806,7728.580214960998,6.622486321850816,0.0004761124642762727,92,100,110,120,160,280,760,1100,2800,8600,8800
GET,/product/LS4PSXUNUM,27906,2,92,138.29260392899866,48.84595796465874,9148.612583056092,7726.514978857594,6.643197214046833,0.0004761124642762727,92,100,110,120,160,280,740,1100,4700,8900,9100
GET,/product/OLJCESPC7Z,27666,1,91,137.4291049850994,28.1683336943388,8729.168958961964,7760.088086459915,6.586063718333681,0.00023805623213813635,91,100,110,120,160,290,740,1100,3000,7800,8700
POST,/setCurrency,19513,2,140.0,187.62135391701057,32.75091713294387,7065.2799173258245,10284.191974581048,4.6451912577114545,0.0004761124642762727,140,150,170,180,220,380,810,1200,3100,7000,7100
,Aggregated,425713,22,110.0,157.13810225030574,27.809583116322756,9410.508750006557,10193.262517235791,101.34363275222245,0.005237237107039,110,130,150,160,210,330,760,1100,3200,8200,9400
