Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20354,10,140.0,228.99162232697557,29.568541795015335,5029.436874669045,10272.723051979954,4.845191977956898,0.0023804618148555064,140,170,210,240,390,690,1200,1800,3800,5000,5000
GET,/cart,56161,28,140.0,217.9607963341052,27.06250036135316,94920.28887476772,14102.641922330442,13.36891159841001,0.006665293081595418,140,170,190,210,320,650,1100,1700,3400,5100,95000
POST,/cart,56031,63,200.0,278.31381718589864,28.861625120043755,6168.325792066753,18128.472988167265,13.33796559481689,0.014996909433589691,200,240,270,290,430,740,1100,1500,3200,4900,6200
POST,/cart/checkout,18747,11,160.0,226.29241903053233,27.13024988770485,62867.50241694972,6558.008854750094,4.462651764309618,0.0026185079963410574,160,190,220,240,330,540,970,1200,3100,4300,63000
GET,/product/0PUK6V6EV0,27005,4,110.0,178.91020550497927,31.371333170682192,5536.220042034984,7733.719903721533,6.428437131017295,0.0009521847259422026,110,130,150,160,260,560,1000,1500,3100,5000,5500
GET,/product/1YMWWN1N4O,26881,28,110.0,176.9874924083767,29.829541686922312,4872.535167261958,7750.5646739332615,6.398919404513087,0.006665293081595418,110,130,150,160,250,560,1000,1500,3100,4300,4900
GET,/product/2ZYFJ3GM2N,26892,11,110.0,180.52231410821526,37.390208803117275,94880.776416976,7750.857392533096,6.401537912509428,0.0026185079963410574,110,130,150,160,250,550,1000,1500,3100,4800,95000
GET,/product/66VCHSJNUP,27063,13,110.0,175.25161603401392,30.700082890689373,5879.833749961108,7716.898606954144,6.4422438095434575,0.0030946003593121585,110,130,150,160,260,540,1000,1400,3000,4400,5900
GET,/product/6E92ZMYYFZ,26967,10,110.0,177.97180471397064,30.26512498036027,6124.882833100855,7706.885304260763,6.419391376120845,0.0023804618148555064,110,130,150,160,260,560,1000,1500,3100,4500,6100
GET,/product/9SIQT8TOJO,27037,13,110.0,174.42054542265652,29.50191730633378,5343.59775017947,7757.524540444576,6.436054608824833,0.0030946003593121585,110,130,150,160,250,530,980,1400,3300,4800,5300
GET,/product/L9ECAV7KIM,27183,8,110.0,177.42294817100822,35.865915939211845,5730.44191673398,7725.080086818968,6.470809351321724,0.0019043694518844053,110,130,150,160,250,550,1000,1500,3100,4800,5700
GET,/product/LS4PSXUNUM,26798,13,110.0,177.13048872399244,38.26512489467859,5360.686332918704,7724.049182774834,6.379161571449787,0.0030946003593121585,110,130,150,160,260,560,1000,1400,3000,4600,5400
GET,/product/OLJCESPC7Z,26655,16,110.0,179.07060244368904,29.726249631494284,4649.9967919662595,7754.441943350215,6.345120967497353,0.0038087389037688105,110,130,150,160,260,580,1100,1500,3200,4300,4600
POST,/setCurrency,18474,9,170.0,246.33852555540037,29.15941597893834,5245.13216689229,10280.4042438021,4.397665156764063,0.002142415633369956,170,190,220,240,370,680,1200,1800,3300,5100,5200
,Aggregated,412248,237,130.0,204.5700604573192,27.06250036135316,94920.28887476772,10201.25261007937,98.13406222505529,0.0564169450120755,130,160,190,210,320,610,1100,1500,3200,4800,95000
