Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777417945,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777417946,20,,Aggregated,0.000000,0.000000,240,270,340,350,360,480,480,480,480,480,480,40,0,210,229.5600113720866,39.879499934613705,480.19054089672863,8671.325
1777417947,24,,Aggregated,0.000000,0.000000,140,190,250,270,360,360,480,480,480,480,480,68,0,120,165.96639089402743,31.081416993401945,480.19054089672863,7022.411764705882
1777417948,24,,Aggregated,0.000000,0.000000,84,160,200,250,340,360,480,480,480,480,480,92,0,84,135.14726715157335,28.828540933318436,480.19054089672863,5522.119565217391
1777417949,24,,Aggregated,34.000000,0.000000,52,110,170,190,320,360,480,480,480,480,480,116,0,52,116.1881493683503,28.548166970722377,480.19054089672863,4771.543103448276
1777417950,24,,Aggregated,30.666667,0.000000,79,140,180,200,270,360,480,480,480,480,480,140,0,67,121.8238192901481,26.798457955010235,480.19054089672863,4408.7642857142855
1777417951,24,,Aggregated,28.500000,0.000000,79,150,180,210,270,350,360,480,480,480,480,153,0,79,124.71896155472552,26.798457955010235,480.19054089672863,4247.0392156862745
1777417952,24,,Aggregated,24.000000,0.000000,97,170,210,250,360,550,580,590,600,600,600,174,0,92,153.87154737990565,26.798457955010235,596.2215000763535,4008.132183908046
1777417953,24,,Aggregated,24.000000,0.000000,110,180,250,300,480,540,580,590,600,600,600,185,0,110,173.122061680801,26.798457955010235,596.2215000763535,3944.9405405405405
1777417954,24,,Aggregated,23.428571,0.000000,130,200,250,300,480,550,590,720,1500,1500,1500,201,0,130,191.54920042098607,26.798457955010235,1453.6699169548228,3773.4378109452737
1777417955,24,,Aggregated,22.125000,0.000000,140,200,250,310,530,550,630,720,1500,1500,1500,221,0,140,197.87231651851192,26.798457955010235,1453.6699169548228,3850.343891402715
