Row Labels,Average of CPU_pct
:00,29.4175
deployment,
node,29.4175
master,31.82
worker,24.8
worker-2,27.34
worker-3,33.71
:01,33.41666667
:02,39.85
:03,40.11944444
:04,36.095
:05,29.47222222
:06,24.1225
:07,21.98
:08,21.76
deployment,
node,21.76
master,21.35
worker,21.84
worker-2,19.46
worker-3,24.39
:09,26.5125
deployment,
node,26.5125
master,31.08
worker,21.91
worker-2,18.47
worker-3,34.59
:10,32.725
deployment,
node,32.725
master,51.97777778
worker,14.16666667
worker-2,30.92222222
worker-3,33.83333333
:11,37.27222222
deployment,
node,37.27222222
master,53.64444444
worker,23.32222222
worker-2,37.43333333
worker-3,34.68888889
:12,24.24333333
deployment,
node,24.24333333
master,34.22
worker,16.55333333
worker-2,22.18666667
worker-3,24.01333333
:13,18.87375
deployment,
node,18.87375
master,28.39
worker,15.8
worker-2,13.725
worker-3,17.58
:14,18.335
deployment,
node,18.335
master,27.71
worker,19.685
worker-2,8.935
worker-3,17.01
:15,17.74
deployment,
node,17.74
master,27.455
worker,21.56
worker-2,5.955
worker-3,15.99
:16,17.9225
deployment,
node,17.9225
master,21.735
worker,21.935
worker-2,6.155
worker-3,21.865
:17,20.93026316
deployment,
node,20.93026316
master,22.97894737
worker,23.81578947
worker-2,8.473684211
worker-3,28.45263158
:18,24.69166667
deployment,
node,24.69166667
master,32.98571429
worker,21.76190476
worker-2,15.18095238
worker-3,28.83809524
:19,29.525
deployment,
node,29.525
master,38.36
worker,23.995
worker-2,18.795
worker-3,36.95
:20,33.12894737
deployment,
node,33.12894737
master,41.01052632
worker,22.42105263
worker-2,30.81578947
worker-3,38.26842105
:21,32.87105263
deployment,
node,32.87105263
master,38.65263158
worker,22.14736842
worker-2,34.76842105
worker-3,35.91578947
:22,31.43833333
deployment,
node,31.43833333
master,38.21333333
worker,23.96666667
worker-2,28.12666667
worker-3,35.44666667
:23,30.7175
deployment,
node,30.7175
master,40.39
worker,24.08
worker-2,26.18
worker-3,32.22
:24,27.49722222
deployment,
node,27.49722222
master,42.47777778
worker,20.67777778
worker-2,21.15555556
worker-3,25.67777778
:25,26.69
deployment,
node,26.69
master,26.47
worker,24.54
worker-2,25.64
worker-3,30.11
:26,29.71388889
deployment,
node,29.71388889
master,30.21111111
worker,26.5
worker-2,27.85555556
worker-3,34.28888889
:27,36.50277778
deployment,
node,36.50277778
master,54.28888889
worker,26.03333333
worker-2,29.04444444
worker-3,36.64444444
:28,44.59722222
deployment,
node,44.59722222
master,60.58888889
worker,29.37777778
worker-2,46.14444444
worker-3,42.27777778
:29,49.63333333
deployment,
node,49.63333333
master,72.73333333
worker,36.16666667
worker-2,46
worker-3,43.63333333
:30,41.36666667
deployment,
node,41.36666667
master,68.58888889
worker,36.13333333
worker-2,31.13333333
worker-3,29.61111111
:31,35.5675
deployment,
node,35.5675
master,56.96
worker,28.6
worker-2,24.52
worker-3,32.19
:32,32.0825
deployment,
node,32.0825
master,50.85
worker,24.4
worker-2,21.51
worker-3,31.57
:33,25.895
deployment,
node,25.895
master,40.6
worker,19.1
worker-2,19.48
worker-3,24.4
:34,29.2475
deployment,
node,29.2475
master,32.98
worker,26.08
worker-2,25.24
worker-3,32.69
:35,33.30555556
deployment,
node,33.30555556
master,50.77777778
worker,23.96666667
worker-2,25.14444444
worker-3,33.33333333
:36,42.0875
deployment,
node,42.0875
master,59.18
worker,24.4
worker-2,34.03
worker-3,50.74
:37,43.90833333
deployment,
node,43.90833333
master,63.06666667
worker,22.78888889
worker-2,40.68888889
worker-3,49.08888889
:38,42.72222222
deployment,
node,42.72222222
master,67.68888889
worker,19.3
worker-2,43.78888889
worker-3,40.11111111
:39,37.09166667
deployment,
node,37.09166667
master,56.78888889
worker,19
worker-2,35.78888889
worker-3,36.78888889
:40,32.21
deployment,
node,32.21
master,46.01
worker,19.28
worker-2,25.43
worker-3,38.12
:41,26.6425
deployment,
node,26.6425
master,41.27
worker,18.7
worker-2,19.79
worker-3,26.81
:42,25.43055556
deployment,
node,25.43055556
master,34.32222222
worker,21.06666667
worker-2,20.66666667
worker-3,25.66666667
:43,29.37
deployment,
node,29.37
master,30.72
worker,25.38
worker-2,26.54
worker-3,34.84
:44,35.97222222
deployment,
node,35.97222222
master,48.51111111
worker,21.92222222
worker-2,26.52222222
worker-3,46.93333333
:45,44.77777778
deployment,
node,44.77777778
master,59.6
worker,29.73333333
worker-2,40.82222222
worker-3,48.95555556
:46,44.953125
deployment,
node,44.953125
master,66.5375
worker,30.975
worker-2,42.1625
worker-3,40.1375
:47,40.62777778
deployment,
node,40.62777778
master,64.76666667
worker,19.91111111
worker-2,40.42222222
worker-3,37.41111111
:48,34.4375
deployment,
node,34.4375
master,53.46
worker,16.9
worker-2,32.77
worker-3,34.62
:49,29.64
deployment,
node,29.64
master,42.95
worker,18.16
worker-2,20.11
worker-3,37.34
:50,25.56
deployment,
node,25.56
master,38.58
worker,18.16
worker-2,20.23
worker-3,25.27
:51,28.325
deployment,
node,28.325
master,38.53
worker,20.79
worker-2,23.18
worker-3,30.8
:52,32.37777778
deployment,
node,32.37777778
master,40.84444444
worker,24.8
worker-2,28.14444444
worker-3,35.72222222
:53,39.74166667
deployment,
node,39.74166667
master,60.21111111
worker,22.96666667
worker-2,36.57777778
worker-3,39.21111111
:54,45.28333333
deployment,
node,45.28333333
master,71.24444444
worker,19.44444444
worker-2,46.74444444
worker-3,43.7
:55,44.66944444
deployment,
node,44.66944444
master,65.53333333
worker,31.06666667
worker-2,42.23333333
worker-3,39.84444444
:56,37.035
deployment,
node,37.035
master,58.52
worker,19.37
worker-2,37.03
worker-3,33.22
:57,33.36
deployment,
node,33.36
master,50.75
worker,17.66
worker-2,28.42
worker-3,36.61
:58,27.6625
deployment,
node,27.6625
master,44.2
worker,18.21
