Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-04-29 02:43:44,deployment,details-v1,44,24,1,,
2026-04-29 02:43:44,deployment,productpage-v1,99,284,1,,
2026-04-29 02:43:44,deployment,ratings-v1,9,22,1,,
2026-04-29 02:43:44,deployment,reviews-v1,3,98,1,,
2026-04-29 02:43:44,deployment,reviews-v2,21,132,1,,
2026-04-29 02:43:44,deployment,reviews-v3,2,133,1,,
2026-04-29 02:43:44,node,master,559,1935,,28.0,50.4
2026-04-29 02:43:44,node,worker,174,1486,,8.7,38.7
2026-04-29 02:43:44,node,worker-2,218,1112,,10.9,29.0
2026-04-29 02:43:44,node,worker-3,522,1056,,26.1,27.5
2026-04-29 02:43:51,deployment,details-v1,44,24,1,,
2026-04-29 02:43:51,deployment,productpage-v1,99,284,3,,
2026-04-29 02:43:51,deployment,ratings-v1,9,22,1,,
2026-04-29 02:43:51,deployment,reviews-v1,3,98,1,,
2026-04-29 02:43:51,deployment,reviews-v2,21,132,1,,
2026-04-29 02:43:51,deployment,reviews-v3,2,133,1,,
2026-04-29 02:43:51,node,master,559,1935,,28.0,50.4
2026-04-29 02:43:51,node,worker,174,1486,,8.7,38.7
2026-04-29 02:43:51,node,worker-2,218,1112,,10.9,29.0
2026-04-29 02:43:51,node,worker-3,522,1056,,26.1,27.5
2026-04-29 02:43:57,deployment,details-v1,0,24,1,,
2026-04-29 02:43:57,deployment,productpage-v1,1,284,3,,
2026-04-29 02:43:57,deployment,ratings-v1,0,22,1,,
2026-04-29 02:43:57,deployment,reviews-v1,0,98,1,,
2026-04-29 02:43:57,deployment,reviews-v2,2,132,1,,
2026-04-29 02:43:57,deployment,reviews-v3,1,132,1,,
2026-04-29 02:43:57,node,master,335,1936,,16.8,50.4
2026-04-29 02:43:57,node,worker,298,1651,,14.9,43.0
2026-04-29 02:43:57,node,worker-2,520,1486,,26.0,38.7
2026-04-29 02:43:57,node,worker-3,423,1379,,21.1,35.9
2026-04-29 02:44:02,deployment,details-v1,0,24,1,,
2026-04-29 02:44:02,deployment,productpage-v1,1,284,3,,
2026-04-29 02:44:02,deployment,ratings-v1,0,22,1,,
2026-04-29 02:44:02,deployment,reviews-v1,0,98,1,,
2026-04-29 02:44:02,deployment,reviews-v2,2,132,1,,
2026-04-29 02:44:02,deployment,reviews-v3,1,132,1,,
2026-04-29 02:44:02,node,master,335,1936,,16.8,50.4
2026-04-29 02:44:02,node,worker,298,1651,,14.9,43.0
2026-04-29 02:44:02,node,worker-2,520,1486,,26.0,38.7
2026-04-29 02:44:02,node,worker-3,423,1379,,21.1,35.9
2026-04-29 02:44:08,deployment,details-v1,0,24,1,,
2026-04-29 02:44:08,deployment,productpage-v1,1,284,3,,
2026-04-29 02:44:08,deployment,ratings-v1,0,22,1,,
2026-04-29 02:44:08,deployment,reviews-v1,0,98,1,,
2026-04-29 02:44:08,deployment,reviews-v2,2,132,1,,
2026-04-29 02:44:08,deployment,reviews-v3,1,132,1,,
2026-04-29 02:44:08,node,master,166,1939,,8.3,50.5
2026-04-29 02:44:08,node,worker,78,1650,,3.9,43.0
2026-04-29 02:44:08,node,worker-2,350,1579,,17.5,41.1
2026-04-29 02:44:08,node,worker-3,396,1522,,19.8,39.6
2026-04-29 02:44:14,deployment,details-v1,5,24,1,,
2026-04-29 02:44:14,deployment,productpage-v1,794,807,3,,
2026-04-29 02:44:14,deployment,ratings-v1,1,22,1,,
2026-04-29 02:44:14,deployment,reviews-v1,1,98,1,,
