Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-06 10:41:11,deployment,adservice,30,102,1,,
2026-05-06 10:41:11,deployment,cartservice,29,59,1,,
2026-05-06 10:41:11,deployment,checkoutservice,29,21,1,,
2026-05-06 10:41:11,deployment,currencyservice,47,46,1,,
2026-05-06 10:41:11,deployment,emailservice,10,51,1,,
2026-05-06 10:41:11,deployment,frontend,113,14,1,,
2026-05-06 10:41:11,deployment,paymentservice,7,66,1,,
2026-05-06 10:41:11,deployment,productcatalogservice,188,30,2,,
2026-05-06 10:41:11,deployment,recommendationservice,39,54,1,,
2026-05-06 10:41:11,deployment,redis-cart,14,10,1,,
2026-05-06 10:41:11,deployment,shippingservice,14,17,1,,
2026-05-06 10:41:11,node,master,931,1673,,46.6,43.6
2026-05-06 10:41:11,node,worker,678,1276,,33.9,33.2
2026-05-06 10:41:11,node,worker-1,678,1276,,33.9,33.2
2026-05-06 10:41:11,node,worker-2,996,1412,,49.8,36.8
2026-05-06 10:41:11,node,worker-3,274,702,,13.7,18.3
2026-05-06 10:41:11,node,worker-4,1089,949,,54.4,24.7
2026-05-06 10:41:18,deployment,adservice,2,102,1,,
2026-05-06 10:41:18,deployment,cartservice,4,59,1,,
2026-05-06 10:41:18,deployment,checkoutservice,17,21,1,,
2026-05-06 10:41:18,deployment,currencyservice,4,46,1,,
2026-05-06 10:41:18,deployment,emailservice,6,51,1,,
2026-05-06 10:41:18,deployment,frontend,0,14,1,,
2026-05-06 10:41:18,deployment,paymentservice,6,77,1,,
2026-05-06 10:41:18,deployment,productcatalogservice,51,30,2,,
2026-05-06 10:41:18,deployment,recommendationservice,7,54,1,,
2026-05-06 10:41:18,deployment,redis-cart,5,10,1,,
2026-05-06 10:41:18,deployment,shippingservice,4,17,1,,
2026-05-06 10:41:18,node,master,333,1598,,16.7,41.6
2026-05-06 10:41:18,node,worker,199,1164,,10.0,30.3
