Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-08 17:19:16,deployment,adservice,4,86,1,,
2026-05-08 17:19:16,deployment,cartservice,5,51,1,,
2026-05-08 17:19:16,deployment,checkoutservice,2,16,1,,
2026-05-08 17:19:16,deployment,currencyservice,4,26,1,,
2026-05-08 17:19:16,deployment,emailservice,6,50,1,,
2026-05-08 17:19:16,deployment,frontend,0,6,1,,
2026-05-08 17:19:16,deployment,paymentservice,3,23,1,,
2026-05-08 17:19:16,deployment,productcatalogservice,3,16,2,,
2026-05-08 17:19:16,deployment,recommendationservice,7,48,1,,
2026-05-08 17:19:16,deployment,redis-cart,2,7,1,,
2026-05-08 17:19:16,deployment,shippingservice,4,15,1,,
2026-05-08 17:19:16,node,master,536,1242,,26.8,32.4
2026-05-08 17:19:16,node,worker,199,728,,10.0,19.0
2026-05-08 17:19:16,node,worker-1,199,728,,10.0,19.0
2026-05-08 17:19:16,node,worker-2,123,1221,,6.2,31.8
2026-05-08 17:19:16,node,worker-3,133,505,,6.7,13.2
2026-05-08 17:19:16,node,worker-4,148,585,,7.4,15.2
2026-05-08 17:19:27,deployment,adservice,25,88,1,,
2026-05-08 17:19:27,deployment,cartservice,15,53,1,,
2026-05-08 17:19:27,deployment,checkoutservice,2,16,1,,
2026-05-08 17:19:27,deployment,currencyservice,5,28,1,,
2026-05-08 17:19:27,deployment,emailservice,6,50,1,,
2026-05-08 17:19:27,deployment,frontend,14,10,1,,
2026-05-08 17:19:27,deployment,paymentservice,5,24,1,,
2026-05-08 17:19:27,deployment,productcatalogservice,6,16,2,,
2026-05-08 17:19:27,deployment,recommendationservice,6,48,1,,
2026-05-08 17:19:27,deployment,redis-cart,2,7,1,,
2026-05-08 17:19:27,deployment,shippingservice,4,15,1,,
2026-05-08 17:19:27,node,master,816,1319,,40.8,34.4
2026-05-08 17:19:27,node,worker,1470,1132,,73.5,29.5
2026-05-08 17:19:27,node,worker-1,1470,1132,,73.5,29.5
2026-05-08 17:19:27,node,worker-2,840,1338,,42.0,34.9
2026-05-08 17:19:27,node,worker-3,398,526,,19.9,13.7
2026-05-08 17:19:27,node,worker-4,352,616,,17.6,16.0
2026-05-08 17:19:32,deployment,adservice,25,88,1,,
2026-05-08 17:19:32,deployment,cartservice,15,53,1,,
2026-05-08 17:19:32,deployment,checkoutservice,2,16,1,,
2026-05-08 17:19:32,deployment,currencyservice,5,28,1,,
2026-05-08 17:19:32,deployment,emailservice,6,50,1,,
2026-05-08 17:19:32,deployment,frontend,14,10,1,,
2026-05-08 17:19:32,deployment,paymentservice,5,24,1,,
2026-05-08 17:19:32,deployment,productcatalogservice,6,16,2,,
2026-05-08 17:19:32,deployment,recommendationservice,6,48,1,,
2026-05-08 17:19:32,deployment,redis-cart,2,7,1,,
