Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-06-01 22:14:56,deployment,adservice,11,86,1,,
2026-06-01 22:14:56,deployment,cartservice,7,61,1,,
2026-06-01 22:14:56,deployment,checkoutservice,4,20,1,,
2026-06-01 22:14:56,deployment,currencyservice,3,72,1,,
2026-06-01 22:14:56,deployment,emailservice,5,51,1,,
2026-06-01 22:14:56,deployment,frontend,0,30,1,,
2026-06-01 22:14:56,deployment,paymentservice,3,38,1,,
2026-06-01 22:14:56,deployment,productcatalogservice,3,19,1,,
2026-06-01 22:14:56,deployment,recommendationservice,8,62,1,,
2026-06-01 22:14:56,deployment,redis-cart,2,22,1,,
2026-06-01 22:14:56,deployment,shippingservice,5,18,1,,
2026-06-01 22:14:56,node,master,279,1563,,14.0,40.7
2026-06-01 22:14:56,node,worker,266,789,,13.3,20.6
2026-06-01 22:14:56,node,worker-1,266,789,,13.3,20.6
2026-06-01 22:14:56,node,worker-2,51,617,,2.5,16.1
2026-06-01 22:14:56,node,worker-3,51,407,,2.5,10.6
2026-06-01 22:14:56,node,worker-4,136,1476,,6.8,38.4
2026-06-01 22:15:02,deployment,adservice,11,86,1,,
2026-06-01 22:15:02,deployment,cartservice,7,61,1,,
2026-06-01 22:15:02,deployment,checkoutservice,4,20,1,,
2026-06-01 22:15:02,deployment,currencyservice,3,72,1,,
2026-06-01 22:15:02,deployment,emailservice,5,51,1,,
2026-06-01 22:15:02,deployment,frontend,0,30,1,,
2026-06-01 22:15:02,deployment,paymentservice,3,38,1,,
2026-06-01 22:15:02,deployment,productcatalogservice,3,19,1,,
2026-06-01 22:15:02,deployment,recommendationservice,8,62,1,,
2026-06-01 22:15:02,deployment,redis-cart,2,22,1,,
2026-06-01 22:15:02,deployment,shippingservice,5,18,1,,
2026-06-01 22:15:02,node,master,279,1563,,14.0,40.7
2026-06-01 22:15:02,node,worker,266,789,,13.3,20.6
2026-06-01 22:15:02,node,worker-1,266,789,,13.3,20.6
2026-06-01 22:15:02,node,worker-2,51,617,,2.5,16.1
2026-06-01 22:15:02,node,worker-3,51,407,,2.5,10.6
2026-06-01 22:15:02,node,worker-4,136,1476,,6.8,38.4
2026-06-01 22:15:09,deployment,adservice,2,86,1,,
2026-06-01 22:15:09,deployment,cartservice,4,61,1,,
2026-06-01 22:15:09,deployment,checkoutservice,1,20,1,,
2026-06-01 22:15:09,deployment,currencyservice,20,45,1,,
2026-06-01 22:15:09,deployment,emailservice,5,51,1,,
2026-06-01 22:15:09,deployment,frontend,0,30,1,,
2026-06-01 22:15:09,deployment,paymentservice,3,38,1,,
2026-06-01 22:15:09,deployment,productcatalogservice,11,18,1,,
2026-06-01 22:15:09,deployment,recommendationservice,6,62,1,,
2026-06-01 22:15:09,deployment,redis-cart,2,22,1,,
2026-06-01 22:15:09,deployment,shippingservice,5,18,1,,
2026-06-01 22:15:09,node,master,346,1561,,17.3,40.7
2026-06-01 22:15:09,node,worker,1110,1084,,55.5,28.2
2026-06-01 22:15:09,node,worker-1,1110,1084,,55.5,28.2
2026-06-01 22:15:09,node,worker-2,856,1020,,42.8,26.6
2026-06-01 22:15:09,node,worker-3,46,407,,2.3,10.6
2026-06-01 22:15:09,node,worker-4,262,1461,,13.1,38.1
2026-06-01 22:15:15,deployment,adservice,2,86,1,,
2026-06-01 22:15:15,deployment,cartservice,4,61,1,,
2026-06-01 22:15:15,deployment,checkoutservice,1,20,1,,
2026-06-01 22:15:15,deployment,currencyservice,20,45,1,,
2026-06-01 22:15:15,deployment,emailservice,5,51,1,,
2026-06-01 22:15:15,deployment,frontend,0,30,1,,
2026-06-01 22:15:15,deployment,paymentservice,3,38,1,,
2026-06-01 22:15:15,deployment,productcatalogservice,11,18,1,,
2026-06-01 22:15:15,deployment,recommendationservice,6,62,1,,
2026-06-01 22:15:15,deployment,redis-cart,2,22,1,,
2026-06-01 22:15:15,deployment,shippingservice,5,18,1,,
2026-06-01 22:15:15,node,master,346,1561,,17.3,40.7
2026-06-01 22:15:15,node,worker,1110,1084,,55.5,28.2
2026-06-01 22:15:15,node,worker-1,1110,1084,,55.5,28.2
2026-06-01 22:15:15,node,worker-2,856,1020,,42.8,26.6
2026-06-01 22:15:15,node,worker-3,46,407,,2.3,10.6
2026-06-01 22:15:15,node,worker-4,262,1461,,13.1,38.1
2026-06-01 22:15:21,deployment,adservice,6,86,1,,
2026-06-01 22:15:21,deployment,cartservice,17,61,1,,
2026-06-01 22:15:21,deployment,checkoutservice,4,19,1,,
2026-06-01 22:15:21,deployment,currencyservice,31,35,1,,
2026-06-01 22:15:21,deployment,emailservice,8,51,1,,
2026-06-01 22:15:21,deployment,frontend,41,30,1,,
2026-06-01 22:15:21,deployment,paymentservice,4,38,1,,
2026-06-01 22:15:21,deployment,productcatalogservice,25,18,1,,
2026-06-01 22:15:21,deployment,recommendationservice,22,62,1,,
2026-06-01 22:15:21,deployment,redis-cart,3,23,1,,
2026-06-01 22:15:21,deployment,shippingservice,5,18,1,,
2026-06-01 22:15:21,node,master,267,1565,,13.4,40.8
2026-06-01 22:15:21,node,worker,288,1079,,14.4,28.1
2026-06-01 22:15:21,node,worker-1,288,1079,,14.4,28.1
2026-06-01 22:15:21,node,worker-2,253,1023,,12.7,26.6
2026-06-01 22:15:21,node,worker-3,70,406,,3.5,10.6
2026-06-01 22:15:21,node,worker-4,292,1462,,14.6,38.1
2026-06-01 22:15:27,deployment,adservice,6,86,1,,
2026-06-01 22:15:27,deployment,cartservice,17,61,1,,
2026-06-01 22:15:27,deployment,checkoutservice,4,19,1,,
2026-06-01 22:15:27,deployment,currencyservice,31,35,1,,
2026-06-01 22:15:27,deployment,emailservice,8,51,1,,
2026-06-01 22:15:27,deployment,frontend,41,30,1,,
2026-06-01 22:15:27,deployment,paymentservice,4,38,1,,
2026-06-01 22:15:27,deployment,productcatalogservice,25,18,1,,
2026-06-01 22:15:27,deployment,recommendationservice,22,62,1,,
2026-06-01 22:15:27,deployment,redis-cart,3,23,1,,
2026-06-01 22:15:27,deployment,shippingservice,5,18,1,,
2026-06-01 22:15:27,node,master,267,1565,,13.4,40.8
2026-06-01 22:15:27,node,worker,288,1079,,14.4,28.1
2026-06-01 22:15:27,node,worker-1,288,1079,,14.4,28.1
2026-06-01 22:15:27,node,worker-2,253,1023,,12.7,26.6
2026-06-01 22:15:27,node,worker-3,70,406,,3.5,10.6
2026-06-01 22:15:27,node,worker-4,292,1462,,14.6,38.1
2026-06-01 22:15:34,deployment,adservice,6,86,1,,
2026-06-01 22:15:34,deployment,cartservice,17,61,1,,
2026-06-01 22:15:34,deployment,checkoutservice,4,19,1,,
2026-06-01 22:15:34,deployment,currencyservice,31,35,1,,
2026-06-01 22:15:34,deployment,emailservice,8,51,1,,
2026-06-01 22:15:34,deployment,frontend,41,30,1,,
2026-06-01 22:15:34,deployment,paymentservice,4,38,1,,
2026-06-01 22:15:34,deployment,productcatalogservice,25,18,1,,
2026-06-01 22:15:34,deployment,recommendationservice,22,62,1,,
2026-06-01 22:15:34,deployment,redis-cart,3,23,1,,
2026-06-01 22:15:34,deployment,shippingservice,5,18,1,,
2026-06-01 22:15:34,node,master,267,1565,,13.4,40.8
2026-06-01 22:15:34,node,worker,288,1079,,14.4,28.1
2026-06-01 22:15:34,node,worker-1,288,1079,,14.4,28.1
2026-06-01 22:15:34,node,worker-2,253,1023,,12.7,26.6
2026-06-01 22:15:34,node,worker-3,70,406,,3.5,10.6
2026-06-01 22:15:34,node,worker-4,292,1462,,14.6,38.1
2026-06-01 22:15:41,deployment,adservice,5,86,1,,
2026-06-01 22:15:41,deployment,cartservice,18,61,1,,
2026-06-01 22:15:41,deployment,checkoutservice,5,19,1,,
2026-06-01 22:15:41,deployment,currencyservice,54,36,1,,
2026-06-01 22:15:41,deployment,emailservice,5,51,1,,
2026-06-01 22:15:41,deployment,frontend,47,30,1,,
2026-06-01 22:15:41,deployment,paymentservice,4,38,1,,
2026-06-01 22:15:41,deployment,productcatalogservice,26,18,1,,
2026-06-01 22:15:41,deployment,recommendationservice,19,62,1,,
2026-06-01 22:15:41,deployment,redis-cart,3,22,1,,
2026-06-01 22:15:41,deployment,shippingservice,6,18,1,,
2026-06-01 22:15:41,node,master,248,1562,,12.4,40.7
2026-06-01 22:15:41,node,worker,238,1075,,11.9,28.0
2026-06-01 22:15:41,node,worker-1,238,1075,,11.9,28.0
2026-06-01 22:15:41,node,worker-2,119,1021,,5.9,26.6
2026-06-01 22:15:41,node,worker-3,37,403,,1.8,10.5
2026-06-01 22:15:41,node,worker-4,288,1456,,14.4,37.9
2026-06-01 22:15:47,deployment,adservice,5,86,1,,
2026-06-01 22:15:47,deployment,cartservice,18,61,1,,
2026-06-01 22:15:47,deployment,checkoutservice,5,19,1,,
2026-06-01 22:15:47,deployment,currencyservice,54,36,1,,
2026-06-01 22:15:47,deployment,emailservice,5,51,1,,
2026-06-01 22:15:47,deployment,frontend,47,30,1,,
2026-06-01 22:15:47,deployment,paymentservice,4,38,1,,
2026-06-01 22:15:47,deployment,productcatalogservice,26,18,1,,
2026-06-01 22:15:47,deployment,recommendationservice,19,62,1,,
2026-06-01 22:15:47,deployment,redis-cart,3,22,1,,
2026-06-01 22:15:47,deployment,shippingservice,6,18,1,,
2026-06-01 22:15:47,node,master,248,1562,,12.4,40.7
2026-06-01 22:15:47,node,worker,238,1075,,11.9,28.0
2026-06-01 22:15:47,node,worker-1,238,1075,,11.9,28.0
2026-06-01 22:15:47,node,worker-2,119,1021,,5.9,26.6
2026-06-01 22:15:47,node,worker-3,37,403,,1.8,10.5
2026-06-01 22:15:47,node,worker-4,288,1456,,14.4,37.9
2026-06-01 22:15:53,deployment,adservice,6,86,1,,
2026-06-01 22:15:53,deployment,cartservice,18,61,1,,
2026-06-01 22:15:53,deployment,checkoutservice,5,20,1,,
2026-06-01 22:15:53,deployment,currencyservice,40,37,1,,
2026-06-01 22:15:53,deployment,emailservice,7,51,1,,
2026-06-01 22:15:53,deployment,frontend,49,30,1,,
2026-06-01 22:15:53,deployment,paymentservice,2,38,1,,
2026-06-01 22:15:53,deployment,productcatalogservice,29,18,1,,
2026-06-01 22:15:53,deployment,recommendationservice,23,62,1,,
2026-06-01 22:15:53,deployment,redis-cart,3,22,1,,
2026-06-01 22:15:53,deployment,shippingservice,6,18,1,,
2026-06-01 22:15:53,node,master,279,1564,,14.0,40.7
2026-06-01 22:15:53,node,worker,231,1078,,11.6,28.1
2026-06-01 22:15:53,node,worker-1,231,1078,,11.6,28.1
2026-06-01 22:15:53,node,worker-2,136,1023,,6.8,26.6
2026-06-01 22:15:53,node,worker-3,24,402,,1.2,10.5
2026-06-01 22:15:53,node,worker-4,309,1459,,15.4,38.0
2026-06-01 22:16:00,deployment,adservice,6,86,1,,
2026-06-01 22:16:00,deployment,cartservice,18,61,1,,
2026-06-01 22:16:00,deployment,checkoutservice,5,20,1,,
2026-06-01 22:16:00,deployment,currencyservice,40,37,1,,
2026-06-01 22:16:00,deployment,emailservice,7,51,1,,
