Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-09 13:26:45,deployment,adservice,40,105,1,,,
2026-06-09 13:26:45,deployment,cartservice,41,47,1,,,
2026-06-09 13:26:45,deployment,checkoutservice,12,12,1,,,
2026-06-09 13:26:45,deployment,currencyservice,29,47,1,,,
2026-06-09 13:26:45,deployment,emailservice,12,65,1,,,
2026-06-09 13:26:45,deployment,frontend,67,14,1,,,
2026-06-09 13:26:45,http_p95_latency,frontend,,,,,,244.4
2026-06-09 13:26:45,deployment,paymentservice,8,77,1,,,
2026-06-09 13:26:45,deployment,productcatalogservice,28,26,1,,,
2026-06-09 13:26:45,deployment,recommendationservice,28,78,1,,,
2026-06-09 13:26:45,deployment,redis-cart,13,11,1,,,
2026-06-09 13:26:45,deployment,shippingservice,12,23,1,,,
2026-06-09 13:26:45,node,master,972,1821,,48.6,47.4,
2026-06-09 13:26:45,node,worker-1,673,1277,,33.7,33.3,
2026-06-09 13:26:45,node,worker-2,825,1390,,41.2,36.2,
2026-06-09 13:26:45,node,worker-3,528,698,,26.4,18.2,
2026-06-09 13:26:45,node,worker-4,772,1810,,38.6,47.1,
2026-06-09 13:26:51,deployment,adservice,4,105,1,,,
2026-06-09 13:26:51,deployment,cartservice,4,47,1,,,
2026-06-09 13:26:51,deployment,checkoutservice,2,12,1,,,
2026-06-09 13:26:51,deployment,currencyservice,3,47,1,,,
2026-06-09 13:26:51,deployment,emailservice,7,65,1,,,
2026-06-09 13:26:51,deployment,frontend,0,14,1,,,
2026-06-09 13:26:51,http_p95_latency,frontend,,,,,,373.9
2026-06-09 13:26:51,deployment,paymentservice,3,78,1,,,
2026-06-09 13:26:51,deployment,productcatalogservice,2,26,1,,,
2026-06-09 13:26:51,deployment,recommendationservice,10,78,1,,,
2026-06-09 13:26:51,deployment,redis-cart,2,11,1,,,
2026-06-09 13:26:51,deployment,shippingservice,4,23,1,,,
2026-06-09 13:26:51,node,master,207,1823,,10.3,47.5,
2026-06-09 13:26:51,node,worker-1,107,1274,,5.3,33.2,
2026-06-09 13:26:51,node,worker-2,197,1264,,9.8,32.9,
2026-06-09 13:26:51,node,worker-3,63,696,,3.1,18.1,
2026-06-09 13:26:51,node,worker-4,144,1812,,7.2,47.2,
2026-06-09 13:26:57,deployment,adservice,4,105,1,,,
2026-06-09 13:26:57,deployment,cartservice,4,47,1,,,
2026-06-09 13:26:57,deployment,checkoutservice,2,12,1,,,
2026-06-09 13:26:57,deployment,currencyservice,3,47,1,,,
2026-06-09 13:26:57,deployment,emailservice,7,65,1,,,
2026-06-09 13:26:57,deployment,frontend,0,14,1,,,
2026-06-09 13:26:57,http_p95_latency,frontend,,,,,,373.9
2026-06-09 13:26:57,deployment,paymentservice,3,78,1,,,
2026-06-09 13:26:57,deployment,productcatalogservice,2,26,1,,,
2026-06-09 13:26:57,deployment,recommendationservice,10,78,1,,,
2026-06-09 13:26:57,deployment,redis-cart,2,11,1,,,
2026-06-09 13:26:57,deployment,shippingservice,4,23,1,,,
2026-06-09 13:26:57,node,master,207,1823,,10.3,47.5,
2026-06-09 13:26:57,node,worker-1,107,1274,,5.3,33.2,
2026-06-09 13:26:57,node,worker-2,197,1264,,9.8,32.9,
2026-06-09 13:26:57,node,worker-3,63,696,,3.1,18.1,
2026-06-09 13:26:57,node,worker-4,144,1812,,7.2,47.2,
2026-06-09 13:27:05,deployment,adservice,4,105,1,,,
2026-06-09 13:27:05,deployment,cartservice,4,47,1,,,
2026-06-09 13:27:05,deployment,checkoutservice,2,12,1,,,
2026-06-09 13:27:05,deployment,currencyservice,3,47,1,,,
2026-06-09 13:27:05,deployment,emailservice,7,65,1,,,
2026-06-09 13:27:05,deployment,frontend,0,14,1,,,
2026-06-09 13:27:05,http_p95_latency,frontend,,,,,,183.3
2026-06-09 13:27:05,deployment,paymentservice,3,78,1,,,
2026-06-09 13:27:05,deployment,productcatalogservice,17,26,1,,,
2026-06-09 13:27:05,deployment,recommendationservice,10,78,1,,,
2026-06-09 13:27:05,deployment,redis-cart,3,11,1,,,
2026-06-09 13:27:05,deployment,shippingservice,4,23,1,,,
2026-06-09 13:27:05,node,master,391,1699,,19.6,44.3,
2026-06-09 13:27:05,node,worker-1,209,1076,,10.4,28.0,
2026-06-09 13:27:05,node,worker-2,270,1085,,13.5,28.3,
2026-06-09 13:27:05,node,worker-3,95,698,,4.8,18.2,
2026-06-09 13:27:05,node,worker-4,307,1627,,15.3,42.4,
2026-06-09 13:27:11,deployment,adservice,5,105,1,,,
2026-06-09 13:27:11,deployment,cartservice,12,47,1,,,
2026-06-09 13:27:11,deployment,checkoutservice,4,12,1,,,
2026-06-09 13:27:11,deployment,currencyservice,26,34,1,,,
2026-06-09 13:27:11,deployment,emailservice,6,65,1,,,
2026-06-09 13:27:11,deployment,frontend,31,14,1,,,
2026-06-09 13:27:11,http_p95_latency,frontend,,,,,,183.3
2026-06-09 13:27:11,deployment,paymentservice,3,78,1,,,
2026-06-09 13:27:11,deployment,productcatalogservice,17,26,1,,,
2026-06-09 13:27:11,deployment,recommendationservice,10,78,1,,,
2026-06-09 13:27:11,deployment,redis-cart,3,11,1,,,
2026-06-09 13:27:11,deployment,shippingservice,4,23,1,,,
2026-06-09 13:27:11,node,master,391,1699,,19.6,44.3,
2026-06-09 13:27:11,node,worker-1,209,1076,,10.4,28.0,
2026-06-09 13:27:11,node,worker-2,270,1085,,13.5,28.3,
2026-06-09 13:27:11,node,worker-3,95,698,,4.8,18.2,
2026-06-09 13:27:11,node,worker-4,307,1627,,15.3,42.4,
2026-06-09 13:27:19,deployment,adservice,5,105,1,,,
2026-06-09 13:27:19,deployment,cartservice,12,47,1,,,
2026-06-09 13:27:19,deployment,checkoutservice,4,12,1,,,
