Scheme,Name,DecisionCount
Custom-DAS,adservice,0.0
Custom-DAS,cartservice,12.0
Custom-DAS,checkoutservice,0.0
Custom-DAS,currencyservice,2.0
Custom-DAS,emailservice,0.0
Custom-DAS,frontend,4.0
Custom-DAS,paymentservice,0.0
Custom-DAS,productcatalogservice,3.0
Custom-DAS,recommendationservice,13.0
Custom-DAS,redis-cart,0.0
Custom-DAS,shippingservice,0.0
Dadqn,adservice,1.0
Dadqn,cartservice,22.0
Dadqn,checkoutservice,2.0
Dadqn,currencyservice,3.0
Dadqn,emailservice,0.0
Dadqn,frontend,3.0
Dadqn,paymentservice,2.0
Dadqn,productcatalogservice,0.0
Dadqn,recommendationservice,3.0
Dadqn,redis-cart,0.0
Dadqn,shippingservice,0.0
