Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-16 13:01:31,deployment,details-v1,11,25,1,,,
2026-06-16 13:01:31,deployment,productpage-v1,42,277,1,,,
2026-06-16 13:01:31,http_p95_latency,productpage-v1,,,,,,43.8
2026-06-16 13:01:31,deployment,ratings-v1,3,27,1,,,
2026-06-16 13:01:31,deployment,reviews-v1,1,114,1,,,
2026-06-16 13:01:31,deployment,reviews-v2,8,175,1,,,
2026-06-16 13:01:31,deployment,reviews-v3,5,132,1,,,
2026-06-16 13:01:31,node,master,277,1611,,13.9,42.0,
2026-06-16 13:01:31,node,worker-1,69,981,,3.5,25.6,
2026-06-16 13:01:31,node,worker-2,127,811,,6.3,21.1,
2026-06-16 13:01:31,node,worker-3,59,449,,2.9,11.7,
2026-06-16 13:01:31,node,worker-4,368,1339,,18.4,34.9,
2026-06-16 13:01:38,deployment,details-v1,11,25,1,,,
2026-06-16 13:01:38,deployment,productpage-v1,42,277,1,,,
2026-06-16 13:01:38,http_p95_latency,productpage-v1,,,,,,43.8
2026-06-16 13:01:38,deployment,ratings-v1,3,27,1,,,
2026-06-16 13:01:38,deployment,reviews-v1,1,114,1,,,
2026-06-16 13:01:38,deployment,reviews-v2,8,175,1,,,
2026-06-16 13:01:38,deployment,reviews-v3,5,132,1,,,
2026-06-16 13:01:38,node,master,277,1611,,13.9,42.0,
2026-06-16 13:01:38,node,worker-1,69,981,,3.5,25.6,
2026-06-16 13:01:38,node,worker-2,127,811,,6.3,21.1,
2026-06-16 13:01:38,node,worker-3,59,449,,2.9,11.7,
2026-06-16 13:01:38,node,worker-4,368,1339,,18.4,34.9,
2026-06-16 13:01:45,deployment,details-v1,4,25,1,,,
2026-06-16 13:01:45,deployment,productpage-v1,17,277,1,,,
2026-06-16 13:01:45,http_p95_latency,productpage-v1,,,,,,64.2
2026-06-16 13:01:45,deployment,ratings-v1,0,27,1,,,
2026-06-16 13:01:45,deployment,reviews-v1,1,114,1,,,
2026-06-16 13:01:45,deployment,reviews-v2,0,175,1,,,
2026-06-16 13:01:45,deployment,reviews-v3,1,133,1,,,
2026-06-16 13:01:45,node,master,154,1613,,7.7,42.0,
2026-06-16 13:01:45,node,worker-1,33,982,,1.7,25.6,
2026-06-16 13:01:45,node,worker-2,93,810,,4.7,21.1,
2026-06-16 13:01:45,node,worker-3,38,451,,1.9,11.7,
2026-06-16 13:01:45,node,worker-4,81,1338,,4.0,34.9,
2026-06-16 13:01:51,deployment,details-v1,4,25,1,,,
2026-06-16 13:01:51,deployment,productpage-v1,17,277,1,,,
2026-06-16 13:01:51,http_p95_latency,productpage-v1,,,,,,64.2
2026-06-16 13:01:51,deployment,ratings-v1,0,27,1,,,
2026-06-16 13:01:51,deployment,reviews-v1,1,114,1,,,
2026-06-16 13:01:51,deployment,reviews-v2,0,175,1,,,
2026-06-16 13:01:51,deployment,reviews-v3,1,133,1,,,
2026-06-16 13:01:51,node,master,154,1613,,7.7,42.0,
