Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-06-04 04:35:27,deployment,adservice,3,106,1,,
2026-06-04 04:35:27,deployment,cartservice,3,68,1,,
2026-06-04 04:35:27,deployment,checkoutservice,5,20,1,,
2026-06-04 04:35:27,deployment,currencyservice,19,103,1,,
2026-06-04 04:35:27,deployment,emailservice,10,58,1,,
2026-06-04 04:35:27,deployment,frontend,0,18,1,,
2026-06-04 04:35:27,deployment,paymentservice,4,81,1,,
2026-06-04 04:35:27,deployment,productcatalogservice,4,24,1,,
2026-06-04 04:35:27,deployment,recommendationservice,7,62,1,,
2026-06-04 04:35:27,deployment,redis-cart,5,35,1,,
2026-06-04 04:35:27,deployment,shippingservice,6,22,1,,
2026-06-04 04:35:27,node,master,177,1638,,8.8,42.7
2026-06-04 04:35:27,node,worker-1,138,746,,6.9,19.4
2026-06-04 04:35:27,node,worker-2,233,805,,11.7,21.0
2026-06-04 04:35:27,node,worker-3,85,868,,4.2,22.6
2026-06-04 04:35:27,node,worker-4,241,1921,,12.0,50.0
2026-06-04 04:35:33,deployment,adservice,3,106,1,,
2026-06-04 04:35:33,deployment,cartservice,3,68,1,,
2026-06-04 04:35:33,deployment,checkoutservice,5,20,1,,
2026-06-04 04:35:33,deployment,currencyservice,19,103,1,,
2026-06-04 04:35:33,deployment,emailservice,10,58,1,,
2026-06-04 04:35:33,deployment,frontend,0,18,1,,
2026-06-04 04:35:33,deployment,paymentservice,4,81,1,,
2026-06-04 04:35:33,deployment,productcatalogservice,4,24,1,,
2026-06-04 04:35:33,deployment,recommendationservice,7,62,1,,
2026-06-04 04:35:33,deployment,redis-cart,5,35,1,,
2026-06-04 04:35:33,deployment,shippingservice,6,22,1,,
2026-06-04 04:35:33,node,master,177,1638,,8.8,42.7
2026-06-04 04:35:33,node,worker-1,138,746,,6.9,19.4
2026-06-04 04:35:33,node,worker-2,233,805,,37.2,27.3
2026-06-04 04:35:33,node,worker-3,128,847,,6.4,22.1
2026-06-04 04:35:33,node,worker-4,274,1941,,13.7,50.6
2026-06-04 04:35:40,deployment,adservice,3,106,1,,
2026-06-04 04:35:40,deployment,cartservice,3,68,1,,
2026-06-04 04:35:40,deployment,checkoutservice,1,20,1,,
2026-06-04 04:35:40,deployment,currencyservice,2,103,1,,
2026-06-04 04:35:40,deployment,emailservice,6,58,1,,
2026-06-04 04:35:40,deployment,frontend,15,18,1,,
2026-06-04 04:35:40,deployment,paymentservice,2,81,1,,
2026-06-04 04:35:40,deployment,productcatalogservice,4,24,1,,
2026-06-04 04:35:40,deployment,recommendationservice,10,62,1,,
2026-06-04 04:35:40,deployment,redis-cart,2,35,1,,
2026-06-04 04:35:40,deployment,shippingservice,4,23,1,,
2026-06-04 04:35:40,node,master,419,1762,,20.9,45.9
2026-06-04 04:35:40,node,worker-1,451,1059,,22.6,27.6
2026-06-04 04:35:40,node,worker-2,744,1049,,37.2,27.3
2026-06-04 04:35:40,node,worker-3,128,847,,6.4,22.1
2026-06-04 04:35:40,node,worker-4,274,1941,,13.7,50.6
2026-06-04 04:35:46,deployment,adservice,3,106,1,,
2026-06-04 04:35:46,deployment,cartservice,3,68,1,,
2026-06-04 04:35:46,deployment,checkoutservice,1,20,1,,
2026-06-04 04:35:46,deployment,currencyservice,2,103,1,,
2026-06-04 04:35:46,deployment,emailservice,6,58,1,,
2026-06-04 04:35:46,deployment,frontend,15,18,1,,
2026-06-04 04:35:46,deployment,paymentservice,2,81,1,,
2026-06-04 04:35:46,deployment,productcatalogservice,4,24,1,,
2026-06-04 04:35:46,deployment,recommendationservice,10,62,1,,
2026-06-04 04:35:46,deployment,redis-cart,2,35,1,,
2026-06-04 04:35:46,deployment,shippingservice,4,23,1,,
2026-06-04 04:35:46,node,master,419,1762,,20.9,45.9
2026-06-04 04:35:46,node,worker-1,451,1059,,22.6,27.6
2026-06-04 04:35:46,node,worker-2,744,1049,,37.2,27.3
2026-06-04 04:35:46,node,worker-3,128,847,,6.4,22.1
2026-06-04 04:35:46,node,worker-4,274,1941,,13.7,50.6
2026-06-04 04:35:53,deployment,adservice,3,107,1,,
2026-06-04 04:35:53,deployment,cartservice,16,68,1,,
2026-06-04 04:35:53,deployment,checkoutservice,6,20,1,,
2026-06-04 04:35:53,deployment,currencyservice,18,75,1,,
