Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-06-01 12:01:40,deployment,adservice,2,99,1,,
2026-06-01 12:01:40,deployment,cartservice,3,57,1,,
2026-06-01 12:01:40,deployment,checkoutservice,2,18,1,,
2026-06-01 12:01:40,deployment,currencyservice,2,42,1,,
2026-06-01 12:01:40,deployment,emailservice,6,50,1,,
2026-06-01 12:01:40,deployment,frontend,0,16,1,,
2026-06-01 12:01:40,deployment,paymentservice,3,32,1,,
2026-06-01 12:01:40,deployment,productcatalogservice,2,17,2,,
2026-06-01 12:01:40,deployment,recommendationservice,7,58,1,,
2026-06-01 12:01:40,deployment,redis-cart,2,21,1,,
2026-06-01 12:01:40,deployment,shippingservice,4,17,1,,
2026-06-01 12:01:40,node,master,144,1598,,7.2,41.6
2026-06-01 12:01:40,node,worker,87,560,,4.3,14.6
2026-06-01 12:01:40,node,worker-1,87,560,,4.3,14.6
2026-06-01 12:01:40,node,worker-2,52,587,,2.6,15.3
2026-06-01 12:01:40,node,worker-3,69,384,,3.5,10.0
2026-06-01 12:01:40,node,worker-4,185,1069,,9.2,27.8
2026-06-01 12:01:47,deployment,adservice,2,99,1,,
2026-06-01 12:01:47,deployment,cartservice,3,57,1,,
2026-06-01 12:01:47,deployment,checkoutservice,2,18,1,,
2026-06-01 12:01:47,deployment,currencyservice,2,42,1,,
2026-06-01 12:01:47,deployment,emailservice,6,50,1,,
2026-06-01 12:01:47,deployment,frontend,0,16,1,,
2026-06-01 12:01:47,deployment,paymentservice,3,32,1,,
2026-06-01 12:01:47,deployment,productcatalogservice,2,17,2,,
2026-06-01 12:01:47,deployment,recommendationservice,7,58,1,,
2026-06-01 12:01:47,deployment,redis-cart,2,21,1,,
2026-06-01 12:01:47,deployment,shippingservice,4,17,1,,
2026-06-01 12:01:47,node,master,144,1598,,7.2,41.6
2026-06-01 12:01:47,node,worker,87,560,,4.3,14.6
2026-06-01 12:01:47,node,worker-1,87,560,,4.3,14.6
