Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-09 21:36:52,deployment,adservice,1,107,1,,,
2026-06-09 21:36:52,deployment,cartservice,4,47,1,,,
2026-06-09 21:36:52,deployment,checkoutservice,1,12,1,,,
2026-06-09 21:36:52,deployment,currencyservice,3,48,1,,,
2026-06-09 21:36:52,deployment,emailservice,6,66,1,,,
2026-06-09 21:36:52,deployment,frontend,0,24,1,,,
2026-06-09 21:36:52,http_p95_latency,frontend,,,,,,462.5
2026-06-09 21:36:52,deployment,paymentservice,2,78,1,,,
2026-06-09 21:36:52,deployment,productcatalogservice,2,25,1,,,
2026-06-09 21:36:52,deployment,recommendationservice,6,78,1,,,
2026-06-09 21:36:52,deployment,redis-cart,2,12,1,,,
2026-06-09 21:36:52,deployment,shippingservice,4,24,1,,,
2026-06-09 21:36:52,node,master,1724,1817,,86.2,47.3,
2026-06-09 21:36:52,node,worker-1,1831,2570,,91.5,66.9,
2026-06-09 21:36:52,node,worker-2,827,1811,,41.3,47.2,
2026-06-09 21:36:52,node,worker-3,37,690,,1.8,18.0,
2026-06-09 21:36:52,node,worker-4,418,2127,,20.9,55.4,
2026-06-09 21:37:01,deployment,adservice,1,107,1,,,
2026-06-09 21:37:01,deployment,cartservice,4,47,1,,,
2026-06-09 21:37:01,deployment,checkoutservice,1,12,1,,,
2026-06-09 21:37:01,deployment,currencyservice,0,0,1,,,
2026-06-09 21:37:01,deployment,emailservice,6,66,1,,,
2026-06-09 21:37:01,deployment,frontend,0,24,1,,,
2026-06-09 21:37:01,http_p95_latency,frontend,,,,,,231.0
2026-06-09 21:37:01,deployment,paymentservice,2,78,1,,,
2026-06-09 21:37:01,deployment,productcatalogservice,2,25,1,,,
2026-06-09 21:37:01,deployment,recommendationservice,6,78,1,,,
2026-06-09 21:37:01,deployment,redis-cart,2,12,1,,,
2026-06-09 21:37:01,deployment,shippingservice,4,24,1,,,
2026-06-09 21:37:01,node,master,1724,1817,,86.2,47.3,
2026-06-09 21:37:01,node,worker-1,1831,2570,,91.5,66.9,
2026-06-09 21:37:01,node,worker-2,827,1811,,41.3,47.2,
2026-06-09 21:37:01,node,worker-3,37,690,,1.8,18.0,
2026-06-09 21:37:01,node,worker-4,418,2127,,20.9,55.4,
2026-06-09 21:37:09,deployment,adservice,3,107,1,,,
2026-06-09 21:37:09,deployment,cartservice,4,47,1,,,
2026-06-09 21:37:09,deployment,checkoutservice,3,12,1,,,
2026-06-09 21:37:09,deployment,currencyservice,0,0,1,,,
2026-06-09 21:37:09,deployment,emailservice,6,66,1,,,
2026-06-09 21:37:09,deployment,frontend,0,24,1,,,
2026-06-09 21:37:09,http_p95_latency,frontend,,,,,,231.0
2026-06-09 21:37:09,deployment,paymentservice,2,78,1,,,
2026-06-09 21:37:09,deployment,productcatalogservice,4,25,1,,,
2026-06-09 21:37:09,deployment,recommendationservice,8,79,1,,,
2026-06-09 21:37:09,deployment,redis-cart,2,12,1,,,
2026-06-09 21:37:09,deployment,shippingservice,5,24,1,,,
2026-06-09 21:37:09,node,master,1601,2032,,80.0,52.9,
2026-06-09 21:37:09,node,worker-1,374,2619,,18.7,68.2,
2026-06-09 21:37:09,node,worker-2,161,1837,,8.1,47.9,
2026-06-09 21:37:09,node,worker-3,60,686,,3.0,17.9,
2026-06-09 21:37:09,node,worker-4,184,2129,,9.2,55.5,
2026-06-09 21:37:16,deployment,adservice,3,107,4,,,
2026-06-09 21:37:16,deployment,cartservice,4,47,2,,,
2026-06-09 21:37:16,deployment,checkoutservice,3,12,1,,,
2026-06-09 21:37:16,deployment,currencyservice,0,0,4,,,
2026-06-09 21:37:16,deployment,emailservice,6,66,1,,,
2026-06-09 21:37:16,deployment,frontend,0,24,2,,,
2026-06-09 21:37:16,http_p95_latency,frontend,,,,,,231.0
2026-06-09 21:37:16,deployment,paymentservice,2,78,1,,,
2026-06-09 21:37:16,deployment,productcatalogservice,4,25,1,,,
2026-06-09 21:37:16,deployment,recommendationservice,8,79,2,,,
2026-06-09 21:37:16,deployment,redis-cart,2,12,1,,,
2026-06-09 21:37:16,deployment,shippingservice,5,24,1,,,
2026-06-09 21:37:16,node,master,1601,2032,,80.0,52.9,
2026-06-09 21:37:16,node,worker-1,374,2619,,18.7,68.2,
2026-06-09 21:37:16,node,worker-2,161,1837,,8.1,47.9,
2026-06-09 21:37:16,node,worker-3,60,686,,3.0,17.9,
2026-06-09 21:37:16,node,worker-4,184,2129,,9.2,55.5,
2026-06-09 21:37:23,deployment,adservice,3,107,4,,,
2026-06-09 21:37:23,deployment,cartservice,6,47,2,,,
2026-06-09 21:37:23,deployment,checkoutservice,3,12,1,,,
2026-06-09 21:37:23,deployment,currencyservice,13,24,4,,,
2026-06-09 21:37:23,deployment,emailservice,6,66,1,,,
2026-06-09 21:37:23,deployment,frontend,9,25,2,,,
2026-06-09 21:37:23,http_p95_latency,frontend,,,,,,214.5
2026-06-09 21:37:23,deployment,paymentservice,3,78,1,,,
2026-06-09 21:37:23,deployment,productcatalogservice,8,25,1,,,
2026-06-09 21:37:23,deployment,recommendationservice,9,79,2,,,
2026-06-09 21:37:23,deployment,redis-cart,2,12,1,,,
2026-06-09 21:37:23,deployment,shippingservice,4,25,1,,,
2026-06-09 21:37:23,node,master,641,2287,,32.0,59.6,
2026-06-09 21:37:23,node,worker-1,307,2690,,15.3,70.1,
2026-06-09 21:37:23,node,worker-2,292,1849,,14.6,48.2,
2026-06-09 21:37:23,node,worker-3,44,687,,2.2,17.9,
2026-06-09 21:37:23,node,worker-4,504,2203,,25.2,57.4,
2026-06-09 21:37:30,deployment,adservice,3,107,4,,,
