Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-10 17:38:20,deployment,adservice,2,101,1,,,
2026-06-10 17:38:20,deployment,cartservice,6,57,1,,,
2026-06-10 17:38:20,deployment,checkoutservice,3,20,1,,,
2026-06-10 17:38:20,deployment,currencyservice,3,41,1,,,
2026-06-10 17:38:20,deployment,emailservice,7,56,1,,,
2026-06-10 17:38:20,deployment,frontend,0,22,1,,,
2026-06-10 17:38:20,http_p95_latency,frontend,,,,,,92.9
2026-06-10 17:38:20,deployment,paymentservice,3,66,1,,,
2026-06-10 17:38:20,deployment,productcatalogservice,5,24,1,,,
2026-06-10 17:38:20,deployment,recommendationservice,7,53,1,,,
2026-06-10 17:38:20,deployment,redis-cart,2,15,1,,,
2026-06-10 17:38:20,deployment,shippingservice,4,17,1,,,
2026-06-10 17:38:20,node,master,128,1478,,6.4,38.5,
2026-06-10 17:38:20,node,worker-1,128,663,,6.4,17.3,
2026-06-10 17:38:20,node,worker-2,212,806,,10.6,21.0,
2026-06-10 17:38:20,node,worker-3,167,552,,8.3,14.4,
2026-06-10 17:38:20,node,worker-4,132,1312,,6.6,34.2,
2026-06-10 17:38:27,deployment,adservice,4,101,1,,,
2026-06-10 17:38:27,deployment,cartservice,6,57,1,,,
2026-06-10 17:38:27,deployment,checkoutservice,2,20,1,,,
2026-06-10 17:38:27,deployment,currencyservice,3,41,1,,,
2026-06-10 17:38:27,deployment,emailservice,7,56,1,,,
2026-06-10 17:38:27,deployment,frontend,0,22,1,,,
2026-06-10 17:38:27,http_p95_latency,frontend,,,,,,92.9
2026-06-10 17:38:27,deployment,paymentservice,3,66,1,,,
2026-06-10 17:38:27,deployment,productcatalogservice,2,24,1,,,
2026-06-10 17:38:27,deployment,recommendationservice,6,53,1,,,
2026-06-10 17:38:27,deployment,redis-cart,2,15,1,,,
2026-06-10 17:38:27,deployment,shippingservice,4,17,1,,,
2026-06-10 17:38:27,node,master,857,1698,,42.9,44.2,
2026-06-10 17:38:27,node,worker-1,428,940,,21.4,24.5,
2026-06-10 17:38:27,node,worker-2,456,949,,22.8,24.7,
2026-06-10 17:38:27,node,worker-3,159,554,,8.0,14.4,
2026-06-10 17:38:27,node,worker-4,306,1462,,15.3,38.1,
2026-06-10 17:38:34,deployment,adservice,4,101,1,,,
2026-06-10 17:38:34,deployment,cartservice,6,57,1,,,
2026-06-10 17:38:34,deployment,checkoutservice,2,20,1,,,
2026-06-10 17:38:34,deployment,currencyservice,3,41,1,,,
2026-06-10 17:38:34,deployment,emailservice,7,56,1,,,
2026-06-10 17:38:34,deployment,frontend,0,22,1,,,
2026-06-10 17:38:34,http_p95_latency,frontend,,,,,,194.2
2026-06-10 17:38:34,deployment,paymentservice,3,66,1,,,
2026-06-10 17:38:34,deployment,productcatalogservice,2,24,1,,,
2026-06-10 17:38:34,deployment,recommendationservice,6,53,1,,,
2026-06-10 17:38:34,deployment,redis-cart,2,15,1,,,
2026-06-10 17:38:34,deployment,shippingservice,4,17,1,,,
2026-06-10 17:38:34,node,master,857,1698,,42.9,44.2,
2026-06-10 17:38:34,node,worker-1,428,940,,21.4,24.5,
2026-06-10 17:38:34,node,worker-2,456,949,,22.8,24.7,
2026-06-10 17:38:34,node,worker-3,159,554,,8.0,14.4,
2026-06-10 17:38:34,node,worker-4,306,1462,,15.3,38.1,
2026-06-10 17:38:41,deployment,adservice,4,101,1,,,
2026-06-10 17:38:41,deployment,cartservice,6,57,1,,,
2026-06-10 17:38:41,deployment,checkoutservice,2,20,1,,,
2026-06-10 17:38:41,deployment,currencyservice,13,41,1,,,
2026-06-10 17:38:41,deployment,emailservice,6,56,1,,,
2026-06-10 17:38:41,deployment,frontend,21,22,1,,,
2026-06-10 17:38:41,http_p95_latency,frontend,,,,,,194.2
2026-06-10 17:38:41,deployment,paymentservice,2,66,1,,,
2026-06-10 17:38:41,deployment,productcatalogservice,9,24,1,,,
2026-06-10 17:38:41,deployment,recommendationservice,14,53,1,,,
2026-06-10 17:38:41,deployment,redis-cart,2,15,1,,,
2026-06-10 17:38:41,deployment,shippingservice,5,17,1,,,
2026-06-10 17:38:41,node,master,169,1702,,8.5,44.3,
2026-06-10 17:38:41,node,worker-1,118,938,,5.9,24.4,
2026-06-10 17:38:41,node,worker-2,120,949,,6.0,24.7,
2026-06-10 17:38:41,node,worker-3,84,553,,4.2,14.4,
2026-06-10 17:38:41,node,worker-4,147,1460,,7.3,38.0,
2026-06-10 17:38:50,deployment,adservice,4,101,1,,,
2026-06-10 17:38:50,deployment,cartservice,6,57,1,,,
2026-06-10 17:38:50,deployment,checkoutservice,2,20,1,,,
2026-06-10 17:38:50,deployment,currencyservice,13,41,1,,,
2026-06-10 17:38:50,deployment,emailservice,6,56,1,,,
2026-06-10 17:38:50,deployment,frontend,21,22,1,,,
2026-06-10 17:38:50,http_p95_latency,frontend,,,,,,168.3
2026-06-10 17:38:50,deployment,paymentservice,2,66,1,,,
2026-06-10 17:38:50,deployment,productcatalogservice,9,24,1,,,
2026-06-10 17:38:50,deployment,recommendationservice,14,53,1,,,
