Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-06-05 05:02:11,deployment,adservice,3,108,1,,
2026-06-05 05:02:11,deployment,cartservice,4,70,1,,
2026-06-05 05:02:11,deployment,checkoutservice,2,21,1,,
2026-06-05 05:02:11,deployment,currencyservice,4,66,1,,
2026-06-05 05:02:11,deployment,emailservice,6,60,1,,
2026-06-05 05:02:11,deployment,frontend,13,15,1,,
2026-06-05 05:02:11,deployment,paymentservice,4,75,1,,
2026-06-05 05:02:11,deployment,productcatalogservice,4,27,1,,
2026-06-05 05:02:11,deployment,recommendationservice,6,62,1,,
2026-06-05 05:02:11,deployment,redis-cart,2,35,1,,
2026-06-05 05:02:11,deployment,shippingservice,5,23,1,,
2026-06-05 05:02:11,node,master,271,1746,,13.6,45.5
2026-06-05 05:02:11,node,worker-1,58,815,,2.9,21.2
2026-06-05 05:02:11,node,worker-2,144,1063,,7.2,27.7
2026-06-05 05:02:11,node,worker-3,54,854,,2.7,22.2
2026-06-05 05:02:11,node,worker-4,240,2146,,12.0,55.9
2026-06-05 05:02:17,deployment,adservice,3,108,1,,
2026-06-05 05:02:17,deployment,cartservice,4,70,1,,
2026-06-05 05:02:17,deployment,checkoutservice,2,21,1,,
2026-06-05 05:02:17,deployment,currencyservice,4,66,1,,
2026-06-05 05:02:17,deployment,emailservice,6,60,1,,
2026-06-05 05:02:17,deployment,frontend,13,15,1,,
2026-06-05 05:02:17,deployment,paymentservice,4,75,1,,
2026-06-05 05:02:17,deployment,productcatalogservice,4,27,1,,
2026-06-05 05:02:17,deployment,recommendationservice,6,62,1,,
2026-06-05 05:02:17,deployment,redis-cart,2,35,1,,
2026-06-05 05:02:17,deployment,shippingservice,5,23,1,,
2026-06-05 05:02:17,node,master,271,1746,,13.6,45.5
2026-06-05 05:02:17,node,worker-1,58,815,,2.9,21.2
2026-06-05 05:02:17,node,worker-2,144,1063,,7.2,27.7
2026-06-05 05:02:17,node,worker-3,54,854,,2.7,22.2
2026-06-05 05:02:17,node,worker-4,240,2146,,12.0,55.9
2026-06-05 05:02:24,deployment,adservice,2,108,1,,
2026-06-05 05:02:24,deployment,cartservice,4,70,1,,
2026-06-05 05:02:24,deployment,checkoutservice,3,21,1,,
2026-06-05 05:02:24,deployment,currencyservice,10,40,1,,
2026-06-05 05:02:24,deployment,emailservice,6,60,1,,
2026-06-05 05:02:24,deployment,frontend,0,15,1,,
2026-06-05 05:02:24,deployment,paymentservice,2,75,1,,
2026-06-05 05:02:24,deployment,productcatalogservice,3,27,1,,
