Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-06-04 22:54:08,deployment,adservice,3,108,1,,
2026-06-04 22:54:08,deployment,cartservice,3,75,1,,
2026-06-04 22:54:08,deployment,checkoutservice,26,22,1,,
2026-06-04 22:54:08,deployment,currencyservice,2,62,1,,
2026-06-04 22:54:08,deployment,emailservice,10,61,1,,
2026-06-04 22:54:08,deployment,frontend,0,20,1,,
2026-06-04 22:54:08,deployment,paymentservice,5,82,1,,
2026-06-04 22:54:08,deployment,productcatalogservice,3,28,1,,
2026-06-04 22:54:08,deployment,recommendationservice,46,62,1,,
2026-06-04 22:54:08,deployment,redis-cart,2,36,1,,
2026-06-04 22:54:08,deployment,shippingservice,4,26,1,,
2026-06-04 22:54:08,node,master,229,1685,,11.5,43.9
2026-06-04 22:54:08,node,worker-1,19,845,,0.9,22.0
2026-06-04 22:54:08,node,worker-2,75,1027,,3.8,26.8
2026-06-04 22:54:08,node,worker-3,82,820,,4.1,21.4
2026-06-04 22:54:08,node,worker-4,236,2133,,11.8,55.6
2026-06-04 22:54:15,deployment,adservice,3,108,1,,
2026-06-04 22:54:15,deployment,cartservice,3,75,1,,
2026-06-04 22:54:15,deployment,checkoutservice,26,22,1,,
2026-06-04 22:54:15,deployment,currencyservice,2,62,1,,
2026-06-04 22:54:15,deployment,emailservice,10,61,1,,
2026-06-04 22:54:15,deployment,frontend,0,20,1,,
2026-06-04 22:54:15,deployment,paymentservice,5,82,1,,
2026-06-04 22:54:15,deployment,productcatalogservice,3,28,1,,
2026-06-04 22:54:15,deployment,recommendationservice,46,62,1,,
2026-06-04 22:54:15,deployment,redis-cart,2,36,1,,
2026-06-04 22:54:15,deployment,shippingservice,4,26,1,,
2026-06-04 22:54:15,node,master,229,1685,,11.5,43.9
2026-06-04 22:54:15,node,worker-1,19,845,,0.9,22.0
2026-06-04 22:54:15,node,worker-2,75,1027,,3.8,26.8
2026-06-04 22:54:15,node,worker-3,82,820,,4.1,21.4
2026-06-04 22:54:15,node,worker-4,236,2133,,11.8,55.6
2026-06-04 22:54:21,deployment,adservice,9,108,1,,
2026-06-04 22:54:21,deployment,cartservice,7,75,1,,
2026-06-04 22:54:21,deployment,checkoutservice,4,22,1,,
2026-06-04 22:54:21,deployment,currencyservice,15,38,1,,
2026-06-04 22:54:21,deployment,emailservice,7,61,1,,
