Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-15 20:03:02,deployment,details-v1,1,25,1,,,
2026-06-15 20:03:02,deployment,productpage-v1,1,308,1,,,
2026-06-15 20:03:02,http_p95_latency,productpage-v1,,,,,,24.3
2026-06-15 20:03:02,deployment,ratings-v1,0,21,1,,,
2026-06-15 20:03:02,deployment,reviews-v1,0,125,1,,,
2026-06-15 20:03:02,deployment,reviews-v2,0,112,1,,,
2026-06-15 20:03:02,deployment,reviews-v3,0,116,1,,,
2026-06-15 20:03:02,node,master,229,1334,,11.5,34.7,
2026-06-15 20:03:02,node,worker-1,136,1127,,6.8,29.4,
2026-06-15 20:03:02,node,worker-2,117,870,,5.9,22.7,
2026-06-15 20:03:02,node,worker-3,45,505,,2.2,13.2,
2026-06-15 20:03:02,node,worker-4,325,1337,,16.2,34.8,
2026-06-15 20:03:08,deployment,details-v1,1,25,1,,,
2026-06-15 20:03:08,deployment,productpage-v1,1,308,1,,,
2026-06-15 20:03:08,http_p95_latency,productpage-v1,,,,,,24.3
2026-06-15 20:03:08,deployment,ratings-v1,0,21,1,,,
2026-06-15 20:03:08,deployment,reviews-v1,0,125,1,,,
2026-06-15 20:03:08,deployment,reviews-v2,0,112,1,,,
2026-06-15 20:03:08,deployment,reviews-v3,0,116,1,,,
2026-06-15 20:03:08,node,master,229,1334,,11.5,34.7,
2026-06-15 20:03:08,node,worker-1,136,1127,,6.8,29.4,
2026-06-15 20:03:08,node,worker-2,117,870,,5.9,22.7,
2026-06-15 20:03:08,node,worker-3,45,505,,2.2,13.2,
2026-06-15 20:03:08,node,worker-4,325,1337,,16.2,34.8,
2026-06-15 20:03:14,deployment,details-v1,1,25,1,,,
2026-06-15 20:03:14,deployment,productpage-v1,1,308,1,,,
2026-06-15 20:03:14,http_p95_latency,productpage-v1,,,,,,24.3
2026-06-15 20:03:14,deployment,ratings-v1,0,21,1,,,
2026-06-15 20:03:14,deployment,reviews-v1,1,125,1,,,
2026-06-15 20:03:14,deployment,reviews-v2,0,112,1,,,
2026-06-15 20:03:14,deployment,reviews-v3,1,115,1,,,
2026-06-15 20:03:14,node,master,1078,1394,,53.9,36.3,
2026-06-15 20:03:14,node,worker-1,105,1127,,5.2,29.4,
2026-06-15 20:03:14,node,worker-2,54,869,,2.7,22.6,
2026-06-15 20:03:14,node,worker-3,60,504,,3.0,13.1,
2026-06-15 20:03:14,node,worker-4,191,1337,,9.6,34.8,
2026-06-15 20:03:20,deployment,details-v1,1,25,1,,,
2026-06-15 20:03:20,deployment,productpage-v1,1,308,1,,,
2026-06-15 20:03:20,http_p95_latency,productpage-v1,,,,,,76.7
2026-06-15 20:03:20,deployment,ratings-v1,0,21,1,,,
2026-06-15 20:03:20,deployment,reviews-v1,1,125,1,,,
2026-06-15 20:03:20,deployment,reviews-v2,0,112,1,,,
