Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-11 02:32:35,deployment,adservice,4,107,1,,,
2026-06-11 02:32:35,deployment,cartservice,14,71,1,,,
2026-06-11 02:32:35,deployment,checkoutservice,3,21,1,,,
2026-06-11 02:32:35,deployment,currencyservice,8,98,1,,,
2026-06-11 02:32:35,deployment,emailservice,5,64,1,,,
2026-06-11 02:32:35,deployment,frontend,34,19,1,,,
2026-06-11 02:32:35,http_p95_latency,frontend,,,,,,122.0
2026-06-11 02:32:35,deployment,paymentservice,3,81,1,,,
2026-06-11 02:32:35,deployment,productcatalogservice,23,10,1,,,
2026-06-11 02:32:35,deployment,recommendationservice,13,76,1,,,
2026-06-11 02:32:35,deployment,redis-cart,2,16,1,,,
2026-06-11 02:32:35,deployment,shippingservice,5,22,1,,,
2026-06-11 02:32:35,node,master,307,1725,,15.3,44.9,
2026-06-11 02:32:35,node,worker-1,109,1216,,5.5,31.7,
2026-06-11 02:32:35,node,worker-2,104,1113,,5.2,29.0,
2026-06-11 02:32:35,node,worker-3,136,732,,6.8,19.1,
2026-06-11 02:32:35,node,worker-4,141,1558,,7.0,40.6,
2026-06-11 02:32:42,deployment,adservice,4,107,1,,,
2026-06-11 02:32:42,deployment,cartservice,3,71,1,,,
2026-06-11 02:32:42,deployment,checkoutservice,3,21,1,,,
2026-06-11 02:32:42,deployment,currencyservice,8,98,1,,,
2026-06-11 02:32:42,deployment,emailservice,7,64,1,,,
2026-06-11 02:32:42,deployment,frontend,0,19,1,,,
2026-06-11 02:32:42,http_p95_latency,frontend,,,,,,122.0
2026-06-11 02:32:42,deployment,paymentservice,3,81,1,,,
2026-06-11 02:32:42,deployment,productcatalogservice,2,10,1,,,
2026-06-11 02:32:42,deployment,recommendationservice,6,76,1,,,
2026-06-11 02:32:42,deployment,redis-cart,2,16,1,,,
2026-06-11 02:32:42,deployment,shippingservice,5,22,1,,,
2026-06-11 02:32:42,node,master,110,1726,,5.5,45.0,
2026-06-11 02:32:42,node,worker-1,77,1214,,3.9,31.6,
2026-06-11 02:32:42,node,worker-2,89,1112,,4.5,29.0,
2026-06-11 02:32:42,node,worker-3,72,729,,3.6,19.0,
2026-06-11 02:32:42,node,worker-4,123,1557,,6.2,40.6,
2026-06-11 02:32:48,deployment,adservice,4,107,1,,,
2026-06-11 02:32:48,deployment,cartservice,3,71,1,,,
2026-06-11 02:32:48,deployment,checkoutservice,3,21,1,,,
2026-06-11 02:32:48,deployment,currencyservice,8,98,1,,,
2026-06-11 02:32:48,deployment,emailservice,7,64,1,,,
2026-06-11 02:32:48,deployment,frontend,0,19,1,,,
2026-06-11 02:32:48,http_p95_latency,frontend,,,,,,205.0
2026-06-11 02:32:48,deployment,paymentservice,3,81,1,,,
2026-06-11 02:32:48,deployment,productcatalogservice,2,10,1,,,
2026-06-11 02:32:48,deployment,recommendationservice,6,76,1,,,
2026-06-11 02:32:48,deployment,redis-cart,2,16,1,,,
2026-06-11 02:32:48,deployment,shippingservice,5,22,1,,,
2026-06-11 02:32:48,node,master,110,1726,,5.5,45.0,
2026-06-11 02:32:48,node,worker-1,77,1214,,3.9,31.6,
2026-06-11 02:32:48,node,worker-2,89,1112,,4.5,29.0,
2026-06-11 02:32:48,node,worker-3,72,729,,3.6,19.0,
2026-06-11 02:32:48,node,worker-4,123,1557,,6.2,40.6,
2026-06-11 02:32:54,deployment,adservice,4,107,1,,,
2026-06-11 02:32:54,deployment,cartservice,3,71,1,,,
2026-06-11 02:32:54,deployment,checkoutservice,3,21,1,,,
2026-06-11 02:32:54,deployment,currencyservice,8,98,1,,,
2026-06-11 02:32:54,deployment,emailservice,7,64,1,,,
2026-06-11 02:32:54,deployment,frontend,0,19,1,,,
2026-06-11 02:32:54,http_p95_latency,frontend,,,,,,205.0
2026-06-11 02:32:54,deployment,paymentservice,3,81,1,,,
2026-06-11 02:32:54,deployment,productcatalogservice,2,10,1,,,
2026-06-11 02:32:54,deployment,recommendationservice,6,76,1,,,
2026-06-11 02:32:54,deployment,redis-cart,2,16,1,,,
2026-06-11 02:32:54,deployment,shippingservice,5,22,1,,,
2026-06-11 02:32:54,node,master,110,1726,,5.5,45.0,
2026-06-11 02:32:54,node,worker-1,77,1214,,3.9,31.6,
2026-06-11 02:32:54,node,worker-2,89,1112,,4.5,29.0,
2026-06-11 02:32:54,node,worker-3,72,729,,3.6,19.0,
