Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-06-04 22:48:36,deployment,adservice,2,107,1,,
2026-06-04 22:48:36,deployment,cartservice,5,74,1,,
2026-06-04 22:48:36,deployment,checkoutservice,2,21,1,,
2026-06-04 22:48:36,deployment,currencyservice,4,60,1,,
2026-06-04 22:48:36,deployment,emailservice,7,61,1,,
2026-06-04 22:48:36,deployment,frontend,0,19,1,,
2026-06-04 22:48:36,deployment,paymentservice,5,81,1,,
2026-06-04 22:48:36,deployment,productcatalogservice,2,28,1,,
2026-06-04 22:48:36,deployment,recommendationservice,5,62,1,,
2026-06-04 22:48:36,deployment,redis-cart,2,36,1,,
2026-06-04 22:48:36,deployment,shippingservice,5,27,1,,
2026-06-04 22:48:36,node,master,290,1657,,14.5,43.2
2026-06-04 22:48:36,node,worker-1,26,834,,1.3,21.7
2026-06-04 22:48:36,node,worker-2,61,1012,,3.0,26.4
2026-06-04 22:48:36,node,worker-3,111,824,,5.5,21.5
2026-06-04 22:48:36,node,worker-4,182,2208,,9.1,57.5
2026-06-04 22:48:42,deployment,adservice,2,107,1,,
2026-06-04 22:48:42,deployment,cartservice,5,74,1,,
2026-06-04 22:48:42,deployment,checkoutservice,2,21,1,,
2026-06-04 22:48:42,deployment,currencyservice,4,60,1,,
2026-06-04 22:48:42,deployment,emailservice,7,61,1,,
2026-06-04 22:48:42,deployment,frontend,0,19,1,,
2026-06-04 22:48:42,deployment,paymentservice,5,81,1,,
2026-06-04 22:48:42,deployment,productcatalogservice,2,28,1,,
2026-06-04 22:48:42,deployment,recommendationservice,5,62,1,,
2026-06-04 22:48:42,deployment,redis-cart,2,36,1,,
2026-06-04 22:48:42,deployment,shippingservice,5,27,1,,
2026-06-04 22:48:42,node,master,290,1657,,14.5,43.2
2026-06-04 22:48:42,node,worker-1,26,834,,1.3,21.7
2026-06-04 22:48:42,node,worker-2,61,1012,,3.0,26.4
2026-06-04 22:48:42,node,worker-3,111,824,,5.5,21.5
2026-06-04 22:48:42,node,worker-4,182,2208,,9.1,57.5
2026-06-04 22:48:48,deployment,adservice,2,107,1,,
2026-06-04 22:48:48,deployment,cartservice,5,74,1,,
2026-06-04 22:48:48,deployment,checkoutservice,2,21,1,,
2026-06-04 22:48:48,deployment,currencyservice,4,60,1,,
2026-06-04 22:48:48,deployment,emailservice,7,61,1,,
2026-06-04 22:48:48,deployment,frontend,0,19,1,,
2026-06-04 22:48:48,deployment,paymentservice,5,81,1,,
2026-06-04 22:48:48,deployment,productcatalogservice,2,28,1,,
2026-06-04 22:48:48,deployment,recommendationservice,5,62,1,,
2026-06-04 22:48:48,deployment,redis-cart,2,36,1,,
2026-06-04 22:48:48,deployment,shippingservice,5,27,1,,
2026-06-04 22:48:48,node,master,290,1657,,14.5,43.2
2026-06-04 22:48:48,node,worker-1,26,834,,1.3,21.7
2026-06-04 22:48:48,node,worker-2,61,1012,,3.0,26.4
2026-06-04 22:48:48,node,worker-3,111,824,,5.5,21.5
2026-06-04 22:48:48,node,worker-4,182,2208,,9.1,57.5
2026-06-04 22:48:55,deployment,adservice,11,108,1,,
2026-06-04 22:48:55,deployment,cartservice,18,76,1,,
2026-06-04 22:48:55,deployment,checkoutservice,5,22,1,,
2026-06-04 22:48:55,deployment,currencyservice,9,34,1,,
2026-06-04 22:48:55,deployment,emailservice,7,61,1,,
2026-06-04 22:48:55,deployment,frontend,35,19,1,,
2026-06-04 22:48:55,deployment,paymentservice,6,81,1,,
2026-06-04 22:48:55,deployment,productcatalogservice,2,28,1,,
