Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-06-03 22:42:56,deployment,adservice,19,105,1,,
2026-06-03 22:42:56,deployment,cartservice,5,66,1,,
2026-06-03 22:42:56,deployment,checkoutservice,8,23,1,,
2026-06-03 22:42:56,deployment,currencyservice,69,104,1,,
2026-06-03 22:42:56,deployment,emailservice,6,54,1,,
2026-06-03 22:42:56,deployment,frontend,38,16,1,,
2026-06-03 22:42:56,deployment,paymentservice,5,79,1,,
2026-06-03 22:42:56,deployment,productcatalogservice,20,20,1,,
2026-06-03 22:42:56,deployment,recommendationservice,31,61,1,,
2026-06-03 22:42:56,deployment,redis-cart,5,30,1,,
2026-06-03 22:42:56,deployment,shippingservice,11,19,1,,
2026-06-03 22:42:56,node,master,810,1815,,40.5,47.3
2026-06-03 22:42:56,node,worker-1,448,1080,,22.4,28.1
2026-06-03 22:42:56,node,worker-2,427,917,,21.3,23.9
2026-06-03 22:42:56,node,worker-3,276,795,,13.8,20.7
2026-06-03 22:42:56,node,worker-4,654,1489,,32.7,38.8
2026-06-03 22:43:03,deployment,adservice,19,105,1,,
2026-06-03 22:43:03,deployment,cartservice,5,66,1,,
2026-06-03 22:43:03,deployment,checkoutservice,8,23,1,,
2026-06-03 22:43:03,deployment,currencyservice,69,104,1,,
2026-06-03 22:43:03,deployment,emailservice,6,54,1,,
2026-06-03 22:43:03,deployment,frontend,38,16,1,,
2026-06-03 22:43:03,deployment,paymentservice,5,79,1,,
2026-06-03 22:43:03,deployment,productcatalogservice,20,20,1,,
2026-06-03 22:43:03,deployment,recommendationservice,31,61,1,,
2026-06-03 22:43:03,deployment,redis-cart,5,30,1,,
2026-06-03 22:43:03,deployment,shippingservice,5,19,1,,
2026-06-03 22:43:03,node,master,129,1817,,6.5,47.3
2026-06-03 22:43:03,node,worker-1,81,1082,,4.0,28.2
2026-06-03 22:43:03,node,worker-2,132,916,,6.6,23.9
2026-06-03 22:43:03,node,worker-3,56,797,,2.8,20.8
