Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-16 14:21:28,deployment,details-v1,0,25,1,,,
2026-06-16 14:21:28,deployment,productpage-v1,1,278,1,,,
2026-06-16 14:21:28,http_p95_latency,productpage-v1,,,,,,0.0
2026-06-16 14:21:28,deployment,ratings-v1,0,28,1,,,
2026-06-16 14:21:28,deployment,reviews-v1,1,124,1,,,
2026-06-16 14:21:28,deployment,reviews-v2,0,183,1,,,
2026-06-16 14:21:28,deployment,reviews-v3,1,136,1,,,
2026-06-16 14:21:28,node,master,124,1427,,6.2,37.2,
2026-06-16 14:21:28,node,worker-1,23,696,,1.1,18.1,
2026-06-16 14:21:28,node,worker-2,49,822,,2.5,21.4,
2026-06-16 14:21:28,node,worker-3,45,795,,2.2,20.7,
2026-06-16 14:21:28,node,worker-4,70,1038,,3.5,27.0,
2026-06-16 14:21:35,deployment,details-v1,0,25,1,,,
2026-06-16 14:21:35,deployment,productpage-v1,1,278,1,,,
2026-06-16 14:21:35,http_p95_latency,productpage-v1,,,,,,0.0
2026-06-16 14:21:35,deployment,ratings-v1,0,28,1,,,
2026-06-16 14:21:35,deployment,reviews-v1,1,124,1,,,
2026-06-16 14:21:35,deployment,reviews-v2,0,183,1,,,
2026-06-16 14:21:35,deployment,reviews-v3,1,136,1,,,
2026-06-16 14:21:35,node,master,124,1427,,6.2,37.2,
2026-06-16 14:21:35,node,worker-1,23,696,,1.1,18.1,
2026-06-16 14:21:35,node,worker-2,49,822,,2.5,21.4,
2026-06-16 14:21:35,node,worker-3,45,795,,2.2,20.7,
2026-06-16 14:21:35,node,worker-4,70,1038,,3.5,27.0,
2026-06-16 14:21:40,deployment,details-v1,4,25,1,,,
2026-06-16 14:21:40,deployment,productpage-v1,25,278,1,,,
2026-06-16 14:21:40,http_p95_latency,productpage-v1,,,,,,0.0
2026-06-16 14:21:40,deployment,ratings-v1,0,28,1,,,
2026-06-16 14:21:40,deployment,reviews-v1,1,124,1,,,
2026-06-16 14:21:40,deployment,reviews-v2,2,184,1,,,
2026-06-16 14:21:40,deployment,reviews-v3,2,136,1,,,
2026-06-16 14:21:40,node,master,312,1431,,15.6,37.3,
2026-06-16 14:21:40,node,worker-1,554,1075,,27.7,28.0,
2026-06-16 14:21:40,node,worker-2,215,832,,10.8,21.7,
2026-06-16 14:21:40,node,worker-3,129,812,,6.5,21.2,
2026-06-16 14:21:40,node,worker-4,467,1277,,23.4,33.3,
2026-06-16 14:21:46,deployment,details-v1,4,25,1,,,
2026-06-16 14:21:46,deployment,productpage-v1,25,278,1,,,
2026-06-16 14:21:46,http_p95_latency,productpage-v1,,,,,,90.6
2026-06-16 14:21:46,deployment,ratings-v1,0,28,1,,,
2026-06-16 14:21:46,deployment,reviews-v1,1,124,1,,,
2026-06-16 14:21:46,deployment,reviews-v2,2,184,1,,,
2026-06-16 14:21:46,deployment,reviews-v3,2,136,1,,,
2026-06-16 14:21:46,node,master,312,1431,,15.6,37.3,
2026-06-16 14:21:46,node,worker-1,554,1075,,27.7,28.0,
2026-06-16 14:21:46,node,worker-2,215,832,,10.8,21.7,
2026-06-16 14:21:46,node,worker-3,129,812,,6.5,21.2,
2026-06-16 14:21:46,node,worker-4,467,1277,,23.4,33.3,
2026-06-16 14:21:53,deployment,details-v1,4,25,1,,,
2026-06-16 14:21:53,deployment,productpage-v1,25,278,1,,,
2026-06-16 14:21:53,http_p95_latency,productpage-v1,,,,,,90.6
2026-06-16 14:21:53,deployment,ratings-v1,0,28,1,,,
2026-06-16 14:21:53,deployment,reviews-v1,1,124,1,,,
2026-06-16 14:21:53,deployment,reviews-v2,2,184,1,,,
2026-06-16 14:21:53,deployment,reviews-v3,2,136,1,,,
2026-06-16 14:21:53,node,master,312,1431,,15.6,37.3,
2026-06-16 14:21:53,node,worker-1,554,1075,,27.7,28.0,
2026-06-16 14:21:53,node,worker-2,215,832,,10.8,21.7,
2026-06-16 14:21:53,node,worker-3,129,812,,6.5,21.2,
2026-06-16 14:21:53,node,worker-4,467,1277,,23.4,33.3,
2026-06-16 14:21:58,deployment,details-v1,7,25,1,,,
2026-06-16 14:21:58,deployment,productpage-v1,25,278,1,,,
2026-06-16 14:21:58,http_p95_latency,productpage-v1,,,,,,90.6
2026-06-16 14:21:58,deployment,ratings-v1,1,28,1,,,
2026-06-16 14:21:58,deployment,reviews-v1,1,124,1,,,
2026-06-16 14:21:58,deployment,reviews-v2,2,184,1,,,
2026-06-16 14:21:58,deployment,reviews-v3,2,137,1,,,
2026-06-16 14:21:58,node,master,153,1428,,7.6,37.2,
2026-06-16 14:21:58,node,worker-1,111,1078,,5.5,28.1,
2026-06-16 14:21:58,node,worker-2,97,831,,4.9,21.6,
2026-06-16 14:21:58,node,worker-3,107,811,,5.3,21.1,
2026-06-16 14:21:58,node,worker-4,126,1310,,6.3,34.1,
2026-06-16 14:22:04,deployment,details-v1,7,25,1,,,
2026-06-16 14:22:04,deployment,productpage-v1,25,278,1,,,
2026-06-16 14:22:04,http_p95_latency,productpage-v1,,,,,,49.2
2026-06-16 14:22:04,deployment,ratings-v1,1,28,1,,,
2026-06-16 14:22:04,deployment,reviews-v1,1,124,1,,,
2026-06-16 14:22:04,deployment,reviews-v2,2,184,1,,,
2026-06-16 14:22:04,deployment,reviews-v3,2,137,1,,,
2026-06-16 14:22:04,node,master,153,1428,,7.6,37.2,
2026-06-16 14:22:04,node,worker-1,111,1078,,5.5,28.1,
2026-06-16 14:22:04,node,worker-2,97,831,,4.9,21.6,
2026-06-16 14:22:04,node,worker-3,107,811,,5.3,21.1,
2026-06-16 14:22:04,node,worker-4,126,1310,,6.3,34.1,
2026-06-16 14:22:10,deployment,details-v1,6,25,1,,,
2026-06-16 14:22:10,deployment,productpage-v1,44,278,1,,,
2026-06-16 14:22:10,http_p95_latency,productpage-v1,,,,,,49.2
2026-06-16 14:22:10,deployment,ratings-v1,1,28,1,,,
2026-06-16 14:22:10,deployment,reviews-v1,1,124,1,,,
2026-06-16 14:22:10,deployment,reviews-v2,2,184,1,,,
2026-06-16 14:22:10,deployment,reviews-v3,2,137,1,,,
2026-06-16 14:22:10,node,master,190,1437,,9.5,37.4,
2026-06-16 14:22:10,node,worker-1,86,1078,,4.3,28.1,
2026-06-16 14:22:10,node,worker-2,127,833,,6.3,21.7,
2026-06-16 14:22:10,node,worker-3,94,812,,4.7,21.2,
2026-06-16 14:22:10,node,worker-4,121,1308,,6.0,34.1,
2026-06-16 14:22:16,deployment,details-v1,6,25,1,,,
2026-06-16 14:22:16,deployment,productpage-v1,44,278,1,,,
2026-06-16 14:22:16,http_p95_latency,productpage-v1,,,,,,41.3
