Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-16 18:10:27,deployment,details-v1,1,21,1,,,
2026-06-16 18:10:27,deployment,productpage-v1,45,305,1,,,
2026-06-16 18:10:27,http_p95_latency,productpage-v1,,,,,,164.8
2026-06-16 18:10:27,deployment,ratings-v1,17,27,1,,,
2026-06-16 18:10:27,deployment,reviews-v1,9,127,1,,,
2026-06-16 18:10:27,deployment,reviews-v2,22,106,1,,,
2026-06-16 18:10:27,deployment,reviews-v3,10,112,1,,,
2026-06-16 18:10:27,node,master,800,1434,,40.0,37.4,
2026-06-16 18:10:27,node,worker-1,450,827,,22.5,21.5,
2026-06-16 18:10:27,node,worker-2,455,685,,22.8,17.8,
2026-06-16 18:10:27,node,worker-3,542,535,,27.1,13.9,
2026-06-16 18:10:27,node,worker-4,479,1470,,23.9,38.3,
2026-06-16 18:10:34,deployment,details-v1,1,21,1,,,
2026-06-16 18:10:34,deployment,productpage-v1,45,305,1,,,
2026-06-16 18:10:34,http_p95_latency,productpage-v1,,,,,,164.8
2026-06-16 18:10:34,deployment,ratings-v1,17,27,1,,,
2026-06-16 18:10:34,deployment,reviews-v1,9,127,1,,,
2026-06-16 18:10:34,deployment,reviews-v2,22,106,1,,,
2026-06-16 18:10:34,deployment,reviews-v3,10,112,1,,,
2026-06-16 18:10:34,node,master,800,1434,,40.0,37.4,
2026-06-16 18:10:34,node,worker-1,450,827,,22.5,21.5,
2026-06-16 18:10:34,node,worker-2,455,685,,22.8,17.8,
2026-06-16 18:10:34,node,worker-3,542,535,,27.1,13.9,
2026-06-16 18:10:34,node,worker-4,479,1470,,23.9,38.3,
2026-06-16 18:10:39,deployment,details-v1,3,21,1,,,
2026-06-16 18:10:39,deployment,productpage-v1,18,306,1,,,
2026-06-16 18:10:39,http_p95_latency,productpage-v1,,,,,,164.8
2026-06-16 18:10:39,deployment,ratings-v1,0,27,1,,,
2026-06-16 18:10:39,deployment,reviews-v1,1,127,1,,,
2026-06-16 18:10:39,deployment,reviews-v2,0,106,1,,,
2026-06-16 18:10:39,deployment,reviews-v3,3,112,1,,,
2026-06-16 18:10:39,node,master,158,1447,,7.9,37.7,
2026-06-16 18:10:39,node,worker-1,59,831,,2.9,21.6,
2026-06-16 18:10:39,node,worker-2,99,683,,5.0,17.8,
2026-06-16 18:10:39,node,worker-3,54,535,,2.7,13.9,
2026-06-16 18:10:39,node,worker-4,78,1471,,3.9,38.3,
2026-06-16 18:10:45,deployment,details-v1,3,21,1,,,
2026-06-16 18:10:45,deployment,productpage-v1,18,306,1,,,
2026-06-16 18:10:45,http_p95_latency,productpage-v1,,,,,,1463.7
2026-06-16 18:10:45,deployment,ratings-v1,0,27,1,,,
2026-06-16 18:10:45,deployment,reviews-v1,1,127,1,,,
2026-06-16 18:10:45,deployment,reviews-v2,0,106,1,,,
2026-06-16 18:10:45,deployment,reviews-v3,3,112,1,,,
2026-06-16 18:10:45,node,master,158,1447,,7.9,37.7,
2026-06-16 18:10:45,node,worker-1,59,831,,2.9,21.6,
2026-06-16 18:10:45,node,worker-2,99,683,,5.0,17.8,
2026-06-16 18:10:45,node,worker-3,54,535,,2.7,13.9,
2026-06-16 18:10:45,node,worker-4,78,1471,,3.9,38.3,
2026-06-16 18:10:51,deployment,details-v1,3,21,1,,,
2026-06-16 18:10:51,deployment,productpage-v1,18,306,1,,,
2026-06-16 18:10:51,http_p95_latency,productpage-v1,,,,,,1463.7
2026-06-16 18:10:51,deployment,ratings-v1,0,27,1,,,
2026-06-16 18:10:51,deployment,reviews-v1,1,127,1,,,
