Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-30 16:00:21,deployment,adservice,3,100,1,,
2026-05-30 16:00:21,deployment,cartservice,3,59,1,,
2026-05-30 16:00:21,deployment,checkoutservice,2,19,1,,
2026-05-30 16:00:21,deployment,currencyservice,3,72,1,,
2026-05-30 16:00:21,deployment,emailservice,5,50,1,,
2026-05-30 16:00:21,deployment,frontend,0,30,1,,
2026-05-30 16:00:21,deployment,paymentservice,3,35,1,,
2026-05-30 16:00:21,deployment,productcatalogservice,2,19,2,,
2026-05-30 16:00:21,deployment,recommendationservice,6,59,1,,
2026-05-30 16:00:21,deployment,redis-cart,2,18,1,,
2026-05-30 16:00:21,deployment,shippingservice,5,19,1,,
2026-05-30 16:00:21,node,master,117,1557,,5.9,40.6
2026-05-30 16:00:21,node,worker,44,629,,2.2,16.4
2026-05-30 16:00:21,node,worker-1,44,629,,2.2,16.4
2026-05-30 16:00:21,node,worker-2,60,787,,3.0,20.5
2026-05-30 16:00:21,node,worker-3,44,550,,2.2,14.3
2026-05-30 16:00:21,node,worker-4,159,1212,,8.0,31.6
2026-05-30 16:00:28,deployment,adservice,2,100,1,,
2026-05-30 16:00:28,deployment,cartservice,5,59,1,,
2026-05-30 16:00:28,deployment,checkoutservice,3,19,1,,
2026-05-30 16:00:28,deployment,currencyservice,2,72,1,,
2026-05-30 16:00:28,deployment,emailservice,7,50,1,,
2026-05-30 16:00:28,deployment,frontend,0,30,1,,
2026-05-30 16:00:28,deployment,paymentservice,3,35,1,,
2026-05-30 16:00:28,deployment,productcatalogservice,2,19,2,,
2026-05-30 16:00:28,deployment,recommendationservice,6,59,1,,
2026-05-30 16:00:28,deployment,redis-cart,2,18,1,,
2026-05-30 16:00:28,deployment,shippingservice,5,19,1,,
2026-05-30 16:00:28,node,master,585,1609,,29.2,41.9
2026-05-30 16:00:28,node,worker,283,688,,14.1,17.9
2026-05-30 16:00:28,node,worker-1,283,688,,14.1,17.9
2026-05-30 16:00:28,node,worker-2,415,931,,20.8,24.3
2026-05-30 16:00:28,node,worker-3,124,551,,6.2,14.4
2026-05-30 16:00:28,node,worker-4,262,1221,,13.1,31.8
2026-05-30 16:00:35,deployment,adservice,2,100,1,,
2026-05-30 16:00:35,deployment,cartservice,5,59,1,,
2026-05-30 16:00:35,deployment,checkoutservice,3,19,1,,
2026-05-30 16:00:35,deployment,currencyservice,2,72,1,,
2026-05-30 16:00:35,deployment,emailservice,7,50,1,,
2026-05-30 16:00:35,deployment,frontend,0,30,1,,
2026-05-30 16:00:35,deployment,paymentservice,3,35,1,,
2026-05-30 16:00:35,deployment,productcatalogservice,2,19,2,,
2026-05-30 16:00:35,deployment,recommendationservice,6,59,1,,
2026-05-30 16:00:35,deployment,redis-cart,2,18,1,,
2026-05-30 16:00:35,deployment,shippingservice,5,19,1,,
2026-05-30 16:00:35,node,master,585,1609,,29.2,41.9
2026-05-30 16:00:35,node,worker,283,688,,14.1,17.9
2026-05-30 16:00:35,node,worker-1,283,688,,14.1,17.9
2026-05-30 16:00:35,node,worker-2,415,931,,20.8,24.3
2026-05-30 16:00:35,node,worker-3,124,551,,6.2,14.4
2026-05-30 16:00:35,node,worker-4,262,1221,,13.1,31.8
2026-05-30 16:00:42,deployment,adservice,26,101,1,,
2026-05-30 16:00:42,deployment,cartservice,60,60,1,,
2026-05-30 16:00:42,deployment,checkoutservice,11,20,1,,
2026-05-30 16:00:42,deployment,currencyservice,106,65,1,,
2026-05-30 16:00:42,deployment,emailservice,6,50,1,,
2026-05-30 16:00:42,deployment,frontend,0,30,1,,
2026-05-30 16:00:42,deployment,paymentservice,4,35,1,,
2026-05-30 16:00:42,deployment,productcatalogservice,62,18,2,,
2026-05-30 16:00:42,deployment,recommendationservice,19,59,1,,
2026-05-30 16:00:42,deployment,redis-cart,6,18,1,,
2026-05-30 16:00:42,deployment,shippingservice,5,19,1,,
2026-05-30 16:00:42,node,master,405,1628,,20.2,42.4
2026-05-30 16:00:42,node,worker,842,1193,,42.1,31.1
2026-05-30 16:00:42,node,worker-1,842,1193,,42.1,31.1
2026-05-30 16:00:42,node,worker-2,733,935,,36.6,24.4
2026-05-30 16:00:42,node,worker-3,214,552,,10.7,14.4
2026-05-30 16:00:42,node,worker-4,853,1417,,42.6,36.9
2026-05-30 16:00:50,deployment,adservice,26,101,1,,
2026-05-30 16:00:50,deployment,cartservice,60,60,1,,
2026-05-30 16:00:50,deployment,checkoutservice,11,20,1,,
2026-05-30 16:00:50,deployment,currencyservice,106,65,1,,
2026-05-30 16:00:50,deployment,emailservice,6,50,1,,
2026-05-30 16:00:50,deployment,frontend,0,30,1,,
2026-05-30 16:00:50,deployment,paymentservice,4,35,1,,
2026-05-30 16:00:50,deployment,productcatalogservice,62,18,2,,
2026-05-30 16:00:50,deployment,recommendationservice,19,59,1,,
2026-05-30 16:00:50,deployment,redis-cart,6,18,1,,
2026-05-30 16:00:50,deployment,shippingservice,5,19,1,,
2026-05-30 16:00:50,node,master,405,1628,,20.2,42.4
2026-05-30 16:00:50,node,worker,842,1193,,42.1,31.1
2026-05-30 16:00:50,node,worker-1,842,1193,,42.1,31.1
2026-05-30 16:00:50,node,worker-2,733,935,,36.6,24.4
2026-05-30 16:00:50,node,worker-3,214,552,,10.7,14.4
2026-05-30 16:00:50,node,worker-4,853,1417,,42.6,36.9
2026-05-30 16:00:57,deployment,adservice,35,101,1,,
2026-05-30 16:00:57,deployment,cartservice,120,60,1,,
2026-05-30 16:00:57,deployment,checkoutservice,22,20,1,,
2026-05-30 16:00:57,deployment,currencyservice,168,67,1,,
2026-05-30 16:00:57,deployment,emailservice,12,50,1,,
2026-05-30 16:00:57,deployment,frontend,278,35,1,,
2026-05-30 16:00:57,deployment,paymentservice,7,35,1,,
2026-05-30 16:00:57,deployment,productcatalogservice,137,18,2,,
2026-05-30 16:00:57,deployment,recommendationservice,136,59,1,,
2026-05-30 16:00:57,deployment,redis-cart,10,18,1,,
2026-05-30 16:00:57,deployment,shippingservice,17,18,1,,
2026-05-30 16:00:57,node,master,568,1642,,28.4,42.8
2026-05-30 16:00:57,node,worker,96,1191,,4.8,31.0
2026-05-30 16:00:57,node,worker-1,96,1191,,4.8,31.0
2026-05-30 16:00:57,node,worker-2,990,938,,49.5,24.4
2026-05-30 16:00:57,node,worker-3,277,556,,13.9,14.5
2026-05-30 16:00:57,node,worker-4,1019,1419,,50.9,37.0
