Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-30 17:01:04,deployment,adservice,3,101,1,,
2026-05-30 17:01:04,deployment,cartservice,3,50,1,,
2026-05-30 17:01:04,deployment,checkoutservice,2,19,1,,
2026-05-30 17:01:04,deployment,currencyservice,3,70,1,,
2026-05-30 17:01:04,deployment,emailservice,5,50,1,,
2026-05-30 17:01:04,deployment,frontend,0,25,1,,
2026-05-30 17:01:04,deployment,paymentservice,4,65,1,,
2026-05-30 17:01:04,deployment,productcatalogservice,2,19,2,,
2026-05-30 17:01:04,deployment,recommendationservice,7,60,1,,
2026-05-30 17:01:04,deployment,redis-cart,2,19,1,,
2026-05-30 17:01:04,deployment,shippingservice,4,19,1,,
2026-05-30 17:01:04,node,master,129,1578,,6.5,41.1
2026-05-30 17:01:04,node,worker,49,700,,2.5,18.2
2026-05-30 17:01:04,node,worker-1,49,700,,2.5,18.2
2026-05-30 17:01:04,node,worker-2,52,851,,2.6,22.2
2026-05-30 17:01:04,node,worker-3,30,592,,1.5,15.4
2026-05-30 17:01:04,node,worker-4,149,1468,,7.4,38.2
2026-05-30 17:01:12,deployment,adservice,2,101,1,,
2026-05-30 17:01:12,deployment,cartservice,4,49,1,,
2026-05-30 17:01:12,deployment,checkoutservice,3,19,1,,
2026-05-30 17:01:12,deployment,currencyservice,12,43,1,,
2026-05-30 17:01:12,deployment,emailservice,6,50,1,,
2026-05-30 17:01:12,deployment,frontend,0,25,1,,
2026-05-30 17:01:12,deployment,paymentservice,2,65,1,,
2026-05-30 17:01:12,deployment,productcatalogservice,3,20,2,,
2026-05-30 17:01:12,deployment,recommendationservice,5,60,1,,
2026-05-30 17:01:12,deployment,redis-cart,2,19,1,,
2026-05-30 17:01:12,deployment,shippingservice,4,19,1,,
2026-05-30 17:01:12,node,master,790,1637,,39.5,42.6
2026-05-30 17:01:12,node,worker,1265,1074,,63.2,28.0
2026-05-30 17:01:12,node,worker-1,1265,1074,,63.2,28.0
2026-05-30 17:01:12,node,worker-2,417,896,,20.8,23.3
2026-05-30 17:01:12,node,worker-3,127,604,,6.3,15.7
2026-05-30 17:01:12,node,worker-4,263,1483,,13.2,38.6
2026-05-30 17:01:20,deployment,adservice,2,101,1,,
2026-05-30 17:01:20,deployment,cartservice,4,49,1,,
2026-05-30 17:01:20,deployment,checkoutservice,3,19,1,,
2026-05-30 17:01:20,deployment,currencyservice,12,43,1,,
2026-05-30 17:01:20,deployment,emailservice,6,50,1,,
2026-05-30 17:01:20,deployment,frontend,0,25,1,,
2026-05-30 17:01:20,deployment,paymentservice,2,65,1,,
2026-05-30 17:01:20,deployment,productcatalogservice,3,20,2,,
2026-05-30 17:01:20,deployment,recommendationservice,5,60,1,,
2026-05-30 17:01:20,deployment,redis-cart,2,19,1,,
2026-05-30 17:01:20,deployment,shippingservice,4,19,1,,
2026-05-30 17:01:20,node,master,790,1637,,39.5,42.6
2026-05-30 17:01:20,node,worker,1265,1074,,63.2,28.0
2026-05-30 17:01:20,node,worker-1,1265,1074,,63.2,28.0
2026-05-30 17:01:20,node,worker-2,417,896,,20.8,23.3
2026-05-30 17:01:20,node,worker-3,127,604,,6.3,15.7
2026-05-30 17:01:20,node,worker-4,263,1483,,13.2,38.6
2026-05-30 17:01:27,deployment,adservice,13,102,1,,
2026-05-30 17:01:27,deployment,cartservice,25,50,1,,
2026-05-30 17:01:27,deployment,checkoutservice,6,20,1,,
2026-05-30 17:01:27,deployment,currencyservice,30,43,1,,
2026-05-30 17:01:27,deployment,emailservice,5,50,1,,
2026-05-30 17:01:27,deployment,frontend,41,28,1,,
2026-05-30 17:01:27,deployment,paymentservice,2,65,1,,
2026-05-30 17:01:27,deployment,productcatalogservice,30,18,2,,
2026-05-30 17:01:27,deployment,recommendationservice,19,60,1,,
2026-05-30 17:01:27,deployment,redis-cart,3,19,1,,
2026-05-30 17:01:27,deployment,shippingservice,6,19,1,,
2026-05-30 17:01:27,node,master,270,1621,,13.5,42.2
2026-05-30 17:01:27,node,worker,538,1255,,26.9,32.7
2026-05-30 17:01:27,node,worker-1,538,1255,,26.9,32.7
2026-05-30 17:01:27,node,worker-2,424,996,,21.2,25.9
2026-05-30 17:01:27,node,worker-3,43,603,,2.1,15.7
2026-05-30 17:01:27,node,worker-4,364,1631,,18.2,42.5
2026-05-30 17:01:34,deployment,adservice,13,102,1,,
2026-05-30 17:01:34,deployment,cartservice,25,50,1,,
2026-05-30 17:01:34,deployment,checkoutservice,6,20,1,,
2026-05-30 17:01:34,deployment,currencyservice,30,43,1,,
2026-05-30 17:01:34,deployment,emailservice,5,50,1,,
2026-05-30 17:01:34,deployment,frontend,41,28,1,,
2026-05-30 17:01:34,deployment,paymentservice,2,65,1,,
2026-05-30 17:01:34,deployment,productcatalogservice,30,18,2,,
2026-05-30 17:01:34,deployment,recommendationservice,19,60,1,,
2026-05-30 17:01:34,deployment,redis-cart,3,19,1,,
2026-05-30 17:01:34,deployment,shippingservice,6,19,1,,
2026-05-30 17:01:34,node,master,270,1621,,13.5,42.2
2026-05-30 17:01:34,node,worker,538,1255,,26.9,32.7
2026-05-30 17:01:34,node,worker-1,538,1255,,26.9,32.7
2026-05-30 17:01:34,node,worker-2,424,996,,21.2,25.9
2026-05-30 17:01:34,node,worker-3,43,603,,2.1,15.7
2026-05-30 17:01:34,node,worker-4,364,1631,,18.2,42.5
2026-05-30 17:01:41,deployment,adservice,7,102,1,,
2026-05-30 17:01:41,deployment,cartservice,36,50,1,,
2026-05-30 17:01:41,deployment,checkoutservice,7,20,1,,
2026-05-30 17:01:41,deployment,currencyservice,30,43,1,,
2026-05-30 17:01:41,deployment,emailservice,8,50,1,,
2026-05-30 17:01:41,deployment,frontend,63,28,1,,
2026-05-30 17:01:41,deployment,paymentservice,3,64,1,,
2026-05-30 17:01:41,deployment,productcatalogservice,34,18,2,,
2026-05-30 17:01:41,deployment,recommendationservice,19,60,1,,
2026-05-30 17:01:41,deployment,redis-cart,3,19,1,,
2026-05-30 17:01:41,deployment,shippingservice,8,18,1,,
2026-05-30 17:01:41,node,master,227,1616,,11.3,42.1
2026-05-30 17:01:41,node,worker,222,1250,,11.1,32.6
2026-05-30 17:01:41,node,worker-1,222,1250,,11.1,32.6
2026-05-30 17:01:41,node,worker-2,321,999,,16.1,26.0
2026-05-30 17:01:41,node,worker-3,56,605,,2.8,15.8
2026-05-30 17:01:41,node,worker-4,238,1630,,11.9,42.5
2026-05-30 17:01:48,deployment,adservice,7,102,1,,
2026-05-30 17:01:48,deployment,cartservice,36,50,1,,
2026-05-30 17:01:48,deployment,checkoutservice,7,20,1,,
2026-05-30 17:01:48,deployment,currencyservice,30,43,1,,
2026-05-30 17:01:48,deployment,emailservice,8,50,1,,
2026-05-30 17:01:48,deployment,frontend,63,28,1,,
2026-05-30 17:01:48,deployment,paymentservice,3,64,1,,
2026-05-30 17:01:48,deployment,productcatalogservice,34,18,2,,
2026-05-30 17:01:48,deployment,recommendationservice,19,60,1,,
2026-05-30 17:01:48,deployment,redis-cart,3,19,1,,
2026-05-30 17:01:48,deployment,shippingservice,8,18,1,,
2026-05-30 17:01:48,node,master,227,1616,,11.3,42.1
2026-05-30 17:01:48,node,worker,222,1250,,11.1,32.6
2026-05-30 17:01:48,node,worker-1,222,1250,,11.1,32.6
2026-05-30 17:01:48,node,worker-2,321,999,,16.1,26.0
2026-05-30 17:01:48,node,worker-3,56,605,,2.8,15.8
2026-05-30 17:01:48,node,worker-4,238,1630,,11.9,42.5
2026-05-30 17:01:53,deployment,adservice,7,102,1,,
2026-05-30 17:01:53,deployment,cartservice,36,50,1,,
2026-05-30 17:01:53,deployment,checkoutservice,7,20,1,,
2026-05-30 17:01:53,deployment,currencyservice,30,43,1,,
2026-05-30 17:01:53,deployment,emailservice,8,50,1,,
2026-05-30 17:01:53,deployment,frontend,63,28,1,,
2026-05-30 17:01:53,deployment,paymentservice,3,64,1,,
2026-05-30 17:01:53,deployment,productcatalogservice,34,18,2,,
2026-05-30 17:01:53,deployment,recommendationservice,19,60,1,,
2026-05-30 17:01:53,deployment,redis-cart,3,19,1,,
2026-05-30 17:01:53,deployment,shippingservice,8,18,1,,
2026-05-30 17:01:53,node,master,227,1616,,11.3,42.1
2026-05-30 17:01:53,node,worker,222,1250,,11.1,32.6
2026-05-30 17:01:53,node,worker-1,222,1250,,11.1,32.6
2026-05-30 17:01:53,node,worker-2,321,999,,16.1,26.0
2026-05-30 17:01:53,node,worker-3,56,605,,2.8,15.8
2026-05-30 17:01:53,node,worker-4,238,1630,,11.9,42.5
2026-05-30 17:02:00,deployment,adservice,8,102,1,,
2026-05-30 17:02:00,deployment,cartservice,24,52,1,,
2026-05-30 17:02:00,deployment,checkoutservice,4,20,1,,
2026-05-30 17:02:00,deployment,currencyservice,34,45,1,,
2026-05-30 17:02:00,deployment,emailservice,8,50,1,,
2026-05-30 17:02:00,deployment,frontend,65,28,1,,
2026-05-30 17:02:00,deployment,paymentservice,3,64,1,,
