Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-30 17:27:06,deployment,adservice,2,102,1,,
2026-05-30 17:27:06,deployment,cartservice,4,47,1,,
2026-05-30 17:27:06,deployment,checkoutservice,4,21,1,,
2026-05-30 17:27:06,deployment,currencyservice,2,72,1,,
2026-05-30 17:27:06,deployment,emailservice,6,50,1,,
2026-05-30 17:27:06,deployment,frontend,0,29,1,,
2026-05-30 17:27:06,deployment,paymentservice,3,78,1,,
2026-05-30 17:27:06,deployment,productcatalogservice,4,19,2,,
2026-05-30 17:27:06,deployment,recommendationservice,7,60,1,,
2026-05-30 17:27:06,deployment,redis-cart,2,19,1,,
2026-05-30 17:27:06,deployment,shippingservice,5,19,1,,
2026-05-30 17:27:06,node,master,197,1656,,9.8,43.1
2026-05-30 17:27:06,node,worker,46,678,,2.3,17.7
2026-05-30 17:27:06,node,worker-1,46,678,,2.3,17.7
2026-05-30 17:27:06,node,worker-2,66,928,,3.3,24.2
2026-05-30 17:27:06,node,worker-3,127,631,,6.3,16.4
2026-05-30 17:27:06,node,worker-4,152,1672,,7.6,43.6
2026-05-30 17:27:14,deployment,adservice,3,102,1,,
2026-05-30 17:27:14,deployment,cartservice,8,49,1,,
2026-05-30 17:27:14,deployment,checkoutservice,2,21,1,,
2026-05-30 17:27:14,deployment,currencyservice,3,72,1,,
2026-05-30 17:27:14,deployment,emailservice,7,50,1,,
2026-05-30 17:27:14,deployment,frontend,0,28,1,,
2026-05-30 17:27:14,deployment,paymentservice,3,78,1,,
2026-05-30 17:27:14,deployment,productcatalogservice,3,19,2,,
2026-05-30 17:27:14,deployment,recommendationservice,8,60,1,,
2026-05-30 17:27:14,deployment,redis-cart,2,19,1,,
2026-05-30 17:27:14,deployment,shippingservice,4,19,1,,
2026-05-30 17:27:14,node,master,804,1778,,40.2,46.3
2026-05-30 17:27:14,node,worker,752,736,,37.6,19.2
2026-05-30 17:27:14,node,worker-1,752,736,,37.6,19.2
2026-05-30 17:27:14,node,worker-2,211,934,,10.5,24.3
2026-05-30 17:27:14,node,worker-3,137,633,,6.9,16.5
2026-05-30 17:27:14,node,worker-4,233,1677,,11.7,43.7
2026-05-30 17:27:21,deployment,adservice,3,102,1,,
2026-05-30 17:27:21,deployment,cartservice,8,49,1,,
2026-05-30 17:27:21,deployment,checkoutservice,2,21,1,,
2026-05-30 17:27:21,deployment,currencyservice,3,72,1,,
2026-05-30 17:27:21,deployment,emailservice,7,50,1,,
