Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-16 09:00:50,deployment,details-v1,0,14,1,,,
2026-06-16 09:00:50,deployment,productpage-v1,1,270,1,,,
2026-06-16 09:00:50,http_p95_latency,productpage-v1,,,,,,0.0
2026-06-16 09:00:50,deployment,ratings-v1,0,9,1,,,
2026-06-16 09:00:50,deployment,reviews-v1,1,96,1,,,
2026-06-16 09:00:50,deployment,reviews-v2,1,100,1,,,
2026-06-16 09:00:50,deployment,reviews-v3,1,95,1,,,
2026-06-16 09:00:50,node,master,146,1156,,7.3,30.1,
2026-06-16 09:00:50,node,worker-1,27,759,,1.4,19.8,
2026-06-16 09:00:50,node,worker-2,38,525,,1.9,13.7,
2026-06-16 09:00:50,node,worker-3,16,351,,0.8,9.1,
2026-06-16 09:00:50,node,worker-4,46,840,,2.3,21.9,
2026-06-16 09:00:56,deployment,details-v1,0,14,1,,,
2026-06-16 09:00:56,deployment,productpage-v1,1,270,1,,,
2026-06-16 09:00:56,http_p95_latency,productpage-v1,,,,,,0.0
2026-06-16 09:00:56,deployment,ratings-v1,0,9,1,,,
2026-06-16 09:00:56,deployment,reviews-v1,1,96,1,,,
2026-06-16 09:00:56,deployment,reviews-v2,2,100,1,,,
2026-06-16 09:00:56,deployment,reviews-v3,2,99,1,,,
2026-06-16 09:00:56,node,master,386,1172,,19.3,30.5,
2026-06-16 09:00:56,node,worker-1,289,819,,14.4,21.3,
2026-06-16 09:00:56,node,worker-2,146,560,,7.3,14.6,
2026-06-16 09:00:56,node,worker-3,42,353,,2.1,9.2,
2026-06-16 09:00:56,node,worker-4,465,1118,,23.2,29.1,
2026-06-16 09:01:02,deployment,details-v1,0,14,1,,,
2026-06-16 09:01:02,deployment,productpage-v1,1,270,1,,,
2026-06-16 09:01:02,http_p95_latency,productpage-v1,,,,,,0.0
2026-06-16 09:01:02,deployment,ratings-v1,0,9,1,,,
2026-06-16 09:01:02,deployment,reviews-v1,1,96,1,,,
2026-06-16 09:01:02,deployment,reviews-v2,2,100,1,,,
