Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-10 20:05:17,deployment,adservice,2,104,1,,,
2026-06-10 20:05:17,deployment,cartservice,6,69,1,,,
2026-06-10 20:05:17,deployment,checkoutservice,5,21,1,,,
2026-06-10 20:05:17,deployment,currencyservice,3,53,1,,,
2026-06-10 20:05:17,deployment,emailservice,7,60,1,,,
2026-06-10 20:05:17,deployment,frontend,0,23,1,,,
2026-06-10 20:05:17,http_p95_latency,frontend,,,,,,83.4
2026-06-10 20:05:17,deployment,paymentservice,3,80,1,,,
2026-06-10 20:05:17,deployment,productcatalogservice,3,9,1,,,
2026-06-10 20:05:17,deployment,recommendationservice,7,54,1,,,
2026-06-10 20:05:17,deployment,redis-cart,2,15,1,,,
2026-06-10 20:05:17,deployment,shippingservice,4,18,1,,,
2026-06-10 20:05:17,node,master,187,1599,,9.3,41.7,
2026-06-10 20:05:17,node,worker-1,110,726,,5.5,18.9,
2026-06-10 20:05:17,node,worker-2,100,887,,5.0,23.1,
2026-06-10 20:05:17,node,worker-3,113,661,,5.7,17.2,
2026-06-10 20:05:17,node,worker-4,115,1236,,5.8,32.2,
2026-06-10 20:05:23,deployment,adservice,2,104,1,,,
2026-06-10 20:05:23,deployment,cartservice,6,69,1,,,
2026-06-10 20:05:23,deployment,checkoutservice,5,21,1,,,
2026-06-10 20:05:23,deployment,currencyservice,3,53,1,,,
2026-06-10 20:05:23,deployment,emailservice,7,60,1,,,
2026-06-10 20:05:23,deployment,frontend,0,23,1,,,
2026-06-10 20:05:23,http_p95_latency,frontend,,,,,,83.4
2026-06-10 20:05:23,deployment,paymentservice,3,80,1,,,
2026-06-10 20:05:23,deployment,productcatalogservice,3,9,1,,,
2026-06-10 20:05:23,deployment,recommendationservice,7,54,1,,,
2026-06-10 20:05:23,deployment,redis-cart,2,15,1,,,
2026-06-10 20:05:23,deployment,shippingservice,4,18,1,,,
2026-06-10 20:05:23,node,master,187,1599,,9.3,41.7,
2026-06-10 20:05:23,node,worker-1,110,726,,5.5,18.9,
2026-06-10 20:05:23,node,worker-2,100,887,,5.0,23.1,
2026-06-10 20:05:23,node,worker-3,113,661,,5.7,17.2,
2026-06-10 20:05:23,node,worker-4,115,1236,,5.8,32.2,
2026-06-10 20:05:29,deployment,adservice,4,105,1,,,
2026-06-10 20:05:29,deployment,cartservice,7,69,1,,,
2026-06-10 20:05:29,deployment,checkoutservice,2,21,1,,,
2026-06-10 20:05:29,deployment,currencyservice,3,53,1,,,
2026-06-10 20:05:29,deployment,emailservice,5,60,1,,,
2026-06-10 20:05:29,deployment,frontend,0,23,1,,,
2026-06-10 20:05:29,http_p95_latency,frontend,,,,,,195.0
2026-06-10 20:05:29,deployment,paymentservice,2,80,1,,,
2026-06-10 20:05:29,deployment,productcatalogservice,4,9,1,,,
2026-06-10 20:05:29,deployment,recommendationservice,7,54,1,,,
2026-06-10 20:05:29,deployment,redis-cart,2,15,1,,,
2026-06-10 20:05:29,deployment,shippingservice,4,18,1,,,
2026-06-10 20:05:29,node,master,647,1749,,32.4,45.6,
2026-06-10 20:05:29,node,worker-1,1054,1014,,52.7,26.4,
2026-06-10 20:05:29,node,worker-2,977,1157,,48.9,30.1,
2026-06-10 20:05:29,node,worker-3,294,672,,14.7,17.5,
2026-06-10 20:05:29,node,worker-4,369,1480,,18.4,38.6,
2026-06-10 20:05:37,deployment,adservice,4,105,1,,,
2026-06-10 20:05:37,deployment,cartservice,7,69,1,,,
2026-06-10 20:05:37,deployment,checkoutservice,2,21,1,,,
2026-06-10 20:05:37,deployment,currencyservice,3,53,1,,,
2026-06-10 20:05:37,deployment,emailservice,5,60,1,,,
2026-06-10 20:05:37,deployment,frontend,0,23,1,,,
2026-06-10 20:05:37,http_p95_latency,frontend,,,,,,195.0
2026-06-10 20:05:37,deployment,paymentservice,2,80,1,,,
2026-06-10 20:05:37,deployment,productcatalogservice,4,9,1,,,
2026-06-10 20:05:37,deployment,recommendationservice,7,54,1,,,
2026-06-10 20:05:37,deployment,redis-cart,2,15,1,,,
2026-06-10 20:05:37,deployment,shippingservice,4,18,1,,,
2026-06-10 20:05:37,node,master,647,1749,,32.4,45.6,
2026-06-10 20:05:37,node,worker-1,1054,1014,,52.7,26.4,
2026-06-10 20:05:37,node,worker-2,977,1157,,48.9,30.1,
2026-06-10 20:05:37,node,worker-3,294,672,,14.7,17.5,
2026-06-10 20:05:37,node,worker-4,369,1480,,18.4,38.6,
2026-06-10 20:05:43,deployment,adservice,4,105,1,,,
2026-06-10 20:05:43,deployment,cartservice,14,69,1,,,
2026-06-10 20:05:43,deployment,checkoutservice,3,21,1,,,
2026-06-10 20:05:43,deployment,currencyservice,14,53,1,,,
2026-06-10 20:05:43,deployment,emailservice,7,60,1,,,
2026-06-10 20:05:43,deployment,frontend,15,21,1,,,
2026-06-10 20:05:43,http_p95_latency,frontend,,,,,,195.0
2026-06-10 20:05:43,deployment,paymentservice,3,79,1,,,
2026-06-10 20:05:43,deployment,productcatalogservice,10,9,1,,,
2026-06-10 20:05:43,deployment,recommendationservice,10,54,1,,,
2026-06-10 20:05:43,deployment,redis-cart,2,15,1,,,
2026-06-10 20:05:43,deployment,shippingservice,5,18,1,,,
2026-06-10 20:05:43,node,master,295,1749,,14.8,45.6,
2026-06-10 20:05:43,node,worker-1,148,1011,,7.4,26.3,
2026-06-10 20:05:43,node,worker-2,140,1173,,7.0,30.6,
2026-06-10 20:05:43,node,worker-3,99,669,,5.0,17.4,
2026-06-10 20:05:43,node,worker-4,318,1514,,15.9,39.4,
2026-06-10 20:05:50,deployment,adservice,4,105,1,,,
2026-06-10 20:05:50,deployment,cartservice,14,69,1,,,
2026-06-10 20:05:50,deployment,checkoutservice,3,21,1,,,
2026-06-10 20:05:50,deployment,currencyservice,14,53,1,,,
2026-06-10 20:05:50,deployment,emailservice,7,60,1,,,
2026-06-10 20:05:50,deployment,frontend,15,21,1,,,
2026-06-10 20:05:50,http_p95_latency,frontend,,,,,,171.9
2026-06-10 20:05:50,deployment,paymentservice,3,79,1,,,
2026-06-10 20:05:50,deployment,productcatalogservice,10,9,1,,,
2026-06-10 20:05:50,deployment,recommendationservice,10,54,1,,,
2026-06-10 20:05:50,deployment,redis-cart,2,15,1,,,
2026-06-10 20:05:50,deployment,shippingservice,5,18,1,,,
2026-06-10 20:05:50,node,master,295,1749,,14.8,45.6,
2026-06-10 20:05:50,node,worker-1,148,1011,,7.4,26.3,
2026-06-10 20:05:50,node,worker-2,140,1173,,7.0,30.6,
2026-06-10 20:05:50,node,worker-3,99,669,,5.0,17.4,
2026-06-10 20:05:50,node,worker-4,318,1514,,15.9,39.4,
2026-06-10 20:05:56,deployment,adservice,4,105,1,,,
2026-06-10 20:05:56,deployment,cartservice,10,70,1,,,
2026-06-10 20:05:56,deployment,checkoutservice,4,21,1,,,
2026-06-10 20:05:56,deployment,currencyservice,12,53,1,,,
2026-06-10 20:05:56,deployment,emailservice,6,60,1,,,
2026-06-10 20:05:56,deployment,frontend,20,22,1,,,
2026-06-10 20:05:56,http_p95_latency,frontend,,,,,,171.9
2026-06-10 20:05:56,deployment,paymentservice,2,79,1,,,
2026-06-10 20:05:56,deployment,productcatalogservice,13,9,1,,,
2026-06-10 20:05:56,deployment,recommendationservice,13,54,1,,,
2026-06-10 20:05:56,deployment,redis-cart,2,15,1,,,
2026-06-10 20:05:56,deployment,shippingservice,4,18,1,,,
2026-06-10 20:05:56,node,master,288,1745,,14.4,45.5,
2026-06-10 20:05:56,node,worker-1,190,1011,,9.5,26.3,
2026-06-10 20:05:56,node,worker-2,155,1171,,7.8,30.5,
