Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-06-19 12:11:38,deployment,adservice,4,84,1,,,
2026-06-19 12:11:38,deployment,cartservice,3,42,1,,,
2026-06-19 12:11:38,deployment,checkoutservice,4,16,1,,,
2026-06-19 12:11:38,deployment,currencyservice,3,16,1,,,
2026-06-19 12:11:38,deployment,emailservice,6,50,1,,,
2026-06-19 12:11:38,deployment,frontend,0,7,1,,,
2026-06-19 12:11:38,http_p95_latency,frontend,,,,,,0.0
2026-06-19 12:11:38,deployment,paymentservice,4,23,1,,,
2026-06-19 12:11:38,deployment,productcatalogservice,3,16,1,,,
2026-06-19 12:11:38,deployment,recommendationservice,7,48,1,,,
2026-06-19 12:11:38,deployment,redis-cart,1,5,1,,,
2026-06-19 12:11:38,deployment,shippingservice,3,15,1,,,
2026-06-19 12:11:38,node,master,323,1323,,16.2,34.5,
2026-06-19 12:11:38,node,worker-1,316,853,,15.8,22.2,
2026-06-19 12:11:38,node,worker-2,77,577,,3.9,15.0,
2026-06-19 12:11:38,node,worker-3,101,383,,5.1,10.0,
2026-06-19 12:11:38,node,worker-4,115,823,,5.8,21.4,
2026-06-19 12:11:44,deployment,adservice,4,84,1,,,
2026-06-19 12:11:44,deployment,cartservice,4,42,1,,,
2026-06-19 12:11:44,deployment,checkoutservice,2,16,1,,,
2026-06-19 12:11:44,deployment,currencyservice,3,16,1,,,
2026-06-19 12:11:44,deployment,emailservice,6,50,1,,,
2026-06-19 12:11:44,deployment,frontend,0,7,1,,,
2026-06-19 12:11:44,http_p95_latency,frontend,,,,,,0.0
2026-06-19 12:11:44,deployment,paymentservice,3,23,1,,,
2026-06-19 12:11:44,deployment,productcatalogservice,2,16,1,,,
2026-06-19 12:11:44,deployment,recommendationservice,6,48,1,,,
2026-06-19 12:11:44,deployment,redis-cart,1,5,1,,,
2026-06-19 12:11:44,deployment,shippingservice,6,15,1,,,
2026-06-19 12:11:44,node,master,200,1285,,10.0,33.5,
2026-06-19 12:11:44,node,worker-1,158,868,,7.9,22.6,
2026-06-19 12:11:44,node,worker-2,60,579,,3.0,15.1,
2026-06-19 12:11:44,node,worker-3,39,386,,1.9,10.1,
2026-06-19 12:11:44,node,worker-4,100,825,,5.0,21.5,
2026-06-19 12:11:50,deployment,adservice,4,84,1,,,
2026-06-19 12:11:50,deployment,cartservice,4,42,1,,,
2026-06-19 12:11:50,deployment,checkoutservice,2,16,1,,,
2026-06-19 12:11:50,deployment,currencyservice,3,16,1,,,
2026-06-19 12:11:50,deployment,emailservice,6,50,1,,,
2026-06-19 12:11:50,deployment,frontend,0,7,1,,,
2026-06-19 12:11:50,http_p95_latency,frontend,,,,,,0.0
2026-06-19 12:11:50,deployment,paymentservice,3,23,1,,,
2026-06-19 12:11:50,deployment,productcatalogservice,2,16,1,,,
2026-06-19 12:11:50,deployment,recommendationservice,6,48,1,,,
2026-06-19 12:11:50,deployment,redis-cart,1,5,1,,,
2026-06-19 12:11:50,deployment,shippingservice,6,15,1,,,
2026-06-19 12:11:50,node,master,200,1285,,10.0,33.5,
2026-06-19 12:11:50,node,worker-1,158,868,,7.9,22.6,
2026-06-19 12:11:50,node,worker-2,60,579,,3.0,15.1,
2026-06-19 12:11:50,node,worker-3,39,386,,1.9,10.1,
2026-06-19 12:11:50,node,worker-4,100,825,,5.0,21.5,
2026-06-19 12:11:56,deployment,adservice,4,84,1,,,
2026-06-19 12:11:56,deployment,cartservice,4,42,1,,,
2026-06-19 12:11:56,deployment,checkoutservice,2,16,1,,,
2026-06-19 12:11:56,deployment,currencyservice,3,16,1,,,
2026-06-19 12:11:56,deployment,emailservice,6,50,1,,,
2026-06-19 12:11:56,deployment,frontend,0,7,1,,,
2026-06-19 12:11:56,http_p95_latency,frontend,,,,,,0.0
2026-06-19 12:11:56,deployment,paymentservice,3,23,1,,,
2026-06-19 12:11:56,deployment,productcatalogservice,2,16,1,,,
2026-06-19 12:11:56,deployment,recommendationservice,6,48,1,,,
2026-06-19 12:11:56,deployment,redis-cart,1,5,1,,,
2026-06-19 12:11:56,deployment,shippingservice,6,15,1,,,
2026-06-19 12:11:56,node,master,200,1285,,10.0,33.5,
2026-06-19 12:11:56,node,worker-1,158,868,,7.9,22.6,
2026-06-19 12:11:56,node,worker-2,60,579,,3.0,15.1,
2026-06-19 12:11:56,node,worker-3,39,386,,1.9,10.1,
2026-06-19 12:11:56,node,worker-4,100,825,,5.0,21.5,
2026-06-19 12:12:02,deployment,adservice,4,84,1,,,
2026-06-19 12:12:02,deployment,cartservice,3,42,1,,,
