Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-06-05 03:51:38,deployment,adservice,3,108,1,,
2026-06-05 03:51:38,deployment,cartservice,3,70,1,,
2026-06-05 03:51:38,deployment,checkoutservice,2,21,1,,
2026-06-05 03:51:38,deployment,currencyservice,3,64,1,,
2026-06-05 03:51:38,deployment,emailservice,7,61,1,,
2026-06-05 03:51:38,deployment,frontend,27,15,1,,
2026-06-05 03:51:38,deployment,paymentservice,4,76,1,,
2026-06-05 03:51:38,deployment,productcatalogservice,3,26,1,,
2026-06-05 03:51:38,deployment,recommendationservice,37,62,1,,
2026-06-05 03:51:38,deployment,redis-cart,2,35,1,,
2026-06-05 03:51:38,deployment,shippingservice,3,23,1,,
2026-06-05 03:51:38,node,master,262,1724,,13.1,44.9
2026-06-05 03:51:38,node,worker-1,157,817,,7.8,21.3
2026-06-05 03:51:38,node,worker-2,151,1060,,7.5,27.6
2026-06-05 03:51:38,node,worker-3,48,853,,2.4,22.2
2026-06-05 03:51:38,node,worker-4,282,1781,,14.1,46.4
2026-06-05 03:51:47,deployment,adservice,3,108,1,,
2026-06-05 03:51:47,deployment,cartservice,3,70,1,,
2026-06-05 03:51:47,deployment,checkoutservice,2,21,1,,
2026-06-05 03:51:47,deployment,currencyservice,3,64,1,,
2026-06-05 03:51:47,deployment,emailservice,7,61,1,,
2026-06-05 03:51:47,deployment,frontend,27,15,1,,
2026-06-05 03:51:47,deployment,paymentservice,4,76,1,,
2026-06-05 03:51:47,deployment,productcatalogservice,3,26,1,,
2026-06-05 03:51:47,deployment,recommendationservice,37,62,1,,
2026-06-05 03:51:47,deployment,redis-cart,2,35,1,,
2026-06-05 03:51:47,deployment,shippingservice,3,23,1,,
2026-06-05 03:51:47,node,master,262,1724,,13.1,44.9
2026-06-05 03:51:47,node,worker-1,157,817,,7.8,21.3
2026-06-05 03:51:47,node,worker-2,151,1060,,7.5,27.6
2026-06-05 03:51:47,node,worker-3,48,853,,2.4,22.2
2026-06-05 03:51:47,node,worker-4,282,1781,,14.1,46.4
2026-06-05 03:51:54,deployment,adservice,4,108,1,,
2026-06-05 03:51:54,deployment,cartservice,4,70,1,,
2026-06-05 03:51:54,deployment,checkoutservice,5,21,1,,
2026-06-05 03:51:54,deployment,currencyservice,3,64,1,,
2026-06-05 03:51:54,deployment,emailservice,7,61,1,,
2026-06-05 03:51:54,deployment,frontend,26,13,1,,
2026-06-05 03:51:54,deployment,paymentservice,2,77,1,,
2026-06-05 03:51:54,deployment,productcatalogservice,3,26,1,,
2026-06-05 03:51:54,deployment,recommendationservice,10,62,1,,
2026-06-05 03:51:54,deployment,redis-cart,2,35,1,,
2026-06-05 03:51:54,deployment,shippingservice,4,24,1,,
2026-06-05 03:51:54,node,master,404,1766,,20.2,46.0
2026-06-05 03:51:54,node,worker-1,1430,1326,,71.5,34.5
2026-06-05 03:51:54,node,worker-2,927,1275,,46.4,33.2
2026-06-05 03:51:54,node,worker-3,197,859,,9.8,22.4
2026-06-05 03:51:54,node,worker-4,381,1766,,19.1,46.0
2026-06-05 03:52:00,deployment,adservice,4,108,1,,
2026-06-05 03:52:00,deployment,cartservice,4,70,1,,
2026-06-05 03:52:00,deployment,checkoutservice,5,21,1,,
2026-06-05 03:52:00,deployment,currencyservice,3,64,1,,
2026-06-05 03:52:00,deployment,emailservice,7,61,1,,
2026-06-05 03:52:00,deployment,frontend,26,13,1,,
2026-06-05 03:52:00,deployment,paymentservice,2,77,1,,
2026-06-05 03:52:00,deployment,productcatalogservice,3,26,1,,
2026-06-05 03:52:00,deployment,recommendationservice,10,62,1,,
2026-06-05 03:52:00,deployment,redis-cart,2,35,1,,
2026-06-05 03:52:00,deployment,shippingservice,4,24,1,,
2026-06-05 03:52:00,node,master,404,1766,,20.2,46.0
2026-06-05 03:52:00,node,worker-1,1430,1326,,71.5,34.5
2026-06-05 03:52:00,node,worker-2,927,1275,,46.4,33.2
2026-06-05 03:52:00,node,worker-3,197,859,,9.8,22.4
2026-06-05 03:52:00,node,worker-4,381,1766,,19.1,46.0
2026-06-05 03:52:06,deployment,adservice,6,108,1,,
2026-06-05 03:52:06,deployment,cartservice,22,70,1,,
2026-06-05 03:52:06,deployment,checkoutservice,4,21,1,,
2026-06-05 03:52:06,deployment,currencyservice,35,38,1,,
2026-06-05 03:52:06,deployment,emailservice,7,61,1,,
2026-06-05 03:52:06,deployment,frontend,54,14,1,,
2026-06-05 03:52:06,deployment,paymentservice,4,76,1,,
2026-06-05 03:52:06,deployment,productcatalogservice,25,25,1,,
2026-06-05 03:52:06,deployment,recommendationservice,22,62,1,,
2026-06-05 03:52:06,deployment,redis-cart,3,35,1,,
2026-06-05 03:52:06,deployment,shippingservice,7,24,1,,
2026-06-05 03:52:06,node,master,257,1767,,12.8,46.0
2026-06-05 03:52:06,node,worker-1,259,1374,,13.0,35.8
2026-06-05 03:52:06,node,worker-2,252,1284,,12.6,33.4
2026-06-05 03:52:06,node,worker-3,105,854,,5.2,22.2
2026-06-05 03:52:06,node,worker-4,522,2001,,26.1,52.1
2026-06-05 03:52:12,deployment,adservice,6,108,1,,
2026-06-05 03:52:12,deployment,cartservice,22,70,1,,
2026-06-05 03:52:12,deployment,checkoutservice,4,21,1,,
2026-06-05 03:52:12,deployment,currencyservice,35,38,1,,
2026-06-05 03:52:12,deployment,emailservice,7,61,1,,
2026-06-05 03:52:12,deployment,frontend,54,14,1,,
2026-06-05 03:52:12,deployment,paymentservice,4,76,1,,
2026-06-05 03:52:12,deployment,productcatalogservice,25,25,1,,
2026-06-05 03:52:12,deployment,recommendationservice,22,62,1,,
2026-06-05 03:52:12,deployment,redis-cart,3,35,1,,
