Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-26 13:54:43,deployment,adservice,0,82,1,,
2026-05-26 13:54:43,deployment,cartservice,4,71,1,,
2026-05-26 13:54:43,deployment,checkoutservice,2,21,1,,
2026-05-26 13:54:43,deployment,currencyservice,5,62,1,,
2026-05-26 13:54:43,deployment,emailservice,6,59,1,,
2026-05-26 13:54:43,deployment,frontend,0,33,1,,
2026-05-26 13:54:43,deployment,paymentservice,3,75,1,,
2026-05-26 13:54:43,deployment,productcatalogservice,3,19,2,,
2026-05-26 13:54:43,deployment,recommendationservice,7,53,1,,
2026-05-26 13:54:43,deployment,redis-cart,2,13,1,,
2026-05-26 13:54:43,deployment,shippingservice,4,18,1,,
2026-05-26 13:54:43,node,master,208,1440,,10.4,37.5
2026-05-26 13:54:43,node,worker,74,767,,3.7,20.0
2026-05-26 13:54:43,node,worker-1,74,767,,3.7,20.0
2026-05-26 13:54:43,node,worker-2,71,1218,,3.5,31.7
2026-05-26 13:54:43,node,worker-3,50,742,,2.5,19.3
2026-05-26 13:54:43,node,worker-4,72,798,,3.6,20.8
2026-05-26 13:54:49,deployment,adservice,3,82,1,,
2026-05-26 13:54:49,deployment,cartservice,4,71,1,,
2026-05-26 13:54:49,deployment,checkoutservice,3,21,1,,
2026-05-26 13:54:49,deployment,currencyservice,37,69,1,,
2026-05-26 13:54:49,deployment,emailservice,6,59,1,,
2026-05-26 13:54:49,deployment,frontend,0,33,1,,
2026-05-26 13:54:49,deployment,paymentservice,2,75,1,,
2026-05-26 13:54:49,deployment,productcatalogservice,3,19,2,,
2026-05-26 13:54:49,deployment,recommendationservice,7,55,1,,
2026-05-26 13:54:49,deployment,redis-cart,2,13,1,,
2026-05-26 13:54:49,deployment,shippingservice,4,18,1,,
2026-05-26 13:54:49,node,master,991,1540,,49.5,40.1
2026-05-26 13:54:49,node,worker,1704,1252,,85.2,32.6
2026-05-26 13:54:49,node,worker-1,1704,1252,,85.2,32.6
2026-05-26 13:54:49,node,worker-2,551,1631,,27.6,42.5
2026-05-26 13:54:49,node,worker-3,186,770,,9.3,20.1
2026-05-26 13:54:49,node,worker-4,203,800,,10.2,20.8
2026-05-26 13:54:55,deployment,adservice,3,82,1,,
2026-05-26 13:54:55,deployment,cartservice,4,71,1,,
2026-05-26 13:54:55,deployment,checkoutservice,3,21,1,,
2026-05-26 13:54:55,deployment,currencyservice,37,69,1,,
2026-05-26 13:54:55,deployment,emailservice,6,59,1,,
2026-05-26 13:54:55,deployment,frontend,0,33,1,,
2026-05-26 13:54:55,deployment,paymentservice,2,75,1,,
2026-05-26 13:54:55,deployment,productcatalogservice,3,19,2,,
2026-05-26 13:54:55,deployment,recommendationservice,7,55,1,,
2026-05-26 13:54:55,deployment,redis-cart,2,13,1,,
2026-05-26 13:54:55,deployment,shippingservice,4,18,1,,
2026-05-26 13:54:55,node,master,991,1540,,49.5,40.1
2026-05-26 13:54:55,node,worker,1704,1252,,85.2,32.6
2026-05-26 13:54:55,node,worker-1,1704,1252,,85.2,32.6
2026-05-26 13:54:55,node,worker-2,551,1631,,27.6,42.5
2026-05-26 13:54:55,node,worker-3,186,770,,9.3,20.1
2026-05-26 13:54:55,node,worker-4,203,800,,10.2,20.8
2026-05-26 13:55:01,deployment,adservice,3,82,1,,
2026-05-26 13:55:01,deployment,cartservice,4,71,1,,
2026-05-26 13:55:01,deployment,checkoutservice,3,21,1,,
2026-05-26 13:55:01,deployment,currencyservice,37,69,1,,
2026-05-26 13:55:01,deployment,emailservice,6,59,1,,
2026-05-26 13:55:01,deployment,frontend,46,33,1,,
2026-05-26 13:55:01,deployment,paymentservice,4,75,1,,
2026-05-26 13:55:01,deployment,productcatalogservice,56,19,2,,
2026-05-26 13:55:01,deployment,recommendationservice,53,55,1,,
2026-05-26 13:55:01,deployment,redis-cart,5,13,1,,
2026-05-26 13:55:01,deployment,shippingservice,9,18,1,,
2026-05-26 13:55:01,node,master,491,1543,,24.6,40.2
2026-05-26 13:55:01,node,worker,185,1248,,9.2,32.5
2026-05-26 13:55:01,node,worker-1,185,1248,,9.2,32.5
2026-05-26 13:55:01,node,worker-2,194,1634,,9.7,42.6
2026-05-26 13:55:01,node,worker-3,519,788,,25.9,20.5
2026-05-26 13:55:01,node,worker-4,302,802,,15.1,20.9
2026-05-26 13:55:09,deployment,adservice,7,83,1,,
2026-05-26 13:55:09,deployment,cartservice,32,71,1,,
2026-05-26 13:55:09,deployment,checkoutservice,8,20,1,,
2026-05-26 13:55:09,deployment,currencyservice,140,82,7,,
