Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-25 18:03:24,deployment,adservice,0,102,1,,
2026-05-25 18:03:24,deployment,cartservice,4,60,1,,
2026-05-25 18:03:24,deployment,checkoutservice,3,18,1,,
2026-05-25 18:03:24,deployment,currencyservice,2,42,1,,
2026-05-25 18:03:24,deployment,emailservice,7,50,1,,
2026-05-25 18:03:24,deployment,frontend,0,7,1,,
2026-05-25 18:03:24,deployment,paymentservice,2,74,1,,
2026-05-25 18:03:24,deployment,productcatalogservice,2,18,2,,
2026-05-25 18:03:24,deployment,recommendationservice,6,54,1,,
2026-05-25 18:03:24,deployment,redis-cart,2,12,1,,
2026-05-25 18:03:24,deployment,shippingservice,4,17,1,,
2026-05-25 18:03:24,node,master,246,1630,,12.3,42.5
2026-05-25 18:03:24,node,worker,34,588,,1.7,15.3
2026-05-25 18:03:24,node,worker-1,34,588,,1.7,15.3
2026-05-25 18:03:24,node,worker-2,115,1138,,5.8,29.6
2026-05-25 18:03:24,node,worker-3,42,541,,2.1,14.1
2026-05-25 18:03:24,node,worker-4,74,739,,3.7,19.2
2026-05-25 18:03:33,deployment,adservice,4,103,1,,
2026-05-25 18:03:33,deployment,cartservice,8,60,1,,
2026-05-25 18:03:33,deployment,checkoutservice,3,18,1,,
2026-05-25 18:03:33,deployment,currencyservice,2,42,1,,
2026-05-25 18:03:33,deployment,emailservice,5,50,1,,
2026-05-25 18:03:33,deployment,frontend,0,7,1,,
2026-05-25 18:03:33,deployment,paymentservice,3,74,1,,
2026-05-25 18:03:33,deployment,productcatalogservice,8,19,2,,
2026-05-25 18:03:33,deployment,recommendationservice,11,54,1,,
2026-05-25 18:03:33,deployment,redis-cart,2,12,1,,
2026-05-25 18:03:33,deployment,shippingservice,5,17,1,,
2026-05-25 18:03:33,node,master,641,1663,,32.0,43.3
2026-05-25 18:03:33,node,worker,1320,1004,,66.0,26.2
2026-05-25 18:03:33,node,worker-1,1320,1004,,66.0,26.2
2026-05-25 18:03:33,node,worker-2,314,1429,,15.7,37.2
2026-05-25 18:03:33,node,worker-3,173,568,,8.6,14.8
2026-05-25 18:03:33,node,worker-4,442,843,,22.1,22.0
2026-05-25 18:03:40,deployment,adservice,4,103,1,,
2026-05-25 18:03:40,deployment,cartservice,8,60,1,,
2026-05-25 18:03:40,deployment,checkoutservice,3,18,1,,
2026-05-25 18:03:40,deployment,currencyservice,2,42,1,,
2026-05-25 18:03:40,deployment,emailservice,5,50,1,,
2026-05-25 18:03:40,deployment,frontend,0,7,1,,
2026-05-25 18:03:40,deployment,paymentservice,3,74,1,,
2026-05-25 18:03:40,deployment,productcatalogservice,8,19,2,,
2026-05-25 18:03:40,deployment,recommendationservice,11,54,1,,
2026-05-25 18:03:40,deployment,redis-cart,2,12,1,,
2026-05-25 18:03:40,deployment,shippingservice,5,17,1,,
2026-05-25 18:03:40,node,master,641,1663,,32.0,43.3
2026-05-25 18:03:40,node,worker,1320,1004,,66.0,26.2
2026-05-25 18:03:40,node,worker-1,1320,1004,,66.0,26.2
2026-05-25 18:03:40,node,worker-2,314,1429,,15.7,37.2
2026-05-25 18:03:40,node,worker-3,173,568,,8.6,14.8
2026-05-25 18:03:40,node,worker-4,442,843,,22.1,22.0
2026-05-25 18:03:48,deployment,adservice,5,103,1,,
2026-05-25 18:03:48,deployment,cartservice,25,60,1,,
2026-05-25 18:03:48,deployment,checkoutservice,4,18,1,,
2026-05-25 18:03:48,deployment,currencyservice,24,43,1,,
2026-05-25 18:03:48,deployment,emailservice,7,50,1,,
2026-05-25 18:03:48,deployment,frontend,36,10,1,,
2026-05-25 18:03:48,deployment,paymentservice,3,74,1,,
2026-05-25 18:03:48,deployment,productcatalogservice,25,18,2,,
2026-05-25 18:03:48,deployment,recommendationservice,19,54,1,,
2026-05-25 18:03:48,deployment,redis-cart,3,13,1,,
2026-05-25 18:03:48,deployment,shippingservice,5,18,1,,
2026-05-25 18:03:48,node,master,546,1663,,27.3,43.3
2026-05-25 18:03:48,node,worker,487,1247,,24.3,32.5
2026-05-25 18:03:48,node,worker-1,487,1247,,24.3,32.5
2026-05-25 18:03:48,node,worker-2,232,1451,,11.6,37.8
2026-05-25 18:03:48,node,worker-3,138,566,,6.9,14.7
