Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-08 18:09:54,deployment,adservice,32,102,1,,
2026-05-08 18:09:54,deployment,cartservice,6,69,1,,
2026-05-08 18:09:54,deployment,checkoutservice,8,21,1,,
2026-05-08 18:09:54,deployment,currencyservice,3,70,1,,
2026-05-08 18:09:54,deployment,emailservice,6,50,1,,
2026-05-08 18:09:54,deployment,frontend,19,21,1,,
2026-05-08 18:09:54,deployment,paymentservice,6,36,1,,
2026-05-08 18:09:54,deployment,productcatalogservice,30,17,2,,
2026-05-08 18:09:54,deployment,recommendationservice,45,54,1,,
2026-05-08 18:09:54,deployment,redis-cart,2,10,1,,
2026-05-08 18:09:54,deployment,shippingservice,5,17,1,,
2026-05-08 18:09:54,node,master,574,1576,,28.7,41.1
2026-05-08 18:09:54,node,worker,239,770,,11.9,20.1
2026-05-08 18:09:54,node,worker-1,239,770,,11.9,20.1
2026-05-08 18:09:54,node,worker-2,291,1582,,14.5,41.2
2026-05-08 18:09:54,node,worker-3,171,668,,8.6,17.4
2026-05-08 18:09:54,node,worker-4,207,784,,10.3,20.4
2026-05-08 18:10:01,deployment,adservice,2,102,1,,
2026-05-08 18:10:01,deployment,cartservice,3,69,1,,
2026-05-08 18:10:01,deployment,checkoutservice,2,21,1,,
2026-05-08 18:10:01,deployment,currencyservice,2,70,1,,
2026-05-08 18:10:01,deployment,emailservice,5,50,1,,
2026-05-08 18:10:01,deployment,frontend,0,21,1,,
2026-05-08 18:10:01,deployment,paymentservice,2,64,1,,
2026-05-08 18:10:01,deployment,productcatalogservice,3,17,2,,
2026-05-08 18:10:01,deployment,recommendationservice,6,54,1,,
2026-05-08 18:10:01,deployment,redis-cart,2,10,1,,
2026-05-08 18:10:01,deployment,shippingservice,3,17,1,,
2026-05-08 18:10:01,node,master,484,1586,,24.2,41.3
2026-05-08 18:10:01,node,worker,649,1228,,32.5,32.0
2026-05-08 18:10:01,node,worker-1,649,1228,,32.5,32.0
2026-05-08 18:10:01,node,worker-2,715,1783,,35.8,46.4
2026-05-08 18:10:01,node,worker-3,84,665,,4.2,17.3
2026-05-08 18:10:01,node,worker-4,152,779,,7.6,20.3
2026-05-08 18:10:08,deployment,adservice,2,102,1,,
2026-05-08 18:10:08,deployment,cartservice,3,69,1,,
2026-05-08 18:10:08,deployment,checkoutservice,2,21,1,,
2026-05-08 18:10:08,deployment,currencyservice,2,70,1,,
2026-05-08 18:10:08,deployment,emailservice,5,50,1,,
