Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-26 16:05:29,deployment,adservice,3,84,1,,
2026-05-26 16:05:29,deployment,cartservice,5,73,1,,
2026-05-26 16:05:29,deployment,checkoutservice,2,28,1,,
2026-05-26 16:05:29,deployment,currencyservice,2,116,1,,
2026-05-26 16:05:29,deployment,emailservice,8,61,1,,
2026-05-26 16:05:29,deployment,frontend,0,26,1,,
2026-05-26 16:05:29,deployment,paymentservice,3,79,1,,
2026-05-26 16:05:29,deployment,productcatalogservice,3,20,2,,
2026-05-26 16:05:29,deployment,recommendationservice,6,70,1,,
2026-05-26 16:05:29,deployment,redis-cart,2,14,1,,
2026-05-26 16:05:29,deployment,shippingservice,5,18,1,,
2026-05-26 16:05:29,node,master,157,1699,,7.8,44.3
2026-05-26 16:05:29,node,worker,31,891,,1.6,23.2
2026-05-26 16:05:29,node,worker-1,31,891,,1.6,23.2
2026-05-26 16:05:29,node,worker-2,82,1329,,4.1,34.6
2026-05-26 16:05:29,node,worker-3,54,816,,2.7,21.3
2026-05-26 16:05:29,node,worker-4,105,825,,5.2,21.5
2026-05-26 16:05:37,deployment,adservice,3,85,1,,
2026-05-26 16:05:37,deployment,cartservice,3,73,1,,
2026-05-26 16:05:37,deployment,checkoutservice,3,28,1,,
2026-05-26 16:05:37,deployment,currencyservice,8,88,1,,
2026-05-26 16:05:37,deployment,emailservice,6,61,1,,
2026-05-26 16:05:37,deployment,frontend,0,26,1,,
2026-05-26 16:05:37,deployment,paymentservice,3,80,1,,
2026-05-26 16:05:37,deployment,productcatalogservice,2,20,2,,
2026-05-26 16:05:37,deployment,recommendationservice,6,70,1,,
2026-05-26 16:05:37,deployment,redis-cart,2,14,1,,
2026-05-26 16:05:37,deployment,shippingservice,4,18,1,,
2026-05-26 16:05:37,node,master,619,1774,,30.9,46.2
2026-05-26 16:05:37,node,worker,694,1338,,34.7,34.9
2026-05-26 16:05:37,node,worker-1,694,1338,,34.7,34.9
2026-05-26 16:05:37,node,worker-2,491,1451,,24.6,37.8
2026-05-26 16:05:37,node,worker-3,168,804,,8.4,20.9
2026-05-26 16:05:37,node,worker-4,157,835,,7.8,21.8
2026-05-26 16:05:43,deployment,adservice,3,85,1,,
2026-05-26 16:05:43,deployment,cartservice,3,73,1,,
2026-05-26 16:05:43,deployment,checkoutservice,3,28,1,,
2026-05-26 16:05:43,deployment,currencyservice,8,88,1,,
2026-05-26 16:05:43,deployment,emailservice,6,61,1,,
2026-05-26 16:05:43,deployment,frontend,0,26,1,,
2026-05-26 16:05:43,deployment,paymentservice,3,80,1,,
2026-05-26 16:05:43,deployment,productcatalogservice,2,20,2,,
2026-05-26 16:05:43,deployment,recommendationservice,6,70,1,,
2026-05-26 16:05:43,deployment,redis-cart,2,14,1,,
2026-05-26 16:05:43,deployment,shippingservice,4,18,1,,
2026-05-26 16:05:43,node,master,619,1774,,30.9,46.2
2026-05-26 16:05:43,node,worker,694,1338,,34.7,34.9
2026-05-26 16:05:43,node,worker-1,694,1338,,34.7,34.9
2026-05-26 16:05:43,node,worker-2,491,1451,,24.6,37.8
2026-05-26 16:05:43,node,worker-3,168,804,,8.4,20.9
2026-05-26 16:05:43,node,worker-4,157,835,,7.8,21.8
2026-05-26 16:05:48,deployment,adservice,3,85,1,,
2026-05-26 16:05:48,deployment,cartservice,74,74,1,,
2026-05-26 16:05:48,deployment,checkoutservice,4,28,1,,
2026-05-26 16:05:48,deployment,currencyservice,107,91,1,,
2026-05-26 16:05:48,deployment,emailservice,8,61,1,,
2026-05-26 16:05:48,deployment,frontend,127,27,1,,
2026-05-26 16:05:48,deployment,paymentservice,3,80,1,,
2026-05-26 16:05:48,deployment,productcatalogservice,66,19,2,,
2026-05-26 16:05:48,deployment,recommendationservice,26,70,1,,
2026-05-26 16:05:48,deployment,redis-cart,9,14,1,,
2026-05-26 16:05:48,deployment,shippingservice,12,18,1,,
2026-05-26 16:05:48,node,master,367,1787,,18.4,46.5
2026-05-26 16:05:48,node,worker,246,1341,,12.3,34.9
2026-05-26 16:05:48,node,worker-1,246,1341,,12.3,34.9
2026-05-26 16:05:48,node,worker-2,335,1534,,16.8,40.0
2026-05-26 16:05:48,node,worker-3,637,807,,31.9,21.0
2026-05-26 16:05:48,node,worker-4,322,833,,16.1,21.7
2026-05-26 16:05:54,deployment,adservice,3,85,1,,
2026-05-26 16:05:54,deployment,cartservice,74,74,1,,
2026-05-26 16:05:54,deployment,checkoutservice,4,28,1,,
2026-05-26 16:05:54,deployment,currencyservice,107,91,1,,
2026-05-26 16:05:54,deployment,emailservice,8,61,1,,
2026-05-26 16:05:54,deployment,frontend,127,27,1,,
2026-05-26 16:05:54,deployment,paymentservice,3,80,1,,
2026-05-26 16:05:54,deployment,productcatalogservice,66,19,2,,
2026-05-26 16:05:54,deployment,recommendationservice,26,70,1,,
2026-05-26 16:05:54,deployment,redis-cart,9,14,1,,
2026-05-26 16:05:54,deployment,shippingservice,12,18,1,,
2026-05-26 16:05:54,node,master,367,1787,,18.4,46.5
2026-05-26 16:05:54,node,worker,246,1341,,12.3,34.9
2026-05-26 16:05:54,node,worker-1,246,1341,,12.3,34.9
2026-05-26 16:05:54,node,worker-2,335,1534,,16.8,40.0
2026-05-26 16:05:54,node,worker-3,637,807,,31.9,21.0
2026-05-26 16:05:54,node,worker-4,322,833,,16.1,21.7
2026-05-26 16:06:02,deployment,adservice,3,85,1,,
2026-05-26 16:06:02,deployment,cartservice,74,74,1,,
2026-05-26 16:06:02,deployment,checkoutservice,4,28,1,,
2026-05-26 16:06:02,deployment,currencyservice,107,91,1,,
2026-05-26 16:06:02,deployment,emailservice,9,61,1,,
2026-05-26 16:06:02,deployment,frontend,154,28,1,,
2026-05-26 16:06:02,deployment,paymentservice,6,80,1,,
