Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct
2026-05-27 11:55:44,deployment,adservice,9,102,1,,
2026-05-27 11:55:44,deployment,cartservice,4,57,1,,
2026-05-27 11:55:44,deployment,checkoutservice,6,20,1,,
2026-05-27 11:55:44,deployment,currencyservice,3,71,1,,
2026-05-27 11:55:44,deployment,emailservice,6,50,1,,
2026-05-27 11:55:44,deployment,frontend,32,15,1,,
2026-05-27 11:55:44,deployment,paymentservice,6,79,1,,
2026-05-27 11:55:44,deployment,productcatalogservice,34,19,2,,
2026-05-27 11:55:44,deployment,recommendationservice,40,52,1,,
2026-05-27 11:55:44,deployment,redis-cart,3,15,1,,
2026-05-27 11:55:44,deployment,shippingservice,15,17,1,,
2026-05-27 11:55:44,node,master,641,1475,,32.0,38.4
2026-05-27 11:55:44,node,worker,287,672,,14.3,17.5
2026-05-27 11:55:44,node,worker-1,287,672,,14.3,17.5
2026-05-27 11:55:44,node,worker-2,605,1292,,30.2,33.7
2026-05-27 11:55:44,node,worker-3,310,616,,15.5,16.0
2026-05-27 11:55:44,node,worker-4,568,757,,28.4,19.7
2026-05-27 11:55:52,deployment,adservice,9,102,1,,
2026-05-27 11:55:52,deployment,cartservice,4,57,1,,
2026-05-27 11:55:52,deployment,checkoutservice,6,20,1,,
2026-05-27 11:55:52,deployment,currencyservice,3,71,1,,
2026-05-27 11:55:52,deployment,emailservice,6,50,1,,
2026-05-27 11:55:52,deployment,frontend,32,15,1,,
2026-05-27 11:55:52,deployment,paymentservice,3,79,1,,
2026-05-27 11:55:52,deployment,productcatalogservice,4,19,2,,
2026-05-27 11:55:52,deployment,recommendationservice,8,52,1,,
2026-05-27 11:55:52,deployment,redis-cart,2,15,1,,
2026-05-27 11:55:52,deployment,shippingservice,5,17,1,,
2026-05-27 11:55:52,node,master,331,1461,,16.6,38.1
2026-05-27 11:55:52,node,worker,37,672,,1.8,17.5
2026-05-27 11:55:52,node,worker-1,37,672,,1.8,17.5
2026-05-27 11:55:52,node,worker-2,129,1294,,6.5,33.7
2026-05-27 11:55:52,node,worker-3,107,594,,5.3,15.5
2026-05-27 11:55:52,node,worker-4,90,759,,4.5,19.8
2026-05-27 11:56:00,deployment,adservice,5,102,1,,
2026-05-27 11:56:00,deployment,cartservice,4,57,1,,
2026-05-27 11:56:00,deployment,checkoutservice,2,20,1,,
2026-05-27 11:56:00,deployment,currencyservice,13,71,1,,
2026-05-27 11:56:00,deployment,emailservice,5,50,1,,
2026-05-27 11:56:00,deployment,frontend,0,15,1,,
2026-05-27 11:56:00,deployment,paymentservice,3,79,1,,
2026-05-27 11:56:00,deployment,productcatalogservice,4,19,2,,
2026-05-27 11:56:00,deployment,recommendationservice,8,52,1,,
2026-05-27 11:56:00,deployment,redis-cart,2,15,1,,
2026-05-27 11:56:00,deployment,shippingservice,5,17,1,,
2026-05-27 11:56:00,node,master,331,1461,,16.6,38.1
2026-05-27 11:56:00,node,worker,37,672,,1.8,17.5
2026-05-27 11:56:00,node,worker-1,37,672,,1.8,17.5
2026-05-27 11:56:00,node,worker-2,129,1294,,6.5,33.7
2026-05-27 11:56:00,node,worker-3,107,594,,5.3,15.5
2026-05-27 11:56:00,node,worker-4,90,759,,4.5,19.8
2026-05-27 11:56:09,deployment,adservice,6,102,1,,
2026-05-27 11:56:09,deployment,cartservice,29,57,1,,
2026-05-27 11:56:09,deployment,checkoutservice,6,21,1,,
2026-05-27 11:56:09,deployment,currencyservice,29,43,1,,
2026-05-27 11:56:09,deployment,emailservice,7,50,1,,
2026-05-27 11:56:09,deployment,frontend,40,14,1,,
2026-05-27 11:56:09,deployment,paymentservice,3,78,1,,
2026-05-27 11:56:09,deployment,productcatalogservice,29,18,2,,
2026-05-27 11:56:09,deployment,recommendationservice,20,52,1,,
2026-05-27 11:56:09,deployment,redis-cart,3,15,1,,
2026-05-27 11:56:09,deployment,shippingservice,5,18,1,,
2026-05-27 11:56:09,node,master,238,1460,,11.9,38.0
2026-05-27 11:56:09,node,worker,190,665,,9.5,17.3
2026-05-27 11:56:09,node,worker-1,190,665,,9.5,17.3
2026-05-27 11:56:09,node,worker-2,319,1293,,16.0,33.7
2026-05-27 11:56:09,node,worker-3,189,594,,9.4,15.5
2026-05-27 11:56:09,node,worker-4,206,762,,10.3,19.8
2026-05-27 11:56:16,deployment,adservice,6,102,1,,
2026-05-27 11:56:16,deployment,cartservice,29,57,1,,
2026-05-27 11:56:16,deployment,checkoutservice,6,21,1,,
2026-05-27 11:56:16,deployment,currencyservice,29,43,1,,
2026-05-27 11:56:16,deployment,emailservice,7,50,1,,
2026-05-27 11:56:16,deployment,frontend,40,14,1,,
2026-05-27 11:56:16,deployment,paymentservice,3,78,1,,
2026-05-27 11:56:16,deployment,productcatalogservice,29,18,2,,
2026-05-27 11:56:16,deployment,recommendationservice,20,52,1,,
2026-05-27 11:56:16,deployment,redis-cart,3,15,1,,
2026-05-27 11:56:16,deployment,shippingservice,5,18,1,,
2026-05-27 11:56:16,node,master,238,1460,,11.9,38.0
2026-05-27 11:56:16,node,worker,190,665,,9.5,17.3
2026-05-27 11:56:16,node,worker-1,190,665,,9.5,17.3
2026-05-27 11:56:16,node,worker-2,319,1293,,16.0,33.7
2026-05-27 11:56:16,node,worker-3,189,594,,9.4,15.5
2026-05-27 11:56:16,node,worker-4,206,762,,10.3,19.8
2026-05-27 11:56:23,deployment,adservice,6,102,1,,
2026-05-27 11:56:23,deployment,cartservice,29,57,1,,
2026-05-27 11:56:23,deployment,checkoutservice,6,21,1,,
2026-05-27 11:56:23,deployment,currencyservice,29,43,1,,
2026-05-27 11:56:23,deployment,emailservice,7,50,1,,
2026-05-27 11:56:23,deployment,frontend,40,14,1,,
2026-05-27 11:56:23,deployment,paymentservice,3,79,1,,
2026-05-27 11:56:23,deployment,productcatalogservice,27,19,2,,
