Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-06 21:36:27,deployment,adservice,33,86,1,,,
2026-08-06 21:36:27,deployment,cartservice,89,42,1,,,
2026-08-06 21:36:27,deployment,checkoutservice,26,11,1,,,
2026-08-06 21:36:27,deployment,currencyservice,28,35,1,,,
2026-08-06 21:36:27,deployment,emailservice,14,40,1,,,
2026-08-06 21:36:27,deployment,frontend,43,15,1,,,
2026-08-06 21:36:27,http_p90_latency,frontend,,,,,,95.3
2026-08-06 21:36:27,deployment,paymentservice,8,27,1,,,
2026-08-06 21:36:27,deployment,productcatalogservice,15,8,1,,,
2026-08-06 21:36:27,deployment,recommendationservice,25,49,1,,,
2026-08-06 21:36:27,deployment,redis-cart,9,6,1,,,
2026-08-06 21:36:27,deployment,shippingservice,30,26,1,,,
2026-08-06 21:36:27,node,ze-master-node,1780,2907,,44.5,36.6,
2026-08-06 21:36:27,node,ze-worker-node,1821,2026,,45.5,25.5,
2026-08-06 21:36:33,deployment,adservice,33,86,1,,,
2026-08-06 21:36:33,deployment,cartservice,89,42,1,,,
2026-08-06 21:36:33,deployment,checkoutservice,26,11,1,,,
2026-08-06 21:36:33,deployment,currencyservice,28,35,1,,,
2026-08-06 21:36:33,deployment,emailservice,14,40,1,,,
2026-08-06 21:36:33,deployment,frontend,43,15,1,,,
2026-08-06 21:36:33,http_p90_latency,frontend,,,,,,95.3
2026-08-06 21:36:33,deployment,paymentservice,8,27,1,,,
2026-08-06 21:36:33,deployment,productcatalogservice,15,8,1,,,
2026-08-06 21:36:33,deployment,recommendationservice,25,49,1,,,
2026-08-06 21:36:33,deployment,redis-cart,9,6,1,,,
2026-08-06 21:36:33,deployment,shippingservice,30,26,1,,,
2026-08-06 21:36:33,node,ze-master-node,1780,2907,,44.5,36.6,
2026-08-06 21:36:33,node,ze-worker-node,1821,2026,,45.5,25.5,
2026-08-06 21:36:39,deployment,adservice,6,86,1,,,
2026-08-06 21:36:39,deployment,cartservice,9,42,1,,,
2026-08-06 21:36:39,deployment,checkoutservice,10,11,1,,,
2026-08-06 21:36:39,deployment,currencyservice,12,32,1,,,
2026-08-06 21:36:39,deployment,emailservice,17,40,1,,,
2026-08-06 21:36:39,deployment,frontend,0,15,1,,,
2026-08-06 21:36:39,http_p90_latency,frontend,,,,,,97.3
2026-08-06 21:36:39,deployment,paymentservice,7,27,1,,,
2026-08-06 21:36:39,deployment,productcatalogservice,15,8,1,,,
2026-08-06 21:36:39,deployment,recommendationservice,16,49,1,,,
2026-08-06 21:36:39,deployment,redis-cart,4,7,1,,,
2026-08-06 21:36:39,deployment,shippingservice,13,26,1,,,
2026-08-06 21:36:39,node,ze-master-node,499,2910,,12.5,36.6,
2026-08-06 21:36:39,node,ze-worker-node,541,1678,,13.5,21.1,
2026-08-06 21:36:45,deployment,adservice,6,86,1,,,
2026-08-06 21:36:45,deployment,cartservice,9,42,1,,,
2026-08-06 21:36:45,deployment,checkoutservice,10,11,1,,,
2026-08-06 21:36:45,deployment,currencyservice,12,32,1,,,
2026-08-06 21:36:45,deployment,emailservice,17,40,1,,,
2026-08-06 21:36:45,deployment,frontend,0,15,1,,,
2026-08-06 21:36:45,http_p90_latency,frontend,,,,,,97.3
2026-08-06 21:36:45,deployment,paymentservice,7,27,1,,,
2026-08-06 21:36:45,deployment,productcatalogservice,15,8,1,,,
2026-08-06 21:36:45,deployment,recommendationservice,16,49,1,,,
2026-08-06 21:36:45,deployment,redis-cart,4,7,1,,,
2026-08-06 21:36:45,deployment,shippingservice,13,26,1,,,
2026-08-06 21:36:45,node,ze-master-node,499,2910,,12.5,36.6,
2026-08-06 21:36:45,node,ze-worker-node,541,1678,,13.5,21.1,
2026-08-06 21:36:52,deployment,adservice,10,86,1,,,
2026-08-06 21:36:52,deployment,cartservice,19,42,1,,,
2026-08-06 21:36:52,deployment,checkoutservice,8,11,1,,,
2026-08-06 21:36:52,deployment,currencyservice,29,32,1,,,
2026-08-06 21:36:52,deployment,emailservice,17,40,1,,,
2026-08-06 21:36:52,deployment,frontend,33,14,1,,,
2026-08-06 21:36:52,http_p90_latency,frontend,,,,,,184.7
2026-08-06 21:36:52,deployment,paymentservice,10,28,1,,,
2026-08-06 21:36:52,deployment,productcatalogservice,18,8,1,,,
2026-08-06 21:36:52,deployment,recommendationservice,29,49,1,,,
2026-08-06 21:36:52,deployment,redis-cart,5,6,1,,,
2026-08-06 21:36:52,deployment,shippingservice,13,26,1,,,
2026-08-06 21:36:52,node,ze-master-node,918,2867,,22.9,36.1,
2026-08-06 21:36:52,node,ze-worker-node,920,1676,,23.0,21.1,
2026-08-06 21:36:58,deployment,adservice,10,86,1,,,
2026-08-06 21:36:58,deployment,cartservice,19,42,1,,,
2026-08-06 21:36:58,deployment,checkoutservice,8,11,1,,,
2026-08-06 21:36:58,deployment,currencyservice,29,32,1,,,
2026-08-06 21:36:58,deployment,emailservice,17,40,1,,,
2026-08-06 21:36:58,deployment,frontend,33,14,1,,,
2026-08-06 21:36:58,http_p90_latency,frontend,,,,,,184.7
2026-08-06 21:36:58,deployment,paymentservice,10,28,1,,,
2026-08-06 21:36:58,deployment,productcatalogservice,18,8,1,,,
2026-08-06 21:36:58,deployment,recommendationservice,29,49,1,,,
2026-08-06 21:36:58,deployment,redis-cart,5,6,1,,,
2026-08-06 21:36:58,deployment,shippingservice,13,26,1,,,
2026-08-06 21:36:58,node,ze-master-node,918,2867,,22.9,36.1,
2026-08-06 21:36:58,node,ze-worker-node,920,1676,,23.0,21.1,
2026-08-06 21:37:05,deployment,adservice,8,86,1,,,
