Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10918,0,130,191.0003183952884,86.59516699844971,2440.4273749969434,10274.491207180803,5.0512728527565365,0.0,130,150,180,210,310,440,840,1100,1900,2400,2400
GET,/cart,28833,0,180,193.091686982467,81.13504099310376,2736.425541981589,13838.166649325425,13.339746305507347,0.0,180,190,200,210,240,310,650,920,1500,2500,2700
POST,/cart,28852,0,240,263.6883505901894,151.44579100888222,3103.6549170094077,18060.981075835298,13.34853676018791,0.0,240,260,270,280,310,380,710,1100,2100,2900,3100
POST,/cart/checkout,9642,0,150,179.34080628561316,98.63475000020117,2604.021749983076,6562.416303671437,4.4609244226303835,0.0,150,170,180,190,220,260,470,900,1900,2600,2600
GET,/product/0PUK6V6EV0,14019,0,120,148.69309702178595,81.56841699383222,2390.125875012018,7737.114487481275,6.4859675877261305,0.0,120,130,140,140,180,240,640,910,1600,2300,2400
GET,/product/1YMWWN1N4O,13804,0,120,149.9785784599642,80.84587499615736,2222.0887919829693,7758.783758330918,6.38649665318293,0.0,120,130,140,140,180,240,640,950,1700,2000,2200
GET,/product/2ZYFJ3GM2N,13793,0,120,149.41616085267898,83.38404199457727,2451.616374979494,7755.9264119480895,6.381407442578395,0.0,120,130,140,140,180,250,640,910,1700,2300,2500
GET,/product/66VCHSJNUP,13895,0,120,150.09763098918634,82.83870900049806,2349.990709015401,7721.787621446563,6.428598304547727,0.0,120,130,140,150,180,250,650,920,1500,2300,2300
GET,/product/6E92ZMYYFZ,13809,0,120,146.8790357148919,80.61041697510518,2399.91679097875,7712.242885074951,6.388809930730447,0.0,120,130,140,140,180,240,580,840,1500,2200,2400
GET,/product/9SIQT8TOJO,13887,0,120,146.8645623433995,82.80149998608977,2040.427166997688,7762.9924389717,6.4248970604717,0.0,120,130,140,140,180,240,580,860,1400,1900,2000
GET,/product/L9ECAV7KIM,13848,0,120,151.228438076021,80.76779200928286,2602.891833987087,7729.43479202773,6.406853495601074,0.0,120,130,140,140,180,260,700,930,1700,2400,2600
GET,/product/LS4PSXUNUM,13735,0,120,148.7059981465806,80.34479100024328,2273.183417011751,7728.2393156170365,6.3545734230272055,0.0,120,130,140,140,180,240,650,890,1600,2000,2300
GET,/product/OLJCESPC7Z,13728,0,120,148.85659315646961,82.44962498429231,2382.228166999994,7761.75305944056,6.351334834460683,0.0,120,130,140,140,170,240,640,880,1600,2400,2400
POST,/setCurrency,9398,0,190,225.45332414302564,150.70112500688992,2444.5513340178877,10285.288891253458,4.348036478311589,0.0,190,210,220,230,260,360,690,940,1700,2400,2400
,Aggregated,212161,0,130,177.49724819124484,80.34479100024328,3103.6549170094077,10162.49781062495,98.15745555172006,0.0,130,170,190,210,260,320,660,940,1700,2400,3100
