Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10987,0,140,210.94373104479192,83.10941699892282,2910.082499991404,10275.496677892053,5.083363198223829,0.0,140,160,190,240,350,620,970,1200,2400,2900,2900
GET,/cart,28539,0,180,208.22130460678886,81.4387499995064,3184.7136670257896,13891.19909597393,13.204159671803936,0.0,180,190,210,220,260,460,870,1100,1800,2900,3200
POST,/cart,28309,0,250,268.7894369288777,153.36583301541395,3273.351207986707,18065.253064396482,13.097745406254516,0.0,250,270,280,290,320,390,650,1100,1700,2500,3300
POST,/cart/checkout,9444,0,150,177.94210411210207,96.33620799286291,2928.169542021351,6562.293096145701,4.369462277603152,0.0,150,170,180,190,220,250,360,980,1500,2900,2900
GET,/product/0PUK6V6EV0,13648,0,120,166.96505722913895,80.67833399400115,2877.2181250096764,7737.466808323564,6.314529983558644,0.0,120,130,140,150,210,470,880,1100,1500,2200,2900
GET,/product/1YMWWN1N4O,13738,0,120,164.86373840723635,81.80154097499326,3105.5240830173716,7758.7608822244865,6.356170348338852,0.0,120,130,140,150,200,460,840,1100,1700,2500,3100
GET,/product/2ZYFJ3GM2N,13733,0,120,164.13165980690295,80.21849999204278,2325.807667017216,7754.416660598558,6.35385699473995,0.0,120,130,140,150,200,460,840,1000,1400,2300,2300
GET,/product/66VCHSJNUP,13712,0,120,163.79392037823428,83.11333300662227,2332.70983301918,7722.854069428238,6.344140909624569,0.0,120,130,140,150,200,430,850,1100,1500,2000,2300
GET,/product/6E92ZMYYFZ,13573,0,120,163.360509817085,82.18587501323782,3124.0289590205066,7711.212185957415,6.279829679575137,0.0,120,130,140,150,200,450,820,1000,1500,2800,3100
GET,/product/9SIQT8TOJO,13793,0,120,164.9187351467614,81.52695899480022,3041.6917499969713,7763.185238889292,6.381617237926756,0.0,120,130,140,150,200,450,860,1100,1500,2300,3000
GET,/product/L9ECAV7KIM,13854,0,120,165.16351225732603,82.69787501194514,2915.399666992016,7730.255377508301,6.409840151833341,0.0,120,130,140,150,200,450,850,1100,1700,2200,2900
GET,/product/LS4PSXUNUM,13836,0,120,164.16736758610315,81.33000001544133,2410.949208016973,7728.476727377855,6.4015120788773,0.0,120,130,140,150,200,430,840,1000,1700,2400,2400
GET,/product/OLJCESPC7Z,13784,0,120,163.70446615829235,83.46466699731536,2741.517415997805,7761.1068630295995,6.377453201448735,0.0,120,130,140,150,200,440,850,1100,1600,2000,2700
POST,/setCurrency,9606,0,200,243.3403085116204,146.66141700581647,2401.1783330061007,10285.46908182386,4.4444149342075265,0.0,200,210,220,230,290,530,930,1100,1600,2400,2400
,Aggregated,210556,0,140,191.10807633846827,80.21849999204278,3273.351207986707,10158.099094777637,97.41809607401625,0.0,140,180,200,220,280,430,850,1100,1700,2600,3300
