Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9966,0,510,774.4469781290916,92.0262090221513,5787.089667021064,10273.515552879791,4.610800936686582,0.0,510,750,1000,1200,1800,2500,3000,3300,5100,5800,5800
GET,/cart,25390,2,420,524.9405422749617,75.5150000040885,4985.109625005862,13757.627333595903,11.746762570988594,0.0009253062285142649,420,540,640,720,990,1200,1600,1900,3200,4500,5000
POST,/cart,25405,6,590,704.1527868774358,86.41004099627025,5191.626666026423,18026.27726825428,11.75370236770245,0.002775918685542795,590,730,840,930,1200,1600,2000,2300,3700,4700,5200
POST,/cart/checkout,8517,5,450,562.9755740244871,72.94250000268221,3879.3434590043034,6561.288247035341,3.940416574127997,0.002313265571285662,450,570,670,750,1000,1300,1800,2200,3600,3900,3900
GET,/product/0PUK6V6EV0,12182,1,340,420.59314049276435,89.17187500628643,3995.4374999797437,7735.713019208669,5.636040237880388,0.00046265311425713245,340,420,500,570,790,1000,1300,1500,2500,3500,4000
GET,/product/1YMWWN1N4O,12198,2,340,420.08240063627653,86.55954198911786,3662.4232920003124,7757.860550909985,5.643442687708502,0.0009253062285142649,340,420,500,560,780,1000,1300,1500,2600,3300,3700
GET,/product/2ZYFJ3GM2N,12227,0,330,420.1679859219737,87.58204098558053,3709.4990420155227,7755.460292794635,5.656859628021959,0.0,330,420,500,560,800,1000,1300,1600,2500,3500,3700
GET,/product/66VCHSJNUP,12189,0,330,423.58924423490845,91.35045899893157,3971.3994169724174,7721.088850603002,5.639278809680188,0.0,330,430,510,580,810,1000,1300,1600,2400,3700,4000
GET,/product/6E92ZMYYFZ,12263,1,340,425.31144290352523,88.38570897933096,4152.691249997588,7710.179319905406,5.6735151401352155,0.00046265311425713245,340,430,500,570,790,1100,1300,1600,2600,3600,4200
GET,/product/9SIQT8TOJO,12300,0,340,422.23425282626374,83.26070799375884,3828.9906659920234,7763.118861788618,5.690633305362729,0.0,340,420,500,570,780,1000,1300,1600,2700,3700,3800
GET,/product/L9ECAV7KIM,12105,0,330,420.70203234002577,88.5160839825403,3877.3043749970384,7728.7253201156545,5.600415948082588,0.0,330,420,500,570,790,1000,1300,1600,2800,3800,3900
GET,/product/LS4PSXUNUM,12426,0,340,425.052320672266,84.62400001008064,3838.1405000109226,7727.270722678255,5.748927597759128,0.0,340,430,510,570,810,1000,1300,1600,2600,3300,3800
GET,/product/OLJCESPC7Z,12348,1,330,420.8755064795868,89.36937499674968,4049.0355829824694,7761.007612568837,5.712840654847072,0.00046265311425713245,330,420,510,560,790,1000,1300,1500,2500,3400,4000
POST,/setCurrency,8473,0,510,681.2371707176626,154.86524999141693,5722.671458002878,10285.477752862033,3.920059837100683,0.0,510,680,840,990,1400,1800,2400,2900,4900,5700,5700
,Aggregated,187989,18,390,510.8334240993529,72.94250000268221,5787.089667021064,10138.522126294623,86.97369629608407,0.008327756056628385,390,520,620,700,980,1300,1700,2100,3500,5100,5800
