Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,11216,0,140,172.23005683654225,88.0774169927463,2073.9532499865163,10275.823555634808,5.191294144567548,0.0,140,150,170,190,280,330,470,710,1400,2000,2100
GET,/cart,28855,0,180,179.02552893322115,79.7764580056537,2905.6532089889515,13825.819476693814,13.355455825739712,0.0,180,190,200,210,230,260,320,440,1100,2500,2900
POST,/cart,28807,0,230,249.59527535953785,150.06416698452085,3196.5717499842867,18074.463776165514,13.333239160356399,0.0,230,260,270,280,310,340,450,760,1800,2600,3200
POST,/cart/checkout,9601,0,160,173.51409650565955,100.35174997756258,2400.1318750088103,6562.443183001771,4.4437959238581515,0.0,160,170,180,190,210,240,300,530,1500,2400,2400
GET,/product/0PUK6V6EV0,13852,1,120,133.0416897502217,81.64041701820679,2135.0443749979604,7737.166329771874,6.411359351867839,0.00046284719548569437,120,130,140,140,160,190,240,410,1200,2100,2100
GET,/product/1YMWWN1N4O,13882,0,120,133.24304539374128,81.97670799563639,2996.294249984203,7758.555827690535,6.425244767732409,0.0,120,130,140,140,160,190,240,370,1100,2700,3000
GET,/product/2ZYFJ3GM2N,13973,0,120,132.5738020411493,82.37091600312851,2212.76533298078,7754.740427968224,6.467363862521608,0.0,120,130,140,140,160,190,230,340,1100,2200,2200
GET,/product/66VCHSJNUP,13955,0,120,133.73936811548887,82.35070799128152,2465.726167021785,7721.643496954496,6.459032613002865,0.0,120,130,140,140,160,190,240,400,1200,2300,2500
GET,/product/6E92ZMYYFZ,13714,0,120,133.99328838769154,81.77129199611954,2488.0114999832585,7712.014000291672,6.3474864388908125,0.0,120,130,140,140,160,190,250,390,1100,1900,2500
GET,/product/9SIQT8TOJO,13923,0,120,132.942355398475,81.24791702721268,3035.5887500045355,7763.645981469511,6.444221502747323,0.0,120,130,140,140,160,190,240,340,1100,2700,3000
GET,/product/L9ECAV7KIM,13846,0,120,133.11744889147042,80.63029201002792,3053.613833995769,7728.793153257258,6.408582268694925,0.0,120,130,140,140,160,190,240,360,1100,2900,3100
GET,/product/LS4PSXUNUM,13854,0,120,132.8521864410825,79.67995799845085,3190.440208010841,7728.033275588277,6.41228504625881,0.0,120,130,140,140,160,190,240,340,1100,1800,3200
GET,/product/OLJCESPC7Z,13772,0,120,134.4361290282325,79.96408399776556,2418.160750006791,7761.266918385129,6.374331576228983,0.0,120,130,140,140,160,190,250,430,1200,2100,2400
POST,/setCurrency,9845,0,200,213.58518407141403,148.4255840186961,1748.890333023155,10284.780802437786,4.556730639556661,0.0,200,210,220,230,250,280,380,580,1200,1700,1700
,Aggregated,213095,1,140,162.7973120854803,79.67995799845085,3196.5717499842867,10159.513160796827,98.63042312202404,0.00046284719548569437,140,170,190,200,240,280,340,500,1300,2200,3200
