Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-07 04:13:49,deployment,emailservice,24,40,1,,,
2026-08-07 04:13:49,deployment,checkoutservice,12,11,1,,,
2026-08-07 04:13:49,deployment,recommendationservice,24,46,1,,,
2026-08-07 04:13:49,deployment,frontend,4,13,1,,,
2026-08-07 04:13:49,http_p90_latency,frontend,,,,,,100.0
2026-08-07 04:13:49,deployment,paymentservice,9,28,1,,,
2026-08-07 04:13:49,deployment,productcatalogservice,25,9,1,,,
2026-08-07 04:13:49,deployment,cartservice,20,41,1,,,
2026-08-07 04:13:49,deployment,currencyservice,7,35,1,,,
2026-08-07 04:13:49,deployment,shippingservice,17,26,1,,,
2026-08-07 04:13:49,deployment,redis-cart,3,10,1,,,
2026-08-07 04:13:49,deployment,adservice,6,91,1,,,
2026-08-07 04:13:49,node,ze-master-node,1094,2902,,27.4,36.5,
2026-08-07 04:13:49,node,ze-worker-node,774,1716,,19.4,21.6,
2026-08-07 04:13:56,deployment,emailservice,24,40,1,,,
2026-08-07 04:13:56,deployment,checkoutservice,12,11,1,,,
2026-08-07 04:13:56,deployment,recommendationservice,24,46,1,,,
2026-08-07 04:13:56,deployment,frontend,4,13,1,,,
2026-08-07 04:13:56,http_p90_latency,frontend,,,,,,123.6
2026-08-07 04:13:56,deployment,paymentservice,9,28,1,,,
2026-08-07 04:13:56,deployment,productcatalogservice,25,9,1,,,
2026-08-07 04:13:56,deployment,cartservice,20,41,1,,,
2026-08-07 04:13:56,deployment,currencyservice,7,35,1,,,
2026-08-07 04:13:56,deployment,shippingservice,17,26,1,,,
2026-08-07 04:13:56,deployment,redis-cart,3,10,1,,,
2026-08-07 04:13:56,deployment,adservice,6,91,1,,,
2026-08-07 04:13:56,node,ze-master-node,1094,2902,,27.4,36.5,
2026-08-07 04:13:56,node,ze-worker-node,774,1716,,19.4,21.6,
2026-08-07 04:14:03,deployment,emailservice,24,40,1,,,
2026-08-07 04:14:03,deployment,checkoutservice,12,11,1,,,
2026-08-07 04:14:03,deployment,recommendationservice,24,46,1,,,
2026-08-07 04:14:03,deployment,frontend,4,13,1,,,
2026-08-07 04:14:03,http_p90_latency,frontend,,,,,,123.6
2026-08-07 04:14:03,deployment,paymentservice,9,28,1,,,
2026-08-07 04:14:03,deployment,productcatalogservice,25,9,1,,,
2026-08-07 04:14:03,deployment,cartservice,20,41,1,,,
2026-08-07 04:14:03,deployment,currencyservice,7,35,1,,,
2026-08-07 04:14:03,deployment,shippingservice,17,26,1,,,
2026-08-07 04:14:03,deployment,redis-cart,3,10,1,,,
2026-08-07 04:14:03,deployment,adservice,6,91,1,,,
2026-08-07 04:14:03,node,ze-master-node,1094,2902,,27.4,36.5,
2026-08-07 04:14:03,node,ze-worker-node,774,1716,,19.4,21.6,
2026-08-07 04:14:08,deployment,emailservice,19,40,1,,,
