Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-07 02:24:19,deployment,emailservice,17,40,1,,,
2026-08-07 02:24:19,deployment,checkoutservice,7,11,1,,,
2026-08-07 02:24:19,deployment,recommendationservice,19,42,1,,,
2026-08-07 02:24:19,deployment,frontend,0,13,1,,,
2026-08-07 02:24:19,http_p90_latency,frontend,,,,,,95.3
2026-08-07 02:24:19,deployment,paymentservice,9,28,1,,,
2026-08-07 02:24:19,deployment,productcatalogservice,12,9,1,,,
2026-08-07 02:24:19,deployment,cartservice,10,43,1,,,
2026-08-07 02:24:19,deployment,currencyservice,8,58,1,,,
2026-08-07 02:24:19,deployment,shippingservice,14,27,1,,,
2026-08-07 02:24:19,deployment,redis-cart,3,9,1,,,
2026-08-07 02:24:19,deployment,adservice,8,89,1,,,
2026-08-07 02:24:19,autoscaler,pbscaler-boutique,0,0,1,,,
2026-08-07 02:24:19,node,ze-master-node,1097,2776,,27.4,35.0,
2026-08-07 02:24:19,node,ze-worker-node,555,1831,,13.9,23.1,
2026-08-07 02:24:25,deployment,emailservice,17,40,1,,,
2026-08-07 02:24:25,deployment,checkoutservice,7,11,1,,,
2026-08-07 02:24:25,deployment,recommendationservice,19,42,1,,,
2026-08-07 02:24:25,deployment,frontend,0,13,1,,,
2026-08-07 02:24:25,http_p90_latency,frontend,,,,,,197.0
2026-08-07 02:24:25,deployment,paymentservice,9,28,1,,,
2026-08-07 02:24:25,deployment,productcatalogservice,12,9,1,,,
2026-08-07 02:24:25,deployment,cartservice,10,43,1,,,
2026-08-07 02:24:25,deployment,currencyservice,8,58,1,,,
2026-08-07 02:24:25,deployment,shippingservice,14,27,1,,,
2026-08-07 02:24:25,deployment,redis-cart,3,9,1,,,
2026-08-07 02:24:25,deployment,adservice,8,89,1,,,
2026-08-07 02:24:25,autoscaler,pbscaler-boutique,0,0,1,,,
2026-08-07 02:24:25,node,ze-master-node,1097,2776,,27.4,35.0,
2026-08-07 02:24:25,node,ze-worker-node,555,1831,,13.9,23.1,
2026-08-07 02:24:32,deployment,emailservice,17,40,1,,,
2026-08-07 02:24:32,deployment,checkoutservice,7,11,1,,,
2026-08-07 02:24:32,deployment,recommendationservice,19,42,1,,,
2026-08-07 02:24:32,deployment,frontend,0,13,1,,,
2026-08-07 02:24:32,http_p90_latency,frontend,,,,,,197.0
2026-08-07 02:24:32,deployment,paymentservice,9,28,1,,,
2026-08-07 02:24:32,deployment,productcatalogservice,12,9,1,,,
2026-08-07 02:24:32,deployment,cartservice,10,43,1,,,
2026-08-07 02:24:32,deployment,currencyservice,8,58,1,,,
