Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3105,0,800,1121.9529269394268,97.59337498690002,7801.384249993134,10270.721095008052,4.3068431215442935,0.0,800,1300,1600,1800,2500,3000,4100,4700,5900,7800,7800
GET,/cart,8078,0,540,716.4145962859262,88.10404200630728,8037.206833003438,13799.427209705373,11.204727451154527,0.0,540,800,980,1100,1500,1800,2300,2700,5100,8000,8000
POST,/cart,7749,0,700,884.2343707083529,170.22304200509097,6245.3165000042645,18011.595560717513,10.748382398984456,0.0,700,940,1100,1300,1800,2300,2800,3200,5300,6200,6200
POST,/cart/checkout,2576,0,480,708.1397199706628,110.8075420052046,7005.320917000063,6561.082298136646,3.5730846637997105,0.0,480,700,890,1100,1700,2000,2500,2800,5700,7000,7000
GET,/product/0PUK6V6EV0,3843,0,410,570.2063967339518,88.45808300247882,7794.777500006603,7734.603955243299,5.330498588114242,0.0,410,640,790,890,1200,1400,1800,2100,6100,7800,7800
GET,/product/1YMWWN1N4O,3795,0,420,580.28074712,90.53933300310746,7607.891457999358,7757.584980237154,5.263919370776359,0.0,420,660,810,910,1200,1500,1800,2100,5900,7600,7600
GET,/product/2ZYFJ3GM2N,3797,0,410,547.9944046434987,90.74787500139792,6912.396833999082,7754.154332367659,5.266693504832104,0.0,410,610,770,870,1200,1400,1700,1900,3400,6900,6900
GET,/product/66VCHSJNUP,3820,0,400,562.0370031625198,90.59262499795295,8015.739791997476,7721.793979057592,5.298596046473173,0.0,400,610,760,870,1200,1400,1800,2100,5400,8000,8000
GET,/product/6E92ZMYYFZ,3736,0,420,570.7213219661852,90.10920900618657,8393.843958008802,7709.2135974304065,5.182082416131878,0.0,420,630,780,890,1200,1400,1800,2000,5300,8400,8400
GET,/product/9SIQT8TOJO,3843,0,400,554.8502302675915,89.33666700613685,7895.495542004937,7761.415560759823,5.330498588114242,0.0,400,610,760,870,1200,1400,1800,2100,4800,7900,7900
GET,/product/L9ECAV7KIM,3801,0,410,566.5822103137277,92.94645801128354,5882.249749993207,7729.211523283347,5.272241772943595,0.0,410,630,800,910,1200,1500,1800,2000,4100,5900,5900
GET,/product/LS4PSXUNUM,3806,0,390,543.1789579508435,86.314082989702,7976.98845800187,7727.321071991592,5.2791771080829575,0.0,390,600,750,860,1100,1400,1700,1900,4300,8000,8000
GET,/product/OLJCESPC7Z,3775,0,400,560.8367770427369,91.31366599467583,8391.189625006518,7759.818278145695,5.236178030218908,0.0,400,620,770,880,1200,1500,1800,2100,4700,8400,8400
POST,/setCurrency,2608,0,740,1049.1331941257495,158.50550000322983,7601.7083340120735,10284.333205521472,3.6174708086916323,0.0,740,1100,1400,1700,2400,2900,3900,4300,5600,7600,7600
,Aggregated,58332,0,490,684.1333457013861,86.314082989702,8393.843958008802,10139.751302886923,80.91039386986208,0.0,490,740,910,1000,1400,1800,2500,3000,5500,8000,8400
