Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3715,0,130,222.7417393351722,88.17779200035147,4496.612291011843,10271.528398384926,5.155427844323588,0.0,130,150,170,200,310,800,1200,1700,3800,4500,4500
GET,/cart,9423,0,170,177.89271464979262,82.39466599479783,3930.322249987512,13741.913615621352,13.07660742316586,0.0,170,190,200,200,230,250,300,460,2600,3900,3900
POST,/cart,9523,0,230,252.95753792856755,152.35412499168888,4711.084000009578,18064.628583429592,13.215380716418178,0.0,230,250,270,270,300,340,440,940,3500,4700,4700
POST,/cart/checkout,3196,0,150,178.1656585242738,99.28508299344685,4410.242416997789,6560.921151439299,4.435194452344062,0.0,150,170,180,190,220,250,340,650,3000,4400,4400
GET,/product/0PUK6V6EV0,4746,0,120,134.90590543394904,84.21991700015496,3985.2735829917947,7735.589970501475,6.58618049775498,0.0,120,130,130,140,160,180,230,500,2700,4000,4000
GET,/product/1YMWWN1N4O,4692,0,120,135.4928639780539,84.19533401320223,4084.787290994427,7758.161764705882,6.511242919398729,0.0,120,130,130,140,160,190,250,520,2800,4100,4100
GET,/product/2ZYFJ3GM2N,4664,0,120,133.9294447747054,83.59562500845641,4468.488500002422,7754.258361921098,6.47238639728808,0.0,120,130,130,140,160,180,240,430,2200,4500,4500
GET,/product/66VCHSJNUP,4665,0,120,133.53729206542567,83.95537499745842,4056.5550830069697,7722.372561629153,6.473774130220603,0.0,120,130,130,140,160,190,250,500,1600,4100,4100
GET,/product/6E92ZMYYFZ,4603,0,120,134.75611029280464,83.31550000002608,3927.7769580075983,7710.064740386704,6.387734688404167,0.0,120,130,130,140,160,180,250,480,2100,3900,3900
GET,/product/9SIQT8TOJO,4631,0,120,133.332642719728,84.74591599951964,3430.9754580026492,7762.769596199525,6.4265912105148155,0.0,120,130,130,140,160,190,250,430,1400,3400,3400
GET,/product/L9ECAV7KIM,4599,0,120,133.32151108420234,85.02462500473484,3133.2065830065403,7727.836703631224,6.382183756674074,0.0,120,130,130,140,150,180,240,490,1700,3100,3100
GET,/product/LS4PSXUNUM,4668,0,120,133.23477324929166,84.33549999608658,3191.8462079920573,7727.095758354756,6.4779373290181725,0.0,120,130,130,140,160,190,260,550,1200,3200,3200
GET,/product/OLJCESPC7Z,4480,0,120,136.03386769206867,84.45954199123662,4100.3435000020545,7760.182142857143,6.217043537703816,0.0,120,130,130,140,160,190,280,490,2600,4100,4100
POST,/setCurrency,3104,0,190,219.05379057340826,150.509333005175,3839.5184580003843,10284.053157216495,4.30752302255193,0.0,190,200,210,220,250,290,480,810,3400,3800,3800
,Aggregated,70709,0,130,166.42720334495726,82.39466599479783,4711.084000009578,10121.6056089041,98.12520792578105,0.0,130,160,180,190,240,280,360,720,2800,4200,4700
