Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-07-29 00:15:36,deployment,details-v1,1,29,1,,,
2026-07-29 00:15:36,deployment,productpage-v1,2,310,1,,,
2026-07-29 00:15:36,http_p95_latency,productpage-v1,,,,,,49.4
2026-07-29 00:15:36,deployment,ratings-v1,0,19,1,,,
2026-07-29 00:15:36,deployment,reviews-v1,12,95,1,,,
2026-07-29 00:15:36,deployment,reviews-v2,31,105,1,,,
2026-07-29 00:15:36,deployment,reviews-v3,10,113,1,,,
2026-07-29 00:15:36,node,ze-master-node,1135,3623,,28.4,45.6,
2026-07-29 00:15:36,node,ze-worker-node,863,1866,,21.6,23.5,
2026-07-29 00:15:43,deployment,details-v1,1,29,1,,,
2026-07-29 00:15:43,deployment,productpage-v1,2,310,1,,,
2026-07-29 00:15:43,http_p95_latency,productpage-v1,,,,,,58.1
2026-07-29 00:15:43,deployment,ratings-v1,0,19,1,,,
2026-07-29 00:15:43,deployment,reviews-v1,12,95,1,,,
2026-07-29 00:15:43,deployment,reviews-v2,31,105,1,,,
2026-07-29 00:15:43,deployment,reviews-v3,10,113,1,,,
2026-07-29 00:15:43,node,ze-master-node,1135,3623,,28.4,45.6,
2026-07-29 00:15:43,node,ze-worker-node,863,1866,,21.6,23.5,
2026-07-29 00:15:50,deployment,details-v1,3,29,1,,,
2026-07-29 00:15:50,deployment,productpage-v1,30,310,1,,,
2026-07-29 00:15:50,http_p95_latency,productpage-v1,,,,,,58.1
2026-07-29 00:15:50,deployment,ratings-v1,0,19,1,,,
2026-07-29 00:15:50,deployment,reviews-v1,1,95,1,,,
2026-07-29 00:15:50,deployment,reviews-v2,3,105,1,,,
2026-07-29 00:15:50,deployment,reviews-v3,10,113,1,,,
2026-07-29 00:15:50,node,ze-master-node,2105,3423,,52.6,43.1,
2026-07-29 00:15:50,node,ze-worker-node,1329,2042,,33.2,25.7,
2026-07-29 00:15:56,deployment,details-v1,3,29,1,,,
2026-07-29 00:15:56,deployment,productpage-v1,30,310,1,,,
2026-07-29 00:15:56,http_p95_latency,productpage-v1,,,,,,58.1
2026-07-29 00:15:56,deployment,ratings-v1,0,19,1,,,
2026-07-29 00:15:56,deployment,reviews-v1,1,95,1,,,
2026-07-29 00:15:56,deployment,reviews-v2,3,105,1,,,
2026-07-29 00:15:56,deployment,reviews-v3,10,113,1,,,
2026-07-29 00:15:56,node,ze-master-node,2105,3423,,52.6,43.1,
2026-07-29 00:15:56,node,ze-worker-node,1329,2042,,33.2,25.7,
2026-07-29 00:16:02,deployment,details-v1,3,29,1,,,
2026-07-29 00:16:02,deployment,productpage-v1,30,310,1,,,
2026-07-29 00:16:02,http_p95_latency,productpage-v1,,,,,,351.6
2026-07-29 00:16:02,deployment,ratings-v1,0,19,1,,,
2026-07-29 00:16:02,deployment,reviews-v1,1,95,1,,,
2026-07-29 00:16:02,deployment,reviews-v2,3,105,1,,,
2026-07-29 00:16:02,deployment,reviews-v3,10,113,1,,,
2026-07-29 00:16:02,node,ze-master-node,2105,3423,,52.6,43.1,
2026-07-29 00:16:02,node,ze-worker-node,1329,2042,,33.2,25.7,
2026-07-29 00:16:08,deployment,details-v1,6,29,1,,,
2026-07-29 00:16:08,deployment,productpage-v1,51,310,1,,,
2026-07-29 00:16:08,http_p95_latency,productpage-v1,,,,,,351.6
2026-07-29 00:16:08,deployment,ratings-v1,1,19,1,,,
2026-07-29 00:16:08,deployment,reviews-v1,2,95,1,,,
2026-07-29 00:16:08,deployment,reviews-v2,4,105,1,,,
2026-07-29 00:16:08,deployment,reviews-v3,4,113,1,,,
2026-07-29 00:16:08,node,ze-master-node,460,3418,,11.5,43.0,
