Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,10779,0,140,236.57053968316802,88.6690000188537,2436.100874998374,10275.973930791353,4.988203064002063,0.0,140,170,220,280,400,800,1200,1400,2100,2300,2400
GET,/cart,28538,1,190,229.6381210823281,80.76250000158325,3406.2444159935694,13918.233302964469,13.206544117310592,0.0004627704855739923,190,210,220,230,320,620,990,1200,1900,2700,3400
POST,/cart,28398,1,260,292.67249211010153,148.89458299148828,3175.4579590051435,18080.673181209946,13.141756249330232,0.0004627704855739923,260,280,300,310,360,460,980,1300,2000,2800,3200
POST,/cart/checkout,9364,1,160,196.5343593748655,94.02145800413564,2799.3897080013994,6562.2087782998715,4.333382826914864,0.0004627704855739923,160,180,190,200,240,290,870,1300,1700,2800,2800
GET,/product/0PUK6V6EV0,13506,1,130,186.70106628929614,84.52195802237839,2945.1126670173835,7737.568414038205,6.25017817816234,0.0004627704855739923,130,140,150,170,260,590,1000,1200,1800,2800,2900
GET,/product/1YMWWN1N4O,13675,2,130,184.44884833545862,66.64770899806172,3001.238958007889,7759.2051919561245,6.3283863902243445,0.0009255409711479846,130,140,150,160,260,610,990,1200,1600,2400,3000
GET,/product/2ZYFJ3GM2N,13710,1,130,182.81248191495658,82.65970798674971,2760.9213330142666,7755.483880379285,6.344583357219435,0.0004627704855739923,130,140,150,160,250,590,960,1200,1800,2600,2800
GET,/product/66VCHSJNUP,13565,0,130,184.54493509379463,83.15758299431764,2601.8515409959946,7722.989089568743,6.277481636811205,0.0,130,140,150,160,260,590,960,1200,1700,2500,2600
GET,/product/6E92ZMYYFZ,13652,0,130,183.31697214397389,80.27620799839497,2210.9640419948846,7711.516407852329,6.317742669056143,0.0,130,140,150,160,260,600,960,1100,1600,2200,2200
GET,/product/9SIQT8TOJO,13485,0,130,183.00156203858901,81.9884579977952,2965.293625020422,7763.142825361513,6.240459997965286,0.0,130,140,150,160,260,580,970,1200,1600,2700,3000
GET,/product/L9ECAV7KIM,13634,0,130,184.16104012832312,81.41250000335276,2494.4387919967994,7730.200601437583,6.309412800315811,0.0,130,140,150,160,260,600,950,1200,1700,2300,2500
GET,/product/LS4PSXUNUM,13580,2,120,181.9626256783532,79.78087500669062,2549.433375010267,7727.226288659794,6.284423194094815,0.0009255409711479846,120,140,150,160,250,590,940,1200,1700,2400,2500
GET,/product/OLJCESPC7Z,13851,0,130,183.49223699700963,83.96762498887256,2527.846499986481,7762.107645657354,6.409833995685367,0.0,130,140,150,160,250,570,970,1200,2000,2400,2500
POST,/setCurrency,9444,0,210,262.7866352000408,149.65045801363885,2609.381874994142,10285.554743752647,4.3704044657607835,0.0,210,220,240,250,360,650,1000,1200,1900,2600,2600
,Aggregated,209181,9,150,211.70341902854676,66.64770899806172,3406.2444159935694,10180.227310319771,96.80279294285327,0.00416493437016593,150,190,220,240,320,570,990,1200,1900,2600,3400
