Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-07-29 01:28:00,deployment,details-v1,35,29,1,,,
2026-07-29 01:28:00,deployment,productpage-v1,66,309,1,,,
2026-07-29 01:28:00,http_p95_latency,productpage-v1,,,,,,49.7
2026-07-29 01:28:00,deployment,ratings-v1,14,20,1,,,
2026-07-29 01:28:00,deployment,reviews-v1,13,97,1,,,
2026-07-29 01:28:00,deployment,reviews-v2,34,117,1,,,
2026-07-29 01:28:00,deployment,reviews-v3,49,114,1,,,
2026-07-29 01:28:00,node,ze-master-node,2028,3233,,50.7,40.7,
2026-07-29 01:28:00,node,ze-worker-node,1650,3005,,41.2,37.8,
2026-07-29 01:28:07,deployment,details-v1,1,29,1,,,
2026-07-29 01:28:07,deployment,productpage-v1,2,309,1,,,
2026-07-29 01:28:07,http_p95_latency,productpage-v1,,,,,,49.7
2026-07-29 01:28:07,deployment,ratings-v1,0,20,1,,,
2026-07-29 01:28:07,deployment,reviews-v1,1,97,1,,,
2026-07-29 01:28:07,deployment,reviews-v2,2,117,1,,,
2026-07-29 01:28:07,deployment,reviews-v3,3,114,1,,,
2026-07-29 01:28:07,node,ze-master-node,634,3191,,15.8,40.2,
2026-07-29 01:28:07,node,ze-worker-node,697,2036,,17.4,25.6,
2026-07-29 01:28:14,deployment,details-v1,1,29,1,,,
2026-07-29 01:28:14,deployment,productpage-v1,2,309,1,,,
2026-07-29 01:28:14,http_p95_latency,productpage-v1,,,,,,49.6
2026-07-29 01:28:14,deployment,ratings-v1,0,20,1,,,
2026-07-29 01:28:14,deployment,reviews-v1,1,97,1,,,
2026-07-29 01:28:14,deployment,reviews-v2,2,117,1,,,
2026-07-29 01:28:14,deployment,reviews-v3,3,114,1,,,
2026-07-29 01:28:14,node,ze-master-node,634,3191,,15.8,40.2,
2026-07-29 01:28:14,node,ze-worker-node,697,2036,,17.4,25.6,
2026-07-29 01:28:20,deployment,details-v1,8,29,1,,,
2026-07-29 01:28:20,deployment,productpage-v1,51,309,1,,,
2026-07-29 01:28:20,http_p95_latency,productpage-v1,,,,,,49.6
2026-07-29 01:28:20,deployment,ratings-v1,1,20,1,,,
2026-07-29 01:28:20,deployment,reviews-v1,2,97,1,,,
2026-07-29 01:28:20,deployment,reviews-v2,4,117,1,,,
2026-07-29 01:28:20,deployment,reviews-v3,3,114,1,,,
2026-07-29 01:28:20,node,ze-master-node,658,3012,,16.4,37.9,
2026-07-29 01:28:20,node,ze-worker-node,577,1848,,14.4,23.3,
2026-07-29 01:28:27,deployment,details-v1,8,29,1,,,
2026-07-29 01:28:27,deployment,productpage-v1,51,309,1,,,
2026-07-29 01:28:27,http_p95_latency,productpage-v1,,,,,,344.4
2026-07-29 01:28:27,deployment,ratings-v1,1,20,1,,,
2026-07-29 01:28:27,deployment,reviews-v1,2,97,1,,,
2026-07-29 01:28:27,deployment,reviews-v2,4,117,1,,,
2026-07-29 01:28:27,deployment,reviews-v3,3,114,1,,,
2026-07-29 01:28:27,node,ze-master-node,658,3012,,16.4,37.9,
2026-07-29 01:28:27,node,ze-worker-node,577,1848,,14.4,23.3,
2026-07-29 01:28:33,deployment,details-v1,8,29,1,,,
2026-07-29 01:28:33,deployment,productpage-v1,51,309,1,,,
2026-07-29 01:28:33,http_p95_latency,productpage-v1,,,,,,344.4
2026-07-29 01:28:33,deployment,ratings-v1,1,20,1,,,
2026-07-29 01:28:33,deployment,reviews-v1,2,97,1,,,
2026-07-29 01:28:33,deployment,reviews-v2,4,117,1,,,
2026-07-29 01:28:33,deployment,reviews-v3,3,114,1,,,
2026-07-29 01:28:33,node,ze-master-node,658,3012,,16.4,37.9,
2026-07-29 01:28:33,node,ze-worker-node,577,1848,,14.4,23.3,
2026-07-29 01:28:39,deployment,details-v1,6,29,1,,,
2026-07-29 01:28:39,deployment,productpage-v1,49,309,1,,,
2026-07-29 01:28:39,http_p95_latency,productpage-v1,,,,,,344.4
2026-07-29 01:28:39,deployment,ratings-v1,1,20,1,,,
2026-07-29 01:28:39,deployment,reviews-v1,1,97,1,,,
2026-07-29 01:28:39,deployment,reviews-v2,4,117,1,,,
2026-07-29 01:28:39,deployment,reviews-v3,3,114,1,,,
2026-07-29 01:28:39,node,ze-master-node,350,3011,,8.8,37.9,
2026-07-29 01:28:39,node,ze-worker-node,267,1848,,6.7,23.3,
2026-07-29 01:28:45,deployment,details-v1,6,29,1,,,
2026-07-29 01:28:45,deployment,productpage-v1,49,309,1,,,
2026-07-29 01:28:45,http_p95_latency,productpage-v1,,,,,,240.6
2026-07-29 01:28:45,deployment,ratings-v1,1,20,1,,,
