Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15323,0,130,167.81651674290148,85.61166701838374,2056.092708138749,10285.531227566404,3.5463217515176897,0.0,130,140,160,170,210,330,720,980,1500,2000,2100
GET,/cart,44937,0,180,198.23547623135357,80.49383293837309,2529.4932078104466,14234.620513162872,10.400121421911534,0.0,180,200,210,220,250,310,690,930,1500,2300,2500
POST,/cart,45050,0,250,266.70963899449,152.59429183788598,2718.6280000023544,18232.37380688124,10.426273895834493,0.0,250,260,280,290,320,370,730,1100,1600,2400,2700
POST,/cart/checkout,15089,0,160,190.67355572438032,99.0882501937449,2659.285292029381,6562.404798197363,3.4921653010931557,0.0,160,180,190,200,230,270,650,950,1500,2500,2700
GET,/product/0PUK6V6EV0,21541,0,120,148.9051498716881,84.55475000664592,2270.1229590456933,7739.723596861799,4.98540213074741,0.0,120,130,140,140,170,230,630,870,1500,2100,2300
GET,/product/1YMWWN1N4O,21620,0,120,150.55293675740813,79.32254113256931,2256.613790988922,7761.167021276596,5.003685718711248,0.0,120,130,140,150,180,240,650,900,1600,2100,2300
GET,/product/2ZYFJ3GM2N,21818,0,120,149.9095052492415,81.85874996706843,2444.2840409465134,7757.77417728481,5.049510407532008,0.0,120,130,140,150,170,230,630,880,1700,2200,2400
GET,/product/66VCHSJNUP,21747,0,120,149.75121477082425,82.04537513665855,2556.2707921490073,7724.546144295765,5.033078322146786,0.0,120,130,140,150,180,230,620,860,1600,2200,2600
GET,/product/6E92ZMYYFZ,21403,0,120,149.1202689813866,82.96487503685057,2573.017125017941,7713.882586553287,4.953463711266274,0.0,120,130,140,150,170,230,620,880,1400,2300,2600
GET,/product/9SIQT8TOJO,21589,0,120,147.97892296993098,82.22079183906317,2558.4981669671834,7764.840242716198,4.996511146219109,0.0,120,130,140,150,170,220,610,860,1400,2300,2600
GET,/product/L9ECAV7KIM,21862,0,120,149.36228182126175,83.73475004918873,2498.240750050172,7732.280303723355,5.059693671714399,0.0,120,130,140,150,170,230,620,870,1500,2300,2500
GET,/product/LS4PSXUNUM,21675,0,120,149.7249722099329,82.00899977236986,2354.4176670257,7730.836401384083,5.016414798939237,0.0,120,130,140,150,170,230,640,870,1500,2300,2400
GET,/product/OLJCESPC7Z,21721,2,120,148.17165224164845,66.62654085084796,2422.1322499215603,7762.920399613277,5.027060938766282,0.0004628756446541395,120,130,140,150,170,220,600,850,1500,2100,2400
POST,/setCurrency,14989,1,190,223.34299888892104,135.52474998869002,2224.549333099276,10285.872239642404,3.4690215188604485,0.00023143782232706975,190,210,220,220,260,330,670,900,1700,2200,2200
,Aggregated,330364,3,140,178.06085987346694,66.62654085084796,2718.6280000023544,10235.846614643242,76.45872473526008,0.0006943134669812092,140,170,190,210,260,310,650,920,1500,2300,2700
