Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15363,1,140,180.54921924243453,84.7623748704791,2990.858207922429,10286.015361583024,3.5558505176278206,0.00023145547859323182,140,150,170,190,260,430,740,940,1800,2500,3000
GET,/cart,45075,8,180,200.53959904197774,71.42862491309643,3119.70604211092,14317.725346644482,10.432855697589925,0.0018516438287458545,180,200,210,220,260,330,600,830,1600,2500,3100
POST,/cart,44719,16,250,275.25386399603934,60.171375051140785,3195.162249961868,18243.914398801404,10.350457547210734,0.003703287657491709,250,270,280,300,340,430,800,1100,2100,2900,3200
POST,/cart/checkout,14911,2,170,197.21265489185055,68.47166689112782,3102.243833942339,6561.919723693917,3.45123264130368,0.00046291095718646363,170,180,200,210,250,310,670,940,1900,2800,3100
GET,/product/0PUK6V6EV0,21302,2,120,149.7100214135183,66.16129097528756,2687.4990828800946,7738.759318373862,4.930464604993024,0.00046291095718646363,120,130,140,150,180,240,520,770,1700,2300,2700
GET,/product/1YMWWN1N4O,21484,5,120,149.0939669765242,61.96766602806747,2040.410374989733,7760.792543288028,4.972589502096993,0.0011572773929661591,120,130,140,150,180,240,530,780,1400,2000,2000
GET,/product/2ZYFJ3GM2N,21306,1,120,148.93576352926598,70.97887503914535,2774.1296670865268,7757.897587534028,4.931390426907397,0.00023145547859323182,120,130,140,150,190,240,510,770,1600,2400,2800
GET,/product/66VCHSJNUP,21443,5,120,150.39226979920915,62.39758292213082,3039.1681250184774,7723.563773725691,4.96309982747467,0.0011572773929661591,120,130,140,150,190,240,530,810,1800,2900,3000
GET,/product/6E92ZMYYFZ,21580,3,120,149.67329236691725,61.1068750731647,2344.514457974583,7713.081047265987,4.994809228041943,0.0006943664357796955,120,130,140,150,190,240,520,800,1500,2300,2300
GET,/product/9SIQT8TOJO,21727,2,120,150.57781999801287,62.750792130827904,2836.0330001451075,7765.128273576655,5.028833183395148,0.00046291095718646363,120,130,140,150,190,240,530,820,1600,2500,2800
GET,/product/L9ECAV7KIM,22051,0,120,149.0762871757987,81.71258284710348,2497.660082997754,7731.961452995329,5.103824758459355,0.0,120,130,140,150,190,240,500,780,1700,2300,2500
GET,/product/LS4PSXUNUM,21870,2,120,150.12469947812707,73.21925018914044,2385.8952918089926,7729.982898948331,5.06193131683398,0.00046291095718646363,120,130,140,150,190,240,530,780,1700,2300,2400
GET,/product/OLJCESPC7Z,21775,5,120,150.65861038090586,65.78899989835918,2642.0876670163125,7762.942548794489,5.039943046367623,0.0011572773929661591,120,130,140,150,190,240,550,790,1800,2200,2600
POST,/setCurrency,14803,5,200,233.6236381880673,68.43287497758865,2673.0959590058774,10285.260487738971,3.4262354496156107,0.0011572773929661591,200,210,230,240,290,400,700,940,1800,2400,2700
,Aggregated,329409,57,140,181.12481532842597,60.171375051140785,3195.162249961868,10247.39519260251,76.2435177479179,0.013192962279814214,140,180,200,210,270,330,600,870,1800,2600,3200
