Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20948,1,130,170.9504166608942,70.42520795948803,2819.8917920235544,10279.64287760168,4.847944944805906,0.0002314275799506352,130,150,160,170,260,340,650,920,1700,2200,2800
GET,/cart,57567,0,180,190.5705903756947,78.63262505270541,2883.228916907683,14030.93025518092,13.322591495018218,0.0,180,190,210,210,240,280,520,820,1700,2400,2900
POST,/cart,57360,3,240,266.4487790293653,64.57637483254075,3262.538499897346,18137.345153417016,13.274685985968436,0.0006942827398519056,240,260,280,290,320,370,740,1100,2100,2600,3300
POST,/cart/checkout,19149,0,160,184.543137496654,99.54924997873604,2708.205166971311,6562.1453339599975,4.431606728474714,0.0,160,180,190,200,230,260,460,860,1900,2600,2700
GET,/product/0PUK6V6EV0,27699,0,120,142.88525479925087,83.31916714087129,2418.472541961819,7738.468247951189,6.410312537052645,0.0,120,130,140,140,170,210,450,750,1600,2300,2400
GET,/product/1YMWWN1N4O,27577,2,120,143.0330485730443,61.56787509098649,2426.331290975213,7759.589114116837,6.382078372298667,0.0004628551599012704,120,130,140,140,170,210,470,780,1500,2100,2400
GET,/product/2ZYFJ3GM2N,27608,0,120,143.21791437314087,83.09962507337332,2614.6077499724925,7756.6829179947845,6.389252627277137,0.0,120,130,140,140,170,210,470,760,1500,2400,2600
GET,/product/66VCHSJNUP,27493,0,120,143.69490002953026,81.24116715043783,2450.825332896784,7723.639580984251,6.362638455582814,0.0,120,130,140,140,170,220,480,780,1500,2300,2500
GET,/product/6E92ZMYYFZ,27763,1,120,144.497883050899,75.60541690327227,2929.7053329646587,7712.903288549508,6.425123902169486,0.0002314275799506352,120,130,140,140,170,210,490,800,1700,2400,2900
GET,/product/9SIQT8TOJO,27733,0,120,143.46278046789024,83.23116693645716,2439.5784169901162,7764.487001045685,6.418181074770967,0.0,120,130,140,140,170,210,490,780,1400,2300,2400
GET,/product/L9ECAV7KIM,27831,1,120,144.29775986745065,67.01275007799268,2754.645416047424,7730.475620710718,6.440860977606128,0.0002314275799506352,120,130,140,140,170,210,480,810,1800,2300,2800
GET,/product/LS4PSXUNUM,27782,0,120,143.10944259500468,81.53449976816773,2367.2460420057178,7729.309948887769,6.429521026188548,0.0,120,130,140,140,170,210,460,770,1300,2200,2400
GET,/product/OLJCESPC7Z,27711,1,120,143.05140964824767,81.68016583658755,2851.1596659664065,7762.32961639782,6.413089668012052,0.0002314275799506352,120,130,140,140,170,210,440,770,1800,2400,2900
POST,/setCurrency,19055,0,190,217.04090427689408,146.12424978986382,5194.409999996424,10286.595276830229,4.409852535959354,0.0,190,200,210,220,250,300,530,820,1500,2400,5200
,Aggregated,423276,9,140,173.07314300784483,61.56787509098649,5194.409999996424,10192.784620436783,97.95774033118508,0.002082848219555717,140,170,190,200,250,300,530,840,1700,2400,5200
