Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20815,13,140,183.2257576847309,61.65545783005655,2896.909917006269,10275.620658179198,4.8173310030296035,0.00300866216859884,140,160,180,200,300,410,550,780,1600,2100,2900
GET,/cart,57458,44,180,192.32724767298632,64.5516668446362,3982.6615839265287,14052.390024017543,13.29782391410401,0.010183164262949919,180,200,210,220,260,300,390,570,1400,2700,4000
POST,/cart,57617,46,250,270.97160053790003,64.71329205669463,4168.2255838532,18127.52779561588,13.334622166781488,0.010646035365811279,250,270,290,300,340,400,580,900,2000,2900,4200
POST,/cart/checkout,19302,20,170,193.9216786377085,67.47412495315075,3044.484166894108,6559.182934410942,4.467169013714985,0.0046287110286136,170,190,200,210,250,310,450,780,1600,2200,3000
GET,/product/0PUK6V6EV0,27742,7,130,147.23373979262283,65.05262502469122,2474.3780829012394,7735.487960493115,6.420485067789924,0.00162004886001476,130,140,150,160,190,230,320,570,1300,2300,2500
GET,/product/1YMWWN1N4O,27586,14,130,146.88889341697308,61.6633330937475,2264.0993748791516,7755.093815703618,6.384381121766737,0.00324009772002952,130,140,150,160,190,230,320,560,1200,2100,2300
GET,/product/2ZYFJ3GM2N,27735,12,130,146.07413300243041,63.96045908331871,2287.50054189004,7752.720064899946,6.4188650189299095,0.0027772266171681597,130,140,150,160,190,230,310,540,1200,1900,2300
GET,/product/66VCHSJNUP,27657,9,130,145.66173148700105,61.4523331169039,3661.860750056803,7720.175507104892,6.400813045918317,0.00208291996287612,130,140,150,160,190,220,300,470,1200,2600,3700
GET,/product/6E92ZMYYFZ,27593,2,130,146.31339272236139,68.03541700355709,2556.9369581062347,7710.6454897981375,6.386001170626753,0.00046287110286135995,130,140,150,160,190,220,310,500,1200,2300,2600
GET,/product/9SIQT8TOJO,27734,6,130,146.48669196590347,69.02329181320965,2836.2634170334786,7762.172964592197,6.418633583378479,0.0013886133085840799,130,140,150,160,190,230,320,510,1200,2300,2800
GET,/product/L9ECAV7KIM,27524,4,130,145.86944396416672,66.75179093144834,2516.4208749774843,7727.539274814707,6.3700321175780354,0.0009257422057227199,130,140,150,160,190,230,310,480,1400,2100,2500
GET,/product/LS4PSXUNUM,27701,6,130,147.95865327189622,63.76033299602568,2559.4982500188053,7726.678423161618,6.410996210181266,0.0013886133085840799,130,140,150,160,190,230,320,520,1600,2300,2600
GET,/product/OLJCESPC7Z,27438,10,130,146.52530860069064,60.37712492980063,2529.903832823038,7759.096289817042,6.350128660154997,0.0023143555143068,130,140,150,160,190,220,320,540,1200,2000,2500
POST,/setCurrency,19105,8,200,226.81566848408883,64.95766690932214,5275.6254591513425,10283.108557969119,4.421576210083141,0.0018514844114454398,200,220,230,240,280,340,480,670,1200,1900,5300
,Aggregated,423007,201,150,177.31118741780566,60.37712492980063,5275.6254591513425,10197.361336810029,97.89885830403765,0.04651854583756668,150,180,200,220,260,310,420,630,1500,2400,5300
