Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-06 19:46:55,deployment,adservice,6,84,1,,,
2026-08-06 19:46:55,deployment,cartservice,12,41,1,,,
2026-08-06 19:46:55,deployment,checkoutservice,6,11,1,,,
2026-08-06 19:46:55,deployment,currencyservice,12,64,1,,,
2026-08-06 19:46:55,deployment,emailservice,16,43,1,,,
2026-08-06 19:46:55,deployment,frontend,0,19,1,,,
2026-08-06 19:46:55,http_p90_latency,frontend,,,,,,0.0
2026-08-06 19:46:55,deployment,paymentservice,10,25,1,,,
2026-08-06 19:46:55,deployment,productcatalogservice,10,9,1,,,
2026-08-06 19:46:55,deployment,recommendationservice,15,49,1,,,
2026-08-06 19:46:55,deployment,redis-cart,4,5,1,,,
2026-08-06 19:46:55,deployment,shippingservice,11,26,1,,,
2026-08-06 19:46:55,node,ze-master-node,1491,3180,,37.3,40.0,
2026-08-06 19:46:55,node,ze-worker-node,319,1698,,8.0,21.4,
2026-08-06 19:47:02,deployment,adservice,6,84,1,,,
2026-08-06 19:47:02,deployment,cartservice,12,41,1,,,
2026-08-06 19:47:02,deployment,checkoutservice,6,11,1,,,
2026-08-06 19:47:02,deployment,currencyservice,12,64,1,,,
2026-08-06 19:47:02,deployment,emailservice,16,43,1,,,
2026-08-06 19:47:02,deployment,frontend,0,19,1,,,
2026-08-06 19:47:02,http_p90_latency,frontend,,,,,,0.0
2026-08-06 19:47:02,deployment,paymentservice,10,25,1,,,
2026-08-06 19:47:02,deployment,productcatalogservice,10,9,1,,,
2026-08-06 19:47:02,deployment,recommendationservice,15,49,1,,,
2026-08-06 19:47:02,deployment,redis-cart,4,5,1,,,
2026-08-06 19:47:02,deployment,shippingservice,11,26,1,,,
2026-08-06 19:47:02,node,ze-master-node,1491,3180,,37.3,40.0,
2026-08-06 19:47:02,node,ze-worker-node,319,1698,,8.0,21.4,
2026-08-06 19:47:08,deployment,adservice,8,84,1,,,
2026-08-06 19:47:08,deployment,cartservice,11,41,1,,,
2026-08-06 19:47:08,deployment,checkoutservice,9,9,1,,,
2026-08-06 19:47:08,deployment,currencyservice,8,64,1,,,
2026-08-06 19:47:08,deployment,emailservice,20,40,1,,,
2026-08-06 19:47:08,deployment,frontend,0,19,1,,,
2026-08-06 19:47:08,http_p90_latency,frontend,,,,,,456.9
2026-08-06 19:47:08,deployment,paymentservice,6,25,1,,,
2026-08-06 19:47:08,deployment,productcatalogservice,10,9,1,,,
2026-08-06 19:47:08,deployment,recommendationservice,18,49,1,,,
2026-08-06 19:47:08,deployment,redis-cart,4,6,1,,,
2026-08-06 19:47:08,deployment,shippingservice,11,26,1,,,
2026-08-06 19:47:08,node,ze-master-node,2064,3072,,51.6,38.7,
2026-08-06 19:47:08,node,ze-worker-node,882,1587,,22.1,20.0,
2026-08-06 19:47:15,deployment,adservice,8,84,1,,,
2026-08-06 19:47:15,deployment,cartservice,11,41,1,,,
2026-08-06 19:47:15,deployment,checkoutservice,9,9,1,,,
2026-08-06 19:47:15,deployment,currencyservice,8,64,1,,,
2026-08-06 19:47:15,deployment,emailservice,20,40,1,,,
2026-08-06 19:47:15,deployment,frontend,0,19,1,,,
2026-08-06 19:47:15,http_p90_latency,frontend,,,,,,456.9
2026-08-06 19:47:15,deployment,paymentservice,6,25,1,,,
2026-08-06 19:47:15,deployment,productcatalogservice,10,9,1,,,
