Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-19 17:54:37,deployment,adservice,7,100,1,,,
2026-08-19 17:54:37,deployment,cartservice,11,45,1,,,
2026-08-19 17:54:37,deployment,checkoutservice,9,11,1,,,
2026-08-19 17:54:37,deployment,currencyservice,11,56,1,,,
2026-08-19 17:54:37,deployment,emailservice,15,40,1,,,
2026-08-19 17:54:37,deployment,frontend,0,14,1,,,
2026-08-19 17:54:37,http_p95_latency,frontend,,,,,,153.3
2026-08-19 17:54:37,deployment,paymentservice,6,28,1,,,
2026-08-19 17:54:37,deployment,productcatalogservice,11,8,1,,,
2026-08-19 17:54:37,deployment,recommendationservice,19,40,1,,,
2026-08-19 17:54:37,deployment,redis-cart,6,10,1,,,
2026-08-19 17:54:37,deployment,shippingservice,13,10,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-adservice,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-cartservice,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-checkoutservice,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-currencyservice,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-emailservice,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-frontend,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-paymentservice,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-productcatalogservice,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-recommendationservice,0,0,1,,,
2026-08-19 17:54:37,autoscaler,customdas-autoscaler-shippingservice,0,0,1,,,
2026-08-19 17:54:37,node,ze-master-node,1386,3228,,34.6,40.6,
2026-08-19 17:54:37,node,ze-worker-node,1147,2941,,28.7,37.0,
2026-08-19 17:54:45,deployment,adservice,7,100,1,,,
2026-08-19 17:54:45,deployment,cartservice,11,45,1,,,
2026-08-19 17:54:45,deployment,checkoutservice,9,11,1,,,
2026-08-19 17:54:45,deployment,currencyservice,11,56,1,,,
2026-08-19 17:54:45,deployment,emailservice,15,40,1,,,
2026-08-19 17:54:45,deployment,frontend,0,14,1,,,
2026-08-19 17:54:45,http_p95_latency,frontend,,,,,,0.0
2026-08-19 17:54:45,deployment,paymentservice,6,28,1,,,
2026-08-19 17:54:45,deployment,productcatalogservice,11,8,1,,,
2026-08-19 17:54:45,deployment,recommendationservice,19,40,1,,,
2026-08-19 17:54:45,deployment,redis-cart,6,10,1,,,
2026-08-19 17:54:45,deployment,shippingservice,13,10,1,,,
2026-08-19 17:54:45,autoscaler,customdas-autoscaler-adservice,0,0,1,,,
2026-08-19 17:54:45,autoscaler,customdas-autoscaler-cartservice,0,0,1,,,
