Timestamp,Scope,Name,CPU_m,MEM_MiB,Pods,CPU_pct,MEM_pct,HTTP_LAT_ms
2026-08-20 10:58:11,deployment,adservice,23,94,1,,,
2026-08-20 10:58:11,deployment,cartservice,10,44,1,,,
2026-08-20 10:58:11,deployment,checkoutservice,5,11,1,,,
2026-08-20 10:58:11,deployment,currencyservice,50,39,1,,,
2026-08-20 10:58:11,deployment,emailservice,14,40,1,,,
2026-08-20 10:58:11,deployment,frontend,4,14,1,,,
2026-08-20 10:58:11,http_p95_latency,frontend,,,,,,229.5
2026-08-20 10:58:11,deployment,paymentservice,8,28,1,,,
2026-08-20 10:58:11,deployment,productcatalogservice,40,9,1,,,
2026-08-20 10:58:11,deployment,recommendationservice,19,42,1,,,
2026-08-20 10:58:11,deployment,redis-cart,7,16,1,,,
2026-08-20 10:58:11,deployment,shippingservice,17,9,1,,,
2026-08-20 10:58:11,node,ze-master-node,1843,2668,,46.1,33.6,
2026-08-20 10:58:11,node,ze-worker-node,1642,2831,,41.0,35.7,
2026-08-20 10:58:18,deployment,adservice,23,94,1,,,
2026-08-20 10:58:18,deployment,cartservice,12,44,1,,,
2026-08-20 10:58:18,deployment,checkoutservice,5,11,1,,,
2026-08-20 10:58:18,deployment,currencyservice,10,33,1,,,
2026-08-20 10:58:18,deployment,emailservice,14,40,1,,,
2026-08-20 10:58:18,deployment,frontend,0,14,1,,,
2026-08-20 10:58:18,http_p95_latency,frontend,,,,,,229.5
2026-08-20 10:58:18,deployment,paymentservice,7,29,1,,,
2026-08-20 10:58:18,deployment,productcatalogservice,10,9,1,,,
2026-08-20 10:58:18,deployment,recommendationservice,19,42,1,,,
2026-08-20 10:58:18,deployment,redis-cart,4,17,1,,,
2026-08-20 10:58:18,deployment,shippingservice,9,10,1,,,
2026-08-20 10:58:18,node,ze-master-node,490,2662,,12.2,33.5,
2026-08-20 10:58:18,node,ze-worker-node,356,2823,,8.9,35.5,
2026-08-20 10:58:25,deployment,adservice,23,94,1,,,
2026-08-20 10:58:25,deployment,cartservice,12,44,1,,,
2026-08-20 10:58:25,deployment,checkoutservice,5,11,1,,,
2026-08-20 10:58:25,deployment,currencyservice,10,33,1,,,
2026-08-20 10:58:25,deployment,emailservice,14,40,1,,,
2026-08-20 10:58:25,deployment,frontend,0,14,1,,,
2026-08-20 10:58:25,http_p95_latency,frontend,,,,,,224.9
2026-08-20 10:58:25,deployment,paymentservice,7,29,1,,,
2026-08-20 10:58:25,deployment,productcatalogservice,10,9,1,,,
2026-08-20 10:58:25,deployment,recommendationservice,19,42,1,,,
2026-08-20 10:58:25,deployment,redis-cart,4,17,1,,,
2026-08-20 10:58:25,deployment,shippingservice,9,10,1,,,
2026-08-20 10:58:25,node,ze-master-node,490,2662,,12.2,33.5,
2026-08-20 10:58:25,node,ze-worker-node,356,2823,,8.9,35.5,
2026-08-20 10:58:31,deployment,adservice,23,94,1,,,
2026-08-20 10:58:31,deployment,cartservice,12,44,1,,,
2026-08-20 10:58:31,deployment,checkoutservice,5,11,1,,,
2026-08-20 10:58:31,deployment,currencyservice,10,33,1,,,
2026-08-20 10:58:31,deployment,emailservice,14,40,1,,,
2026-08-20 10:58:31,deployment,frontend,0,14,1,,,
2026-08-20 10:58:31,http_p95_latency,frontend,,,,,,224.9
2026-08-20 10:58:31,deployment,paymentservice,7,29,1,,,
2026-08-20 10:58:31,deployment,productcatalogservice,10,9,1,,,
2026-08-20 10:58:31,deployment,recommendationservice,19,42,1,,,
2026-08-20 10:58:31,deployment,redis-cart,4,17,1,,,
2026-08-20 10:58:31,deployment,shippingservice,9,10,1,,,
2026-08-20 10:58:31,node,ze-master-node,490,2662,,12.2,33.5,
2026-08-20 10:58:31,node,ze-worker-node,356,2823,,8.9,35.5,
2026-08-20 10:58:37,deployment,adservice,7,94,1,,,
2026-08-20 10:58:37,deployment,cartservice,9,44,1,,,
